CAN Message; 0x1d3:000042e614718390
Timestamp;Amplitude
1739209753.3242753;-45.120503652039325
1739209753.3242857;-38.13080360867914
1739209753.3242965;-45.120503652039325
1739209753.3243072;-45.120503652039325
1739209753.324318;-38.13080360867914
1739209753.3243284;-38.13080360867914
1739209753.3243392;-45.120503652039325
1739209753.3243499;-38.13080360867914
1739209753.3243606;-35.57807855764607
1739209753.324371;-38.13080360867914
1739209753.3243818;-38.13080360867914
1739209753.3243926;-33.981070128970906
1739209753.324403;-31.141103565318893
1739209753.3244138;-33.981070128970906
1739209753.3244245;-38.13080360867914
1739209753.3244352;-35.57807855764607
1739209753.3244457;-45.120503652039325
1739209753.3244565;-45.120503652039325
1739209753.3244672;-45.120503652039325
1739209753.3244777;-31.141103565318915
1739209753.3244884;-35.57807855764607
1739209753.3244991;-38.13080360867914
1739209753.3245099;-45.120503652039325
1739209753.3245203;-45.120503652039325
1739209753.324531;-45.120503652039325
1739209753.3245418;-45.120503652039325
1739209753.3245525;-45.120503652039325
1739209753.324563;-29.438486411369354
1739209753.3245738;-35.57807855764607
1739209753.3245845;-38.13080360867914
1739209753.324595;-45.120503652039325
1739209753.3246057;-38.13080360867914
1739209753.3246164;-38.13080360867914
1739209753.3246272;-45.120503652039325
1739209753.3246377;-45.120503652039325
1739209753.3246484;-45.120503652039325
1739209753.324659;-38.13080360867914
1739209753.3246696;-38.13080360867914
1739209753.3246803;-38.13080360867914
1739209753.324691;-35.57807855764607
1739209753.3247018;-45.120503652039325
1739209753.3247123;-38.13080360867914
1739209753.324723;-35.57807855764607
1739209753.3247337;-31.141103565318915
1739209753.3247445;-45.120503652039325
1739209753.324755;-45.120503652039325
1739209753.3247657;-45.120503652039325
1739209753.3247764;-45.120503652039325
1739209753.324787;-45.120503652039325
1739209753.3247976;-38.13080360867914
1739209753.3248084;-35.57807855764607
1739209753.324819;-30.49652367304973
1739209753.3248296;-38.13080360867914
1739209753.3248403;-45.120503652039325
1739209753.324851;-45.120503652039325
1739209753.3248615;-45.120503652039325
1739209753.3248723;-45.120503652039325
1739209753.324883;-45.120503652039325
1739209753.3248937;-45.120503652039325
1739209753.3249042;-38.13080360867914
1739209753.324915;-38.13080360867914
1739209753.3249257;-33.981070128970906
1739209753.3249364;-45.120503652039325
1739209753.3249469;-38.13080360867914
1739209753.3249576;-45.120503652039325
1739209753.3249683;-33.981070128970906
1739209753.3249788;-45.120503652039325
1739209753.3249896;-38.13080360867914
1739209753.3250003;-35.57807855764607
1739209753.325011;-45.120503652039325
1739209753.3250215;-38.13080360867914
