CAN Message; 0x77:bd91c008c1b4575c
Timestamp;Amplitude
1739209796.6832354;-45.120503652039325
1739209796.683256;-35.57807855764607
1739209796.6832767;-38.13080360867914
1739209796.6832972;-45.120503652039325
1739209796.683318;-45.120503652039325
1739209796.6833384;-45.120503652039325
1739209796.6833591;-38.13080360867914
1739209796.68338;-38.13080360867914
1739209796.6834004;-45.120503652039325
1739209796.6834211;-45.120503652039325
1739209796.6834416;-38.13080360867914
1739209796.6834624;-30.49652367304973
1739209796.683483;-35.57807855764607
1739209796.6835036;-38.13080360867914
1739209796.6835244;-38.13080360867914
1739209796.6835449;-38.13080360867914
1739209796.6835656;-38.13080360867914
1739209796.6835861;-45.120503652039325
1739209796.6836069;-33.981070128970906
1739209796.6836276;-45.120503652039325
1739209796.683648;-45.120503652039325
1739209796.6836689;-38.13080360867914
1739209796.6836894;-38.13080360867914
1739209796.68371;-33.981070128970906
1739209796.6837306;-38.13080360867914
1739209796.6837513;-35.57807855764607
1739209796.683772;-45.120503652039325
1739209796.6837926;-31.141103565318893
1739209796.6838133;-35.57807855764607
1739209796.6838338;-45.120503652039325
1739209796.6838546;-45.120503652039325
1739209796.683875;-35.57807855764607
1739209796.6838958;-32.816014438256545
1739209796.6839166;-45.120503652039325
1739209796.683937;-45.120503652039325
1739209796.6839578;-45.120503652039325
1739209796.6839783;-45.120503652039325
1739209796.683999;-45.120503652039325
1739209796.6840196;-38.13080360867914
1739209796.6840403;-45.120503652039325
1739209796.684061;-38.13080360867914
1739209796.6840816;-38.13080360867914
1739209796.6841023;-45.120503652039325
1739209796.6841228;-38.13080360867914
1739209796.6841435;-38.13080360867914
1739209796.6841643;-38.13080360867914
1739209796.6841848;-45.120503652039325
1739209796.6842055;-35.57807855764607
1739209796.684226;-38.13080360867914
1739209796.6842468;-45.120503652039325
1739209796.6842673;-38.13080360867914
1739209796.684288;-38.13080360867914
1739209796.6843088;-38.13080360867914
1739209796.6843293;-38.13080360867914
1739209796.68435;-45.120503652039325
1739209796.6843705;-45.120503652039325
1739209796.6843913;-45.120503652039325
1739209796.6844118;-33.981070128970906
1739209796.6844325;-38.13080360867914
1739209796.6844532;-45.120503652039325
1739209796.6844738;-33.981070128970956
1739209796.6844945;-32.816014438256545
1739209796.684515;-45.120503652039325
1739209796.6845357;-32.816014438256545
1739209796.6845562;-38.13080360867914
1739209796.684577;-38.13080360867914
1739209796.6845977;-38.13080360867914
1739209796.6846182;-33.981070128970906
1739209796.684639;-30.49652367304973
1739209796.6846595;-38.13080360867914
1739209796.6846802;-33.981070128970906
