CAN Message; 0x98:000052f4d07a7582
Timestamp;Amplitude
1739209701.6397629;-45.120503652039325
1739209701.6397707;-45.120503652039325
1739209701.6397784;-38.13080360867914
1739209701.639786;-45.120503652039325
1739209701.6397936;-38.13080360867914
1739209701.6398015;-45.120503652039325
1739209701.6398091;-38.13080360867914
1739209701.6398168;-45.120503652039325
1739209701.6398246;-35.57807855764607
1739209701.6398323;-25.826314394896354
1739209701.63984;-38.13080360867914
1739209701.6398478;-45.120503652039325
1739209701.6398554;-38.13080360867914
1739209701.639863;-38.13080360867914
1739209701.6398706;-45.120503652039325
1739209701.6398785;-38.13080360867914
1739209701.6398861;-45.120503652039325
1739209701.6398938;-38.13080360867914
1739209701.6399016;-45.120503652039325
1739209701.6399093;-45.120503652039325
1739209701.639917;-38.13080360867914
1739209701.6399248;-38.13080360867914
1739209701.6399324;-45.120503652039325
1739209701.63994;-45.120503652039325
1739209701.6399477;-35.57807855764607
1739209701.6399555;-26.991370085610736
1739209701.6399632;-45.120503652039325
1739209701.6399708;-45.120503652039325
1739209701.6399786;-35.57807855764607
1739209701.6399863;-31.141103565318893
1739209701.639994;-45.120503652039325
1739209701.6400018;-45.120503652039325
1739209701.6400094;-45.120503652039325
1739209701.640017;-45.120503652039325
1739209701.6400247;-38.13080360867914
1739209701.6400325;-38.13080360867914
1739209701.6400402;-45.120503652039325
1739209701.6400478;-45.120503652039325
1739209701.6400557;-33.981070128970906
1739209701.6400633;-45.120503652039325
1739209701.640071;-45.120503652039325
1739209701.6400788;-32.816014438256545
1739209701.6400864;-45.120503652039325
1739209701.640094;-38.13080360867914
1739209701.6401017;-45.120503652039325
1739209701.6401095;-45.120503652039325
1739209701.6401172;-38.13080360867914
1739209701.6401248;-38.13080360867914
1739209701.6401327;-45.120503652039325
1739209701.6401403;-33.981070128970906
1739209701.640148;-45.120503652039325
1739209701.6401556;-38.13080360867914
1739209701.6401634;-38.13080360867914
1739209701.640171;-38.13080360867914
1739209701.6401787;-38.13080360867914
1739209701.6401865;-38.13080360867914
