CAN Message; 0x1b8:0100b5d1df7eb5c7
Timestamp;Amplitude
1739209782.9880767;-38.13080360867914
1739209782.988083;-45.120503652039325
1739209782.9880893;-45.120503652039325
1739209782.9880955;-28.58837851428586
1739209782.988102;-38.13080360867914
1739209782.9881082;-38.13080360867914
1739209782.9881146;-38.13080360867914
1739209782.9881208;-45.120503652039325
1739209782.9881272;-45.120503652039325
1739209782.9881334;-38.13080360867914
1739209782.9881399;-45.120503652039325
1739209782.988146;-33.981070128970906
1739209782.9881525;-38.13080360867914
1739209782.9881587;-45.120503652039325
1739209782.9881651;-45.120503652039325
1739209782.9881713;-33.981070128970906
1739209782.9881778;-45.120503652039325
1739209782.988184;-45.120503652039325
1739209782.9881904;-35.57807855764607
1739209782.9881966;-38.13080360867914
1739209782.988203;-45.120503652039325
1739209782.9882092;-38.13080360867914
1739209782.9882157;-38.13080360867914
1739209782.988222;-33.981070128970906
1739209782.9882283;-45.120503652039325
1739209782.9882345;-45.120503652039325
1739209782.988241;-35.57807855764607
1739209782.9882472;-38.13080360867914
1739209782.9882536;-45.120503652039325
1739209782.9882598;-33.981070128970906
1739209782.9882662;-35.57807855764607
1739209782.9882724;-38.13080360867914
1739209782.9882789;-45.120503652039325
1739209782.988285;-38.13080360867914
1739209782.9882915;-35.57807855764607
1739209782.9882977;-38.13080360867914
1739209782.9883041;-45.120503652039325
1739209782.9883103;-38.13080360867914
1739209782.9883168;-45.120503652039325
1739209782.988323;-38.13080360867914
1739209782.9883294;-32.816014438256545
1739209782.9883356;-45.120503652039325
1739209782.988342;-45.120503652039325
1739209782.9883482;-45.120503652039325
1739209782.9883547;-45.120503652039325
1739209782.988361;-38.13080360867914
1739209782.9883673;-38.13080360867914
1739209782.9883735;-38.13080360867914
1739209782.98838;-38.13080360867914
1739209782.9883862;-38.13080360867914
1739209782.9883926;-45.120503652039325
1739209782.988399;-45.120503652039325
1739209782.9884052;-45.120503652039325
1739209782.9884117;-38.13080360867914
1739209782.9884179;-38.13080360867914
1739209782.9884243;-38.13080360867914
1739209782.9884305;-45.120503652039325
1739209782.988437;-33.981070128970906
1739209782.9884431;-45.120503652039325
1739209782.9884496;-38.13080360867914
1739209782.9884558;-35.57807855764607
1739209782.9884622;-38.13080360867914
1739209782.9884684;-35.57807855764607
1739209782.9884748;-38.13080360867914
1739209782.988481;-38.13080360867914
1739209782.9884875;-45.120503652039325
1739209782.9884937;-45.120503652039325
