CAN Message; 0x98:000018426b269763
Timestamp;Amplitude
1739209905.4335022;-38.13080360867914
1739209905.4335122;-45.120503652039325
1739209905.4335225;-38.13080360867914
1739209905.4335325;-45.120503652039325
1739209905.4335427;-38.13080360867914
1739209905.433553;-38.13080360867914
1739209905.433563;-38.13080360867914
1739209905.4335732;-45.120503652039325
1739209905.4335833;-45.120503652039325
1739209905.4335935;-35.57807855764607
1739209905.4336035;-38.13080360867914
1739209905.4336138;-45.120503652039325
1739209905.433624;-45.120503652039325
1739209905.433634;-33.981070128970906
1739209905.4336443;-38.13080360867914
1739209905.4336543;-27.8777449560314
1739209905.4336646;-31.141103565318893
1739209905.4336748;-38.13080360867914
1739209905.4336848;-38.13080360867914
1739209905.433695;-38.13080360867914
1739209905.433705;-38.13080360867914
1739209905.4337153;-45.120503652039325
1739209905.4337254;-45.120503652039325
1739209905.4337356;-45.120503652039325
1739209905.4337459;-45.120503652039325
1739209905.4337559;-38.13080360867914
1739209905.4337661;-38.13080360867914
1739209905.4337761;-45.120503652039325
1739209905.4337864;-45.120503652039325
1739209905.4337966;-45.120503652039325
1739209905.4338067;-38.13080360867914
1739209905.433817;-45.120503652039325
1739209905.433827;-38.13080360867914
1739209905.4338372;-35.57807855764607
1739209905.4338472;-45.120503652039325
1739209905.4338574;-45.120503652039325
1739209905.4338677;-45.120503652039325
1739209905.4338777;-38.13080360867914
1739209905.433888;-45.120503652039325
1739209905.433898;-38.13080360867914
1739209905.4339082;-32.816014438256545
1739209905.4339185;-33.981070128970906
1739209905.4339285;-45.120503652039325
1739209905.4339387;-45.120503652039325
1739209905.4339488;-38.13080360867914
1739209905.433959;-38.13080360867914
1739209905.433969;-35.57807855764607
1739209905.4339793;-45.120503652039325
1739209905.4339895;-45.120503652039325
1739209905.4339995;-35.57807855764607
1739209905.4340098;-45.120503652039325
1739209905.4340198;-45.120503652039325
1739209905.43403;-45.120503652039325
1739209905.4340403;-45.120503652039325
1739209905.4340503;-45.120503652039325
1739209905.4340606;-38.13080360867914
1739209905.4340706;-38.13080360867914
1739209905.4340808;-45.120503652039325
1739209905.434091;-45.120503652039325
1739209905.434101;-38.13080360867914
1739209905.4341114;-45.120503652039325
1739209905.4341214;-38.13080360867914
1739209905.4341316;-38.13080360867914
1739209905.4341416;-38.13080360867914
1739209905.434152;-45.120503652039325
1739209905.4341621;-38.13080360867914
1739209905.4341722;-45.120503652039325
1739209905.4341824;-45.120503652039325
1739209905.4341924;-38.13080360867914
1739209905.4342027;-38.13080360867914
1739209905.434213;-45.120503652039325
1739209905.434223;-45.120503652039325
1739209905.4342332;-38.13080360867914
