CAN Message; 0x1bb:0000358f938a33e4
Timestamp;Amplitude
1739209616.359471;-45.120503652039325
1739209616.359476;-45.120503652039325
1739209616.359481;-45.120503652039325
1739209616.359486;-45.120503652039325
1739209616.359491;-38.13080360867914
1739209616.359496;-38.13080360867914
1739209616.3595011;-38.13080360867914
1739209616.359506;-45.120503652039325
1739209616.359511;-45.120503652039325
1739209616.359516;-38.13080360867914
1739209616.359521;-38.13080360867914
1739209616.359526;-38.13080360867914
1739209616.359531;-45.120503652039325
1739209616.359536;-45.120503652039325
1739209616.359541;-33.981070128970906
1739209616.359546;-45.120503652039325
1739209616.359551;-45.120503652039325
1739209616.359556;-38.13080360867914
1739209616.359561;-33.981070128970906
1739209616.359566;-33.981070128970906
1739209616.359571;-38.13080360867914
1739209616.3595757;-38.13080360867914
1739209616.3595808;-38.13080360867914
1739209616.3595858;-45.120503652039325
1739209616.3595908;-45.120503652039325
1739209616.3595958;-45.120503652039325
1739209616.3596008;-33.981070128970906
1739209616.3596058;-31.141103565318915
1739209616.3596108;-45.120503652039325
1739209616.3596158;-38.13080360867914
1739209616.3596208;-35.57807855764607
1739209616.3596258;-38.13080360867914
1739209616.3596308;-33.981070128970906
1739209616.3596358;-45.120503652039325
1739209616.3596408;-38.13080360867914
1739209616.3596458;-32.816014438256545
1739209616.3596506;-45.120503652039325
1739209616.3596556;-45.120503652039325
1739209616.3596606;-33.981070128970906
1739209616.3596656;-38.13080360867914
1739209616.3596706;-38.13080360867914
1739209616.3596756;-38.13080360867914
1739209616.3596807;-38.13080360867914
1739209616.3596857;-38.13080360867914
1739209616.3596907;-45.120503652039325
1739209616.3596957;-38.13080360867914
1739209616.3597007;-38.13080360867914
1739209616.3597057;-38.13080360867914
1739209616.3597107;-45.120503652039325
1739209616.3597157;-45.120503652039325
1739209616.3597205;-35.57807855764607
1739209616.3597255;-38.13080360867914
1739209616.3597305;-38.13080360867914
1739209616.3597355;-38.13080360867914
1739209616.3597405;-45.120503652039325
1739209616.3597455;-45.120503652039325
1739209616.3597505;-45.120503652039325
1739209616.3597555;-45.120503652039325
1739209616.3597605;-45.120503652039325
1739209616.3597655;-38.13080360867914
1739209616.3597705;-38.13080360867914
1739209616.3597755;-45.120503652039325
1739209616.3597806;-45.120503652039325
1739209616.3597856;-38.13080360867914
1739209616.3597903;-38.13080360867914
1739209616.3597953;-45.120503652039325
1739209616.3598003;-38.13080360867914
1739209616.3598053;-27.267205301931607
1739209616.3598104;-38.13080360867914
1739209616.3598154;-45.120503652039325
1739209616.3598204;-45.120503652039325
1739209616.3598254;-33.981070128970906
1739209616.3598304;-45.120503652039325
1739209616.3598354;-38.13080360867914
1739209616.3598404;-45.120503652039325
1739209616.3598454;-45.120503652039325
1739209616.3598504;-38.13080360867914
1739209616.3598554;-38.13080360867914
1739209616.3598604;-45.120503652039325
1739209616.3598652;-35.57807855764607
1739209616.3598702;-35.57807855764607
1739209616.3598752;-45.120503652039325
1739209616.3598802;-38.13080360867914
1739209616.3598852;-32.816014438256545
1739209616.3598902;-35.57807855764607
1739209616.3598952;-45.120503652039325
1739209616.3599002;-45.120503652039325
1739209616.3599052;-45.120503652039325
1739209616.3599102;-45.120503652039325
1739209616.3599153;-45.120503652039325
1739209616.3599203;-45.120503652039325
1739209616.3599253;-33.981070128970906
1739209616.3599303;-35.57807855764607
1739209616.359935;-45.120503652039325
1739209616.35994;-38.13080360867914
1739209616.359945;-33.981070128970906
1739209616.35995;-45.120503652039325
1739209616.359955;-45.120503652039325
1739209616.35996;-45.120503652039325
1739209616.359965;-45.120503652039325
1739209616.35997;-45.120503652039325
1739209616.359975;-45.120503652039325
1739209616.35998;-45.120503652039325
1739209616.359985;-38.13080360867914
1739209616.3599901;-30.49652367304973
1739209616.3599951;-38.13080360867914
1739209616.3600001;-38.13080360867914
1739209616.3600051;-38.13080360867914
1739209616.36001;-45.120503652039325
1739209616.360015;-45.120503652039325
1739209616.36002;-45.120503652039325
1739209616.360025;-38.13080360867914
1739209616.36003;-45.120503652039325
1739209616.360035;-45.120503652039325
1739209616.36004;-38.13080360867914
1739209616.360045;-45.120503652039325
1739209616.36005;-45.120503652039325
1739209616.360055;-45.120503652039325
1739209616.36006;-38.13080360867914
1739209616.360065;-38.13080360867914
