CAN Message; 0x39:0c51c29776db4f11
Timestamp;Amplitude
1739209911.7481866;-45.120503652039325
1739209911.7481942;-38.13080360867914
1739209911.748202;-33.981070128970906
1739209911.74821;-38.13080360867914
1739209911.7482178;-38.13080360867914
1739209911.7482255;-38.13080360867914
1739209911.7482333;-38.13080360867914
1739209911.7482412;-35.57807855764607
1739209911.7482488;-35.57807855764607
1739209911.7482567;-45.120503652039325
1739209911.7482646;-38.13080360867914
1739209911.7482722;-38.13080360867914
1739209911.74828;-38.13080360867914
1739209911.748288;-38.13080360867914
1739209911.7482958;-38.13080360867914
1739209911.7483034;-38.13080360867914
1739209911.7483113;-45.120503652039325
1739209911.7483191;-38.13080360867914
1739209911.7483268;-33.981070128970906
1739209911.7483346;-45.120503652039325
1739209911.7483425;-38.13080360867914
1739209911.7483501;-45.120503652039325
1739209911.748358;-38.13080360867914
1739209911.7483659;-35.57807855764607
1739209911.7483737;-38.13080360867914
1739209911.7483814;-45.120503652039325
1739209911.7483892;-38.13080360867914
1739209911.748397;-45.120503652039325
1739209911.7484047;-45.120503652039325
1739209911.7484126;-35.57807855764607
1739209911.7484205;-45.120503652039325
1739209911.7484283;-38.13080360867914
1739209911.748436;-38.13080360867914
1739209911.7484438;-38.13080360867914
1739209911.7484517;-45.120503652039325
1739209911.7484593;-38.13080360867914
1739209911.7484672;-38.13080360867914
1739209911.748475;-38.13080360867914
1739209911.7484827;-38.13080360867914
1739209911.7484906;-35.57807855764607
1739209911.7484984;-35.57807855764607
1739209911.7485063;-45.120503652039325
1739209911.748514;-45.120503652039325
1739209911.7485218;-45.120503652039325
1739209911.7485297;-45.120503652039325
1739209911.7485373;-45.120503652039325
1739209911.7485452;-45.120503652039325
1739209911.748553;-45.120503652039325
1739209911.7485607;-38.13080360867914
1739209911.7485685;-45.120503652039325
1739209911.7485764;-38.13080360867914
1739209911.7485843;-38.13080360867914
1739209911.748592;-33.981070128970906
1739209911.7485998;-45.120503652039325
1739209911.7486076;-45.120503652039325
1739209911.7486153;-45.120503652039325
1739209911.7486231;-45.120503652039325
1739209911.748631;-45.120503652039325
1739209911.7486386;-45.120503652039325
1739209911.7486465;-38.13080360867914
1739209911.7486544;-38.13080360867914
1739209911.7486622;-38.13080360867914
1739209911.7486699;-45.120503652039325
1739209911.7486777;-38.13080360867914
1739209911.7486856;-35.57807855764607
1739209911.7486932;-38.13080360867914
1739209911.748701;-38.13080360867914
1739209911.748709;-38.13080360867914
1739209911.7487168;-38.13080360867914
1739209911.7487245;-38.13080360867914
1739209911.7487323;-38.13080360867914
1739209911.7487402;-32.816014438256545
1739209911.7487478;-45.120503652039325
1739209911.7487557;-38.13080360867914
1739209911.7487636;-38.13080360867914
1739209911.7487712;-45.120503652039325
1739209911.748779;-33.981070128970906
1739209911.748787;-33.981070128970906
1739209911.7487948;-38.13080360867914
1739209911.7488024;-38.13080360867914
1739209911.7488103;-38.13080360867914
1739209911.7488182;-38.13080360867914
1739209911.7488258;-45.120503652039325
1739209911.7488337;-31.141103565318915
1739209911.7488415;-38.13080360867914
1739209911.7488492;-45.120503652039325
1739209911.748857;-45.120503652039325
1739209911.748865;-38.13080360867914
1739209911.7488728;-45.120503652039325
1739209911.7488804;-45.120503652039325
1739209911.7488883;-45.120503652039325
1739209911.7488961;-45.120503652039325
1739209911.7489038;-38.13080360867914
1739209911.7489116;-33.981070128970906
1739209911.7489195;-45.120503652039325
1739209911.748927;-38.13080360867914
1739209911.748935;-35.57807855764607
1739209911.7489429;-38.13080360867914
1739209911.7489507;-45.120503652039325
1739209911.7489583;-35.57807855764607
1739209911.7489662;-38.13080360867914
1739209911.748974;-45.120503652039325
1739209911.7489817;-38.13080360867914
1739209911.7489896;-35.57807855764607
1739209911.7489974;-33.981070128970906
1739209911.7490053;-45.120503652039325
1739209911.749013;-45.120503652039325
1739209911.7490208;-45.120503652039325
1739209911.7490287;-45.120503652039325
1739209911.7490363;-38.13080360867914
1739209911.7490442;-45.120503652039325
1739209911.749052;-38.13080360867914
1739209911.7490597;-38.13080360867914
1739209911.7490675;-38.13080360867914
1739209911.7490754;-45.120503652039325
1739209911.7490833;-35.57807855764607
1739209911.749091;-35.57807855764607
1739209911.7490988;-33.981070128970906
