CAN Message; 0x150:03009128293be3f3
Timestamp;Amplitude
1739209879.978488;-32.816014438256545
1739209879.978495;-30.49652367304973
1739209879.978502;-45.120503652039325
1739209879.978509;-38.13080360867914
1739209879.9785159;-33.981070128970906
1739209879.9785228;-38.13080360867914
1739209879.97853;-38.13080360867914
1739209879.9785368;-35.57807855764607
1739209879.9785438;-38.13080360867914
1739209879.978551;-35.57807855764607
1739209879.9785578;-45.120503652039325
1739209879.9785647;-33.981070128970906
1739209879.978572;-32.816014438256545
1739209879.9785788;-35.57807855764607
1739209879.9785857;-45.120503652039325
1739209879.9785926;-38.13080360867914
1739209879.9785998;-45.120503652039325
1739209879.9786067;-45.120503652039325
1739209879.9786136;-35.57807855764607
1739209879.9786208;-38.13080360867914
1739209879.9786277;-45.120503652039325
1739209879.9786346;-45.120503652039325
1739209879.9786417;-35.57807855764607
1739209879.9786487;-28.58837851428586
1739209879.9786556;-45.120503652039325
1739209879.9786625;-45.120503652039325
1739209879.9786696;-45.120503652039325
1739209879.9786766;-45.120503652039325
1739209879.9786835;-45.120503652039325
1739209879.9786906;-45.120503652039325
1739209879.9786975;-45.120503652039325
1739209879.9787045;-38.13080360867914
1739209879.9787114;-45.120503652039325
1739209879.9787185;-38.13080360867914
1739209879.9787254;-45.120503652039325
1739209879.9787323;-38.13080360867914
1739209879.9787395;-38.13080360867914
1739209879.9787464;-45.120503652039325
1739209879.9787533;-38.13080360867914
1739209879.9787605;-38.13080360867914
1739209879.9787674;-45.120503652039325
1739209879.9787743;-45.120503652039325
1739209879.9787812;-45.120503652039325
1739209879.9787884;-45.120503652039325
1739209879.9787953;-38.13080360867914
1739209879.9788022;-33.981070128970906
1739209879.9788094;-38.13080360867914
1739209879.9788163;-35.57807855764607
1739209879.9788232;-38.13080360867914
1739209879.9788303;-45.120503652039325
1739209879.9788373;-45.120503652039325
1739209879.9788442;-45.120503652039325
1739209879.978851;-38.13080360867914
1739209879.9788582;-38.13080360867914
1739209879.9788651;-45.120503652039325
1739209879.978872;-32.81601443825658
1739209879.9788792;-38.13080360867914
1739209879.9788861;-45.120503652039325
1739209879.978893;-45.120503652039325
1739209879.9789;-38.13080360867914
1739209879.978907;-45.120503652039325
1739209879.978914;-38.13080360867914
1739209879.978921;-35.57807855764607
1739209879.978928;-27.267205301931607
1739209879.978935;-38.13080360867914
1739209879.978942;-38.13080360867914
1739209879.978949;-45.120503652039325
1739209879.978956;-38.13080360867914
1739209879.978963;-45.120503652039325
1739209879.9789698;-45.120503652039325
1739209879.978977;-38.13080360867914
1739209879.9789839;-38.13080360867914
1739209879.9789908;-38.13080360867914
1739209879.978998;-33.981070128970906
1739209879.9790049;-45.120503652039325
1739209879.9790118;-45.120503652039325
1739209879.979019;-35.57807855764607
1739209879.9790258;-38.13080360867914
1739209879.9790328;-38.13080360867914
1739209879.9790397;-33.981070128970906
1739209879.9790468;-45.120503652039325
1739209879.9790537;-45.120503652039325
1739209879.9790606;-45.120503652039325
1739209879.9790678;-45.120503652039325
1739209879.9790747;-45.120503652039325
1739209879.9790816;-33.981070128970906
1739209879.9790888;-38.13080360867914
1739209879.9790957;-31.141103565318915
1739209879.9791026;-33.981070128970906
1739209879.9791095;-45.120503652039325
1739209879.9791167;-38.13080360867914
1739209879.9791236;-33.981070128970906
1739209879.9791305;-38.13080360867914
1739209879.9791377;-45.120503652039325
1739209879.9791446;-35.57807855764607
1739209879.9791515;-31.141103565318915
1739209879.9791584;-33.981070128970906
1739209879.9791656;-38.13080360867914
1739209879.9791725;-38.13080360867914
1739209879.9791794;-38.13080360867914
1739209879.9791865;-45.120503652039325
1739209879.9791934;-38.13080360867914
1739209879.9792004;-33.981070128970906
1739209879.9792075;-31.141103565318915
1739209879.9792144;-33.981070128970906
1739209879.9792213;-38.13080360867914
1739209879.9792283;-45.120503652039325
1739209879.9792354;-38.13080360867914
1739209879.9792423;-32.816014438256545
1739209879.9792492;-45.120503652039325
1739209879.9792564;-33.981070128970906
1739209879.9792633;-33.981070128970906
1739209879.9792702;-38.13080360867914
1739209879.9792774;-33.981070128970906
1739209879.9792843;-45.120503652039325
1739209879.9792912;-45.120503652039325
1739209879.979298;-33.981070128970906
1739209879.9793053;-38.13080360867914
1739209879.9793122;-38.13080360867914
1739209879.979319;-38.13080360867914
1739209879.9793262;-33.981070128970906
1739209879.9793332;-45.120503652039325
1739209879.97934;-45.120503652039325
1739209879.9793472;-45.120503652039325
1739209879.9793541;-45.120503652039325
1739209879.979361;-45.120503652039325
1739209879.979368;-38.13080360867914
1739209879.9793751;-38.13080360867914
1739209879.979382;-38.13080360867914
1739209879.979389;-45.120503652039325
1739209879.979396;-45.120503652039325
1739209879.979403;-33.981070128970906
1739209879.97941;-32.816014438256545
1739209879.9794168;-38.13080360867914
1739209879.979424;-35.57807855764607
1739209879.979431;-33.981070128970906
1739209879.9794378;-38.13080360867914
1739209879.979445;-45.120503652039325
1739209879.979452;-32.816014438256545
1739209879.9794588;-38.13080360867914
1739209879.979466;-45.120503652039325
1739209879.9794729;-35.57807855764607
1739209879.9794798;-45.120503652039325
1739209879.9794867;-38.13080360867914
1739209879.9794939;-45.120503652039325
1739209879.9795008;-33.981070128970906
1739209879.9795077;-45.120503652039325
1739209879.9795148;-45.120503652039325
1739209879.9795218;-38.13080360867914
1739209879.9795287;-38.13080360867914
1739209879.9795358;-45.120503652039325
1739209879.9795427;-45.120503652039325
1739209879.9795496;-30.49652367304973
1739209879.9795566;-31.141103565318915
1739209879.9795637;-45.120503652039325
1739209879.9795706;-45.120503652039325
1739209879.9795775;-38.13080360867914
1739209879.9795847;-35.57807855764607
1739209879.9795916;-45.120503652039325
1739209879.9795985;-38.13080360867914
1739209879.9796054;-45.120503652039325
1739209879.9796126;-45.120503652039325
1739209879.9796195;-32.816014438256545
1739209879.9796264;-38.13080360867914
1739209879.9796336;-45.120503652039325
1739209879.9796405;-45.120503652039325
1739209879.9796474;-38.13080360867914
1739209879.9796546;-45.120503652039325
1739209879.9796615;-32.816014438256545
1739209879.9796684;-32.816014438256545
1739209879.9796753;-38.13080360867914
1739209879.9796824;-35.57807855764607
1739209879.9796894;-38.13080360867914
1739209879.9796963;-35.57807855764607
1739209879.9797034;-38.13080360867914
1739209879.9797103;-45.120503652039325
1739209879.9797173;-45.120503652039325
1739209879.9797244;-45.120503652039325
