CAN Message; 0x98:00003391936ad426
Timestamp;Amplitude
1739209891.1008615;-45.120503652039325
1739209891.1008728;-30.49652367304973
1739209891.1008837;-38.13080360867914
1739209891.100895;-38.13080360867914
1739209891.100906;-45.120503652039325
1739209891.100917;-38.13080360867914
1739209891.100928;-38.13080360867914
1739209891.1009393;-38.13080360867914
1739209891.1009502;-38.13080360867914
1739209891.1009614;-35.57807855764607
1739209891.1009724;-33.981070128970906
1739209891.1009836;-31.141103565318915
1739209891.1009946;-38.13080360867914
1739209891.1010058;-35.57807855764607
1739209891.1010168;-38.13080360867914
1739209891.101028;-38.13080360867914
1739209891.101039;-45.120503652039325
1739209891.10105;-35.57807855764607
1739209891.101061;-38.13080360867914
1739209891.101072;-45.120503652039325
1739209891.1010833;-45.120503652039325
1739209891.1010942;-38.13080360867914
1739209891.1011055;-45.120503652039325
1739209891.1011164;-45.120503652039325
1739209891.1011276;-45.120503652039325
1739209891.1011386;-45.120503652039325
1739209891.1011498;-45.120503652039325
1739209891.1011608;-38.13080360867914
1739209891.101172;-38.13080360867914
1739209891.101183;-45.120503652039325
1739209891.1011941;-45.120503652039325
1739209891.101205;-45.120503652039325
1739209891.101216;-38.13080360867914
1739209891.1012273;-45.120503652039325
1739209891.1012383;-45.120503652039325
1739209891.1012495;-45.120503652039325
1739209891.1012604;-45.120503652039325
1739209891.1012716;-38.13080360867914
1739209891.1012826;-45.120503652039325
1739209891.1012938;-38.13080360867914
1739209891.1013048;-45.120503652039325
1739209891.101316;-35.57807855764607
1739209891.101327;-38.13080360867914
1739209891.1013381;-45.120503652039325
1739209891.101349;-38.13080360867914
1739209891.1013603;-45.120503652039325
1739209891.1013713;-45.120503652039325
1739209891.1013823;-38.13080360867914
1739209891.1013935;-38.13080360867914
1739209891.1014044;-45.120503652039325
1739209891.1014156;-45.120503652039325
1739209891.1014266;-32.816014438256545
1739209891.1014378;-45.120503652039325
1739209891.1014488;-38.13080360867914
1739209891.10146;-38.13080360867914
1739209891.101471;-33.981070128970906
1739209891.1014822;-45.120503652039325
1739209891.1014931;-45.120503652039325
1739209891.1015043;-38.13080360867914
1739209891.1015153;-45.120503652039325
1739209891.1015265;-38.13080360867914
1739209891.1015375;-38.13080360867914
1739209891.1015487;-38.13080360867914
1739209891.1015596;-45.120503652039325
1739209891.1015706;-38.13080360867914
1739209891.1015818;-45.120503652039325
1739209891.1015928;-38.13080360867914
1739209891.101604;-35.57807855764607
1739209891.101615;-38.13080360867914
1739209891.1016262;-45.120503652039325
1739209891.1016371;-38.13080360867914
1739209891.1016483;-38.13080360867914
1739209891.1016593;-38.13080360867914
1739209891.1016705;-38.13080360867914
1739209891.1016815;-35.57807855764607
1739209891.1016927;-33.981070128970906
1739209891.1017036;-38.13080360867914
1739209891.1017148;-38.13080360867914
1739209891.1017258;-45.120503652039325
1739209891.101737;-35.57807855764607
1739209891.101748;-38.13080360867914
1739209891.101759;-38.13080360867914
1739209891.1017702;-38.13080360867914
1739209891.1017811;-45.120503652039325
1739209891.1017923;-33.981070128970906
1739209891.1018033;-35.57807855764607
1739209891.1018145;-33.981070128970906
1739209891.1018255;-38.13080360867914
1739209891.1018367;-38.13080360867914
1739209891.1018476;-38.13080360867914
1739209891.1018589;-38.13080360867914
1739209891.1018698;-45.120503652039325
1739209891.101881;-35.57807855764607
1739209891.101892;-38.13080360867914
1739209891.1019032;-38.13080360867914
1739209891.1019142;-38.13080360867914
1739209891.1019251;-38.13080360867914
1739209891.1019363;-35.57807855764607
1739209891.1019473;-38.13080360867914
1739209891.1019585;-38.13080360867914
1739209891.1019695;-38.13080360867914
1739209891.1019807;-35.57807855764607
1739209891.1019917;-38.13080360867914
1739209891.1020029;-45.120503652039325
1739209891.1020138;-38.13080360867914
1739209891.102025;-38.13080360867914
1739209891.102036;-38.13080360867914
1739209891.1020472;-45.120503652039325
1739209891.1020582;-45.120503652039325
1739209891.1020694;-38.13080360867914
1739209891.1020803;-38.13080360867914
1739209891.1020913;-45.120503652039325
1739209891.1021025;-45.120503652039325
1739209891.1021135;-35.57807855764607
1739209891.1021247;-35.57807855764607
1739209891.1021357;-45.120503652039325
1739209891.1021469;-33.981070128970906
1739209891.1021578;-38.13080360867914
1739209891.102169;-38.13080360867914
1739209891.10218;-35.57807855764607
1739209891.1021912;-35.57807855764607
1739209891.1022022;-38.13080360867914
1739209891.1022134;-33.981070128970906
1739209891.1022243;-45.120503652039325
1739209891.1022356;-33.981070128970906
1739209891.1022465;-38.13080360867914
1739209891.1022577;-38.13080360867914
1739209891.1022687;-38.13080360867914
1739209891.1022797;-45.120503652039325
1739209891.1022909;-45.120503652039325
