CAN Message; 0x98:00002df07c4ca8ad
Timestamp;Amplitude
1739209765.1783693;-38.13080360867914
1739209765.178375;-45.120503652039325
1739209765.1783807;-38.13080360867914
1739209765.1783864;-32.816014438256545
1739209765.1783924;-45.120503652039325
1739209765.1783981;-35.57807855764607
1739209765.1784039;-38.13080360867914
1739209765.1784096;-45.120503652039325
1739209765.1784153;-35.57807855764607
1739209765.178421;-35.57807855764607
1739209765.1784267;-38.13080360867914
1739209765.1784325;-38.13080360867914
1739209765.1784382;-38.13080360867914
1739209765.178444;-45.120503652039325
1739209765.1784496;-45.120503652039325
1739209765.1784554;-45.120503652039325
1739209765.178461;-45.120503652039325
1739209765.178467;-45.120503652039325
1739209765.1784728;-45.120503652039325
1739209765.1784785;-45.120503652039325
1739209765.1784842;-38.13080360867914
1739209765.17849;-45.120503652039325
1739209765.1784956;-45.120503652039325
1739209765.1785014;-38.13080360867914
1739209765.178507;-38.13080360867914
1739209765.1785128;-45.120503652039325
1739209765.1785185;-38.13080360867914
1739209765.1785243;-35.57807855764607
1739209765.17853;-38.13080360867914
1739209765.1785357;-45.120503652039325
1739209765.1785417;-33.981070128970906
1739209765.1785474;-38.13080360867914
1739209765.178553;-38.13080360867914
1739209765.1785588;-35.57807855764607
1739209765.1785645;-33.981070128970906
1739209765.1785703;-35.57807855764607
1739209765.178576;-38.13080360867914
1739209765.1785817;-45.120503652039325
1739209765.1785874;-33.981070128970906
1739209765.1785932;-45.120503652039325
1739209765.1785989;-38.13080360867914
1739209765.1786046;-45.120503652039325
1739209765.1786103;-45.120503652039325
1739209765.1786163;-38.13080360867914
1739209765.178622;-38.13080360867914
1739209765.1786277;-45.120503652039325
1739209765.1786335;-33.981070128970906
1739209765.1786392;-35.57807855764607
1739209765.178645;-45.120503652039325
1739209765.1786506;-45.120503652039325
1739209765.1786563;-38.13080360867914
1739209765.178662;-45.120503652039325
1739209765.1786678;-38.13080360867914
1739209765.1786735;-38.13080360867914
1739209765.1786792;-38.13080360867914
