CAN Message; 0x1a7:0000456fd2875685
Timestamp;Amplitude
1739209759.5814526;-38.13080360867914
1739209759.5814548;-33.981070128970906
1739209759.5814571;-38.13080360867914
1739209759.5814595;-32.816014438256545
1739209759.5814617;-38.13080360867914
1739209759.581464;-38.13080360867914
1739209759.5814662;-33.981070128970906
1739209759.5814686;-38.13080360867914
1739209759.581471;-35.57807855764607
1739209759.581473;-45.120503652039325
1739209759.5814755;-38.13080360867914
1739209759.5814779;-33.981070128970906
1739209759.58148;-45.120503652039325
1739209759.5814824;-45.120503652039325
1739209759.5814848;-45.120503652039325
1739209759.581487;-45.120503652039325
1739209759.5814893;-38.13080360867914
1739209759.5814915;-45.120503652039325
1739209759.5814939;-45.120503652039325
1739209759.5814962;-33.981070128970906
1739209759.5814984;-38.13080360867914
1739209759.5815008;-38.13080360867914
1739209759.5815032;-38.13080360867914
1739209759.5815053;-45.120503652039325
1739209759.5815077;-38.13080360867914
1739209759.58151;-35.57807855764607
1739209759.5815122;-38.13080360867914
1739209759.5815146;-38.13080360867914
1739209759.5815167;-38.13080360867914
1739209759.5815191;-45.120503652039325
1739209759.5815215;-38.13080360867914
1739209759.5815237;-38.13080360867914
1739209759.581526;-38.13080360867914
1739209759.5815284;-45.120503652039325
1739209759.5815306;-38.13080360867914
1739209759.581533;-35.57807855764607
1739209759.5815353;-33.981070128970906
1739209759.5815375;-45.120503652039325
1739209759.5815399;-45.120503652039325
1739209759.5815423;-38.13080360867914
1739209759.5815444;-38.13080360867914
1739209759.5815468;-38.13080360867914
1739209759.581549;-38.13080360867914
1739209759.5815513;-45.120503652039325
1739209759.5815537;-45.120503652039325
1739209759.5815558;-38.13080360867914
1739209759.5815582;-27.267205301931607
1739209759.5815606;-38.13080360867914
1739209759.5815628;-38.13080360867914
1739209759.5815651;-38.13080360867914
1739209759.5815675;-45.120503652039325
1739209759.5815697;-45.120503652039325
1739209759.581572;-38.13080360867914
1739209759.5815742;-38.13080360867914
1739209759.5815766;-31.14110356531892
1739209759.581579;-45.120503652039325
1739209759.581581;-45.120503652039325
1739209759.5815835;-30.49652367304973
1739209759.581586;-35.57807855764607
1739209759.581588;-45.120503652039325
1739209759.5815904;-45.120503652039325
1739209759.5815928;-38.13080360867914
1739209759.581595;-27.267205301931607
1739209759.5815973;-38.13080360867914
1739209759.5815995;-38.13080360867914
1739209759.5816019;-38.13080360867914
1739209759.5816042;-33.981070128970906
1739209759.5816064;-38.13080360867914
1739209759.5816088;-45.120503652039325
1739209759.5816112;-45.120503652039325
1739209759.5816133;-32.816014438256545
1739209759.5816157;-45.120503652039325
1739209759.581618;-45.120503652039325
1739209759.5816202;-45.120503652039325
1739209759.5816226;-38.13080360867914
1739209759.5816247;-45.120503652039325
1739209759.5816271;-45.120503652039325
1739209759.5816295;-38.13080360867914
1739209759.5816317;-33.981070128970906
1739209759.581634;-45.120503652039325
1739209759.5816364;-45.120503652039325
1739209759.5816386;-38.13080360867914
1739209759.581641;-45.120503652039325
1739209759.5816433;-45.120503652039325
1739209759.5816455;-45.120503652039325
1739209759.5816479;-45.120503652039325
1739209759.58165;-45.120503652039325
1739209759.5816524;-38.13080360867914
1739209759.5816548;-35.57807855764607
1739209759.581657;-45.120503652039325
1739209759.5816593;-45.120503652039325
1739209759.5816617;-35.57807855764607
1739209759.5816638;-38.13080360867914
1739209759.5816662;-45.120503652039325
1739209759.5816686;-33.981070128970906
1739209759.5816708;-33.981070128970906
1739209759.5816731;-38.13080360867914
1739209759.5816753;-38.13080360867914
1739209759.5816777;-38.13080360867914
1739209759.58168;-38.13080360867914
1739209759.5816822;-33.981070128970906
1739209759.5816846;-38.13080360867914
1739209759.581687;-33.981070128970906
1739209759.5816891;-38.13080360867914
1739209759.5816915;-45.120503652039325
1739209759.581694;-38.13080360867914
1739209759.581696;-38.13080360867914
1739209759.5816984;-38.13080360867914
1739209759.5817008;-45.120503652039325
1739209759.581703;-45.120503652039325
1739209759.5817053;-33.981070128970906
1739209759.5817075;-33.981070128970906
1739209759.5817099;-45.120503652039325
1739209759.5817122;-45.120503652039325
1739209759.5817144;-45.120503652039325
1739209759.5817168;-45.120503652039325
1739209759.5817192;-45.120503652039325
1739209759.5817213;-45.120503652039325
1739209759.5817237;-45.120503652039325
1739209759.581726;-45.120503652039325
1739209759.5817282;-38.13080360867914
1739209759.5817306;-45.120503652039325
1739209759.5817327;-38.13080360867914
1739209759.5817351;-45.120503652039325
1739209759.5817375;-45.120503652039325
1739209759.5817397;-45.120503652039325
1739209759.581742;-38.13080360867914
1739209759.5817444;-38.13080360867914
1739209759.5817466;-45.120503652039325
1739209759.581749;-45.120503652039325
1739209759.5817513;-38.13080360867914
1739209759.5817535;-35.57807855764607
1739209759.5817559;-38.13080360867914
1739209759.581758;-45.120503652039325
1739209759.5817604;-38.13080360867914
1739209759.5817628;-38.13080360867914
1739209759.581765;-38.13080360867914
1739209759.5817673;-45.120503652039325
1739209759.5817697;-33.981070128970906
1739209759.5817719;-45.120503652039325
1739209759.5817742;-45.120503652039325
1739209759.5817766;-38.13080360867914
1739209759.5817788;-45.120503652039325
1739209759.5817811;-45.120503652039325
1739209759.5817833;-38.13080360867914
1739209759.5817857;-38.13080360867914
1739209759.581788;-38.13080360867914
1739209759.5817902;-32.816014438256545
1739209759.5817926;-33.981070128970906
1739209759.581795;-38.13080360867914
1739209759.5817971;-38.13080360867914
1739209759.5817995;-35.57807855764607
1739209759.581802;-32.816014438256545
1739209759.581804;-38.13080360867914
1739209759.5818064;-45.120503652039325
1739209759.5818086;-45.120503652039325
1739209759.581811;-33.981070128970906
1739209759.5818133;-45.120503652039325
1739209759.5818155;-38.13080360867914
1739209759.5818179;-32.816014438256545
1739209759.5818202;-45.120503652039325
1739209759.5818224;-45.120503652039325
1739209759.5818248;-38.13080360867914
1739209759.5818272;-33.981070128970906
1739209759.5818293;-45.120503652039325
1739209759.5818317;-45.120503652039325
1739209759.5818338;-45.120503652039325
1739209759.5818362;-31.141103565318893
1739209759.5818386;-32.816014438256545
1739209759.5818408;-45.120503652039325
1739209759.5818431;-38.13080360867914
1739209759.5818455;-38.13080360867914
1739209759.5818477;-35.57807855764607
1739209759.58185;-45.120503652039325
1739209759.5818524;-38.13080360867914
1739209759.5818546;-45.120503652039325
1739209759.581857;-45.120503652039325
1739209759.5818594;-32.816014438256545
1739209759.5818615;-38.13080360867914
1739209759.5818639;-45.120503652039325
1739209759.581866;-38.13080360867914
1739209759.5818684;-45.120503652039325
1739209759.5818708;-45.120503652039325
1739209759.581873;-38.13080360867914
1739209759.5818753;-38.13080360867914
