CAN Message; 0x98:00009df17ddb5fbc
Timestamp;Amplitude
1739209810.849473;-32.816014438256545
1739209810.8494756;-38.13080360867914
1739209810.8494785;-45.120503652039325
1739209810.8494813;-45.120503652039325
1739209810.8494842;-45.120503652039325
1739209810.8494868;-45.120503652039325
1739209810.8494897;-38.13080360867914
1739209810.8494925;-33.981070128970906
1739209810.8494952;-45.120503652039325
1739209810.849498;-45.120503652039325
1739209810.849501;-45.120503652039325
1739209810.8495035;-38.13080360867914
1739209810.8495064;-33.981070128970906
1739209810.8495092;-45.120503652039325
1739209810.849512;-45.120503652039325
1739209810.8495147;-35.57807855764607
1739209810.8495176;-35.57807855764607
1739209810.8495204;-38.13080360867914
1739209810.849523;-45.120503652039325
1739209810.849526;-45.120503652039325
1739209810.8495288;-45.120503652039325
1739209810.8495317;-45.120503652039325
1739209810.8495343;-38.13080360867914
1739209810.8495371;-35.57807855764607
1739209810.84954;-33.981070128970906
1739209810.8495426;-45.120503652039325
1739209810.8495455;-33.981070128970906
1739209810.8495483;-38.13080360867914
1739209810.849551;-45.120503652039325
1739209810.8495538;-45.120503652039325
1739209810.8495567;-38.13080360867914
1739209810.8495595;-35.57807855764607
1739209810.8495622;-38.13080360867914
1739209810.849565;-45.120503652039325
1739209810.849568;-38.13080360867914
1739209810.8495705;-32.816014438256545
1739209810.8495734;-45.120503652039325
1739209810.8495762;-45.120503652039325
1739209810.8495789;-38.13080360867914
1739209810.8495817;-35.57807855764607
1739209810.8495846;-38.13080360867914
1739209810.8495874;-38.13080360867914
1739209810.84959;-45.120503652039325
1739209810.849593;-45.120503652039325
1739209810.8495958;-45.120503652039325
1739209810.8495984;-45.120503652039325
1739209810.8496013;-38.13080360867914
1739209810.8496041;-38.13080360867914
1739209810.849607;-45.120503652039325
1739209810.8496096;-45.120503652039325
1739209810.8496125;-38.13080360867914
1739209810.8496153;-45.120503652039325
1739209810.849618;-35.57807855764607
1739209810.8496208;-30.49652367304973
1739209810.8496237;-45.120503652039325
1739209810.8496263;-45.120503652039325
1739209810.8496292;-38.13080360867914
1739209810.849632;-32.816014438256545
1739209810.849635;-45.120503652039325
1739209810.8496375;-45.120503652039325
1739209810.8496404;-45.120503652039325
1739209810.8496432;-38.13080360867914
1739209810.8496459;-38.13080360867914
1739209810.8496487;-45.120503652039325
1739209810.8496516;-38.13080360867914
1739209810.8496544;-45.120503652039325
1739209810.849657;-45.120503652039325
1739209810.84966;-45.120503652039325
1739209810.8496628;-33.981070128970906
1739209810.8496654;-32.816014438256545
1739209810.8496683;-45.120503652039325
1739209810.8496711;-38.13080360867914
1739209810.8496737;-38.13080360867914
1739209810.8496766;-32.816014438256545
1739209810.8496795;-38.13080360867914
1739209810.8496823;-35.57807855764607
1739209810.849685;-38.13080360867914
1739209810.8496878;-35.57807855764607
1739209810.8496907;-45.120503652039325
1739209810.8496933;-38.13080360867914
1739209810.8496962;-38.13080360867914
1739209810.849699;-38.13080360867914
1739209810.849702;-38.13080360867914
1739209810.8497045;-35.57807855764607
1739209810.8497074;-38.13080360867914
1739209810.8497102;-38.13080360867914
1739209810.8497128;-45.120503652039325
1739209810.8497157;-35.57807855764607
1739209810.8497186;-38.13080360867914
1739209810.8497212;-45.120503652039325
1739209810.849724;-38.13080360867914
1739209810.849727;-32.816014438256545
1739209810.8497298;-38.13080360867914
1739209810.8497324;-29.438486411369333
1739209810.8497353;-45.120503652039325
1739209810.8497381;-45.120503652039325
1739209810.8497407;-45.120503652039325
1739209810.8497436;-45.120503652039325
1739209810.8497465;-45.120503652039325
1739209810.8497493;-45.120503652039325
1739209810.849752;-45.120503652039325
1739209810.8497548;-33.981070128970956
1739209810.8497577;-45.120503652039325
1739209810.8497603;-38.13080360867914
1739209810.8497632;-38.13080360867914
1739209810.849766;-45.120503652039325
1739209810.8497686;-45.120503652039325
1739209810.8497715;-38.13080360867914
1739209810.8497744;-45.120503652039325
1739209810.8497772;-29.438486411369333
1739209810.8497798;-38.13080360867914
1739209810.8497827;-45.120503652039325
1739209810.8497856;-38.13080360867914
1739209810.8497882;-32.816014438256545
1739209810.849791;-38.13080360867914
1739209810.849794;-45.120503652039325
1739209810.8497965;-45.120503652039325
1739209810.8497994;-31.141103565318893
1739209810.8498023;-35.57807855764607
1739209810.849805;-38.13080360867914
1739209810.8498077;-38.13080360867914
1739209810.8498106;-35.57807855764607
1739209810.8498135;-38.13080360867914
1739209810.849816;-45.120503652039325
1739209810.849819;-38.13080360867914
1739209810.8498218;-35.57807855764607
1739209810.8498247;-45.120503652039325
1739209810.8498273;-45.120503652039325
1739209810.8498302;-45.120503652039325
1739209810.849833;-45.120503652039325
1739209810.8498356;-38.13080360867914
1739209810.8498385;-45.120503652039325
1739209810.8498414;-45.120503652039325
