CAN Message; 0x1a7:0000df48cf4d017a
Timestamp;Amplitude
1739209674.8040853;-33.981070128970906
1739209674.804091;-45.120503652039325
1739209674.8040967;-33.981070128970906
1739209674.8041022;-45.120503652039325
1739209674.804108;-38.13080360867914
1739209674.8041136;-45.120503652039325
1739209674.8041193;-45.120503652039325
1739209674.804125;-45.120503652039325
1739209674.8041308;-45.120503652039325
1739209674.8041365;-33.981070128970906
1739209674.804142;-33.981070128970906
1739209674.8041477;-45.120503652039325
1739209674.8041534;-38.13080360867914
1739209674.8041592;-38.13080360867914
1739209674.804165;-38.13080360867914
1739209674.8041706;-45.120503652039325
1739209674.8041763;-33.981070128970906
1739209674.804182;-38.13080360867914
1739209674.8041875;-38.13080360867914
1739209674.8041933;-38.13080360867914
1739209674.804199;-31.141103565318915
1739209674.8042047;-32.816014438256545
1739209674.8042104;-38.13080360867914
1739209674.8042161;-35.57807855764607
1739209674.8042219;-38.13080360867914
1739209674.8042274;-45.120503652039325
1739209674.804233;-38.13080360867914
1739209674.8042388;-38.13080360867914
1739209674.8042445;-29.438486411369354
1739209674.8042502;-38.13080360867914
1739209674.804256;-45.120503652039325
1739209674.8042617;-35.57807855764607
1739209674.8042672;-45.120503652039325
1739209674.804273;-45.120503652039325
1739209674.8042786;-33.981070128970906
1739209674.8042843;-38.13080360867914
1739209674.80429;-31.141103565318915
1739209674.8042958;-33.981070128970906
1739209674.8043015;-45.120503652039325
1739209674.804307;-38.13080360867914
1739209674.8043127;-38.13080360867914
1739209674.8043184;-45.120503652039325
1739209674.8043242;-45.120503652039325
1739209674.8043299;-33.981070128970906
1739209674.8043356;-45.120503652039325
1739209674.8043413;-45.120503652039325
1739209674.8043468;-38.13080360867914
1739209674.8043525;-38.13080360867914
1739209674.8043582;-38.13080360867914
1739209674.804364;-45.120503652039325
1739209674.8043697;-45.120503652039325
1739209674.8043754;-38.13080360867914
1739209674.8043811;-45.120503652039325
1739209674.8043869;-45.120503652039325
1739209674.8043923;-38.13080360867914
1739209674.804398;-45.120503652039325
1739209674.8044038;-45.120503652039325
1739209674.8044095;-45.120503652039325
1739209674.8044152;-38.13080360867914
1739209674.804421;-45.120503652039325
1739209674.8044267;-30.49652367304973
1739209674.8044322;-28.58837851428586
1739209674.8044379;-38.13080360867914
1739209674.8044436;-35.57807855764607
1739209674.8044493;-31.141103565318915
1739209674.804455;-38.13080360867914
1739209674.8044608;-45.120503652039325
1739209674.8044665;-38.13080360867914
1739209674.804472;-45.120503652039325
1739209674.8044777;-38.13080360867914
1739209674.8044834;-38.13080360867914
1739209674.8044891;-35.57807855764607
1739209674.8044949;-38.13080360867914
1739209674.8045006;-38.13080360867914
1739209674.8045063;-33.981070128970906
1739209674.8045118;-45.120503652039325
1739209674.8045175;-38.13080360867914
1739209674.8045232;-29.438486411369333
1739209674.804529;-45.120503652039325
1739209674.8045347;-35.57807855764607
1739209674.8045404;-38.13080360867914
1739209674.804546;-45.120503652039325
1739209674.8045516;-45.120503652039325
1739209674.8045573;-45.120503652039325
1739209674.804563;-45.120503652039325
1739209674.8045688;-45.120503652039325
1739209674.8045745;-45.120503652039325
1739209674.8045802;-45.120503652039325
1739209674.804586;-45.120503652039325
1739209674.8045917;-33.981070128970906
1739209674.8045971;-35.57807855764607
1739209674.8046029;-35.57807855764607
1739209674.8046086;-45.120503652039325
1739209674.8046143;-45.120503652039325
1739209674.80462;-38.13080360867914
1739209674.8046257;-38.13080360867914
1739209674.8046315;-45.120503652039325
1739209674.804637;-45.120503652039325
1739209674.8046427;-38.13080360867914
1739209674.8046484;-45.120503652039325
1739209674.8046541;-35.57807855764607
1739209674.8046598;-35.57807855764607
1739209674.8046656;-45.120503652039325
1739209674.8046713;-45.120503652039325
1739209674.8046768;-35.57807855764607
1739209674.8046825;-38.13080360867914
1739209674.8046882;-38.13080360867914
1739209674.804694;-45.120503652039325
1739209674.8046997;-45.120503652039325
1739209674.8047054;-45.120503652039325
1739209674.804711;-33.981070128970906
1739209674.8047166;-45.120503652039325
