CAN Message; 0x39:02146403dd1a9af1
Timestamp;Amplitude
1739209829.0630198;-45.120503652039325
1739209829.0630271;-38.13080360867914
1739209829.0630345;-35.57807855764607
1739209829.0630422;-38.13080360867914
1739209829.0630496;-38.13080360867914
1739209829.063057;-45.120503652039325
1739209829.0630643;-45.120503652039325
1739209829.0630717;-45.120503652039325
1739209829.063079;-35.57807855764607
1739209829.0630865;-38.13080360867914
1739209829.0630941;-45.120503652039325
1739209829.0631015;-45.120503652039325
1739209829.063109;-45.120503652039325
1739209829.0631163;-38.13080360867914
1739209829.0631237;-45.120503652039325
1739209829.063131;-45.120503652039325
1739209829.0631385;-45.120503652039325
1739209829.063146;-38.13080360867914
1739209829.0631535;-45.120503652039325
1739209829.063161;-38.13080360867914
1739209829.0631683;-38.13080360867914
1739209829.0631757;-38.13080360867914
1739209829.063183;-26.991370085610736
1739209829.0631905;-32.816014438256545
1739209829.063198;-35.57807855764607
1739209829.0632055;-38.13080360867914
1739209829.0632129;-32.816014438256545
1739209829.0632203;-38.13080360867914
1739209829.0632277;-45.120503652039325
1739209829.063235;-38.13080360867914
1739209829.0632427;-45.120503652039325
1739209829.06325;-38.13080360867914
1739209829.0632575;-38.13080360867914
1739209829.0632648;-38.13080360867914
1739209829.0632722;-45.120503652039325
1739209829.0632796;-45.120503652039325
1739209829.063287;-32.816014438256545
1739209829.0632946;-38.13080360867914
1739209829.063302;-45.120503652039325
1739209829.0633094;-45.120503652039325
1739209829.0633168;-45.120503652039325
1739209829.0633242;-38.13080360867914
1739209829.0633316;-45.120503652039325
1739209829.063339;-45.120503652039325
1739209829.0633466;-38.13080360867914
1739209829.063354;-45.120503652039325
1739209829.0633614;-32.816014438256545
1739209829.0633688;-35.57807855764607
1739209829.0633762;-38.13080360867914
1739209829.0633836;-45.120503652039325
1739209829.063391;-32.816014438256545
1739209829.0633986;-45.120503652039325
1739209829.063406;-45.120503652039325
1739209829.0634134;-45.120503652039325
1739209829.0634208;-45.120503652039325
1739209829.0634282;-45.120503652039325
1739209829.0634356;-45.120503652039325
1739209829.063443;-38.13080360867914
1739209829.0634506;-35.57807855764607
1739209829.063458;-45.120503652039325
1739209829.0634654;-45.120503652039325
1739209829.0634727;-38.13080360867914
1739209829.0634801;-35.57807855764607
1739209829.0634875;-38.13080360867914
1739209829.063495;-35.57807855764607
1739209829.0635026;-38.13080360867914
1739209829.06351;-45.120503652039325
1739209829.0635173;-45.120503652039325
1739209829.0635247;-45.120503652039325
1739209829.063532;-38.13080360867914
1739209829.0635395;-38.13080360867914
1739209829.063547;-33.981070128970906
1739209829.0635545;-38.13080360867914
1739209829.063562;-38.13080360867914
1739209829.0635693;-38.13080360867914
1739209829.0635767;-38.13080360867914
1739209829.063584;-45.120503652039325
1739209829.0635915;-45.120503652039325
1739209829.0635989;-45.120503652039325
1739209829.0636065;-38.13080360867914
1739209829.063614;-45.120503652039325
1739209829.0636213;-45.120503652039325
1739209829.0636287;-45.120503652039325
1739209829.063636;-38.13080360867914
1739209829.0636435;-38.13080360867914
1739209829.063651;-45.120503652039325
1739209829.0636585;-45.120503652039325
1739209829.0636659;-45.120503652039325
1739209829.0636733;-38.13080360867914
1739209829.0636806;-38.13080360867914
1739209829.063688;-45.120503652039325
1739209829.0636954;-38.13080360867914
1739209829.063703;-32.816014438256545
1739209829.0637105;-38.13080360867914
1739209829.0637178;-45.120503652039325
1739209829.0637252;-27.877744956031414
1739209829.0637326;-35.57807855764607
1739209829.06374;-38.13080360867914
1739209829.0637474;-45.120503652039325
1739209829.063755;-38.13080360867914
1739209829.0637624;-35.57807855764607
1739209829.0637698;-38.13080360867914
1739209829.0637772;-45.120503652039325
1739209829.0637846;-32.816014438256545
1739209829.063792;-45.120503652039325
