CAN Message; 0x62:0d9925c5a3c0ef46
Timestamp;Amplitude
1739209762.6560423;-38.13080360867914
1739209762.6560488;-28.992665084841942
1739209762.6560555;-35.57807855764607
1739209762.6560621;-45.120503652039325
1739209762.6560688;-45.120503652039325
1739209762.6560752;-38.13080360867914
1739209762.656082;-35.57807855764607
1739209762.6560886;-35.57807855764607
1739209762.6560953;-45.120503652039325
1739209762.6561017;-38.13080360867914
1739209762.6561084;-38.13080360867914
1739209762.656115;-38.13080360867914
1739209762.6561215;-38.13080360867914
1739209762.6561282;-38.13080360867914
1739209762.6561348;-35.57807855764607
1739209762.6561415;-45.120503652039325
1739209762.656148;-45.120503652039325
1739209762.6561546;-35.57807855764607
1739209762.6561613;-33.981070128970906
1739209762.656168;-38.13080360867914
1739209762.6561744;-45.120503652039325
1739209762.656181;-45.120503652039325
1739209762.6561878;-38.13080360867914
1739209762.6561942;-38.13080360867914
1739209762.656201;-45.120503652039325
1739209762.6562076;-27.267205301931607
1739209762.6562142;-35.57807855764607
1739209762.6562207;-38.13080360867914
1739209762.6562274;-45.120503652039325
1739209762.656234;-45.120503652039325
1739209762.6562407;-45.120503652039325
1739209762.6562471;-45.120503652039325
1739209762.6562538;-45.120503652039325
1739209762.6562605;-45.120503652039325
1739209762.656267;-38.13080360867914
1739209762.6562736;-38.13080360867914
1739209762.6562803;-45.120503652039325
1739209762.656287;-33.981070128970906
1739209762.6562934;-38.13080360867914
1739209762.6563;-38.13080360867914
1739209762.6563067;-45.120503652039325
1739209762.6563134;-45.120503652039325
1739209762.6563199;-38.13080360867914
1739209762.6563265;-38.13080360867914
1739209762.6563332;-45.120503652039325
1739209762.6563396;-38.13080360867914
1739209762.6563463;-38.13080360867914
1739209762.656353;-45.120503652039325
1739209762.6563597;-45.120503652039325
1739209762.656366;-27.267205301931607
1739209762.6563728;-32.816014438256545
1739209762.6563795;-38.13080360867914
1739209762.6563861;-35.57807855764607
1739209762.6563926;-38.13080360867914
1739209762.6563993;-45.120503652039325
1739209762.656406;-38.13080360867914
1739209762.6564124;-38.13080360867914
1739209762.656419;-35.57807855764607
1739209762.6564257;-45.120503652039325
1739209762.6564324;-38.13080360867914
1739209762.6564388;-45.120503652039325
1739209762.6564455;-45.120503652039325
1739209762.6564522;-38.13080360867914
1739209762.6564589;-38.13080360867914
1739209762.6564653;-38.13080360867914
1739209762.656472;-45.120503652039325
1739209762.6564786;-45.120503652039325
1739209762.656485;-38.13080360867914
1739209762.6564918;-35.57807855764607
1739209762.6564984;-45.120503652039325
1739209762.656505;-38.13080360867914
1739209762.6565115;-38.13080360867914
1739209762.6565182;-33.981070128970906
1739209762.656525;-35.57807855764607
1739209762.6565316;-38.13080360867914
1739209762.656538;-45.120503652039325
1739209762.6565447;-35.57807855764607
1739209762.6565514;-38.13080360867914
1739209762.6565578;-45.120503652039325
1739209762.6565645;-32.816014438256545
1739209762.6565711;-32.816014438256545
1739209762.6565778;-45.120503652039325
1739209762.6565843;-45.120503652039325
1739209762.656591;-33.981070128970906
1739209762.6565976;-45.120503652039325
1739209762.6566043;-45.120503652039325
1739209762.6566107;-28.992665084841942
1739209762.6566174;-38.13080360867914
1739209762.656624;-45.120503652039325
1739209762.6566305;-38.13080360867914
1739209762.6566372;-45.120503652039325
1739209762.6566439;-45.120503652039325
1739209762.6566505;-38.13080360867914
1739209762.656657;-45.120503652039325
1739209762.6566637;-45.120503652039325
1739209762.6566703;-35.57807855764607
1739209762.656677;-45.120503652039325
1739209762.6566834;-45.120503652039325
1739209762.6566901;-45.120503652039325
1739209762.6566968;-45.120503652039325
1739209762.6567032;-45.120503652039325
1739209762.65671;-32.816014438256545
1739209762.6567166;-33.981070128970906
1739209762.6567233;-45.120503652039325
1739209762.6567297;-38.13080360867914
1739209762.6567364;-45.120503652039325
1739209762.656743;-28.992665084841942
1739209762.6567497;-38.13080360867914
1739209762.6567562;-45.120503652039325
1739209762.6567628;-33.981070128970906
1739209762.6567695;-38.13080360867914
1739209762.656776;-38.13080360867914
1739209762.6567826;-45.120503652039325
1739209762.6567893;-45.120503652039325
1739209762.656796;-45.120503652039325
1739209762.6568024;-38.13080360867914
1739209762.656809;-38.13080360867914
1739209762.6568158;-45.120503652039325
1739209762.6568224;-45.120503652039325
1739209762.6568289;-45.120503652039325
1739209762.6568356;-45.120503652039325
1739209762.6568422;-45.120503652039325
1739209762.6568487;-38.13080360867914
1739209762.6568553;-45.120503652039325
1739209762.656862;-45.120503652039325
1739209762.6568687;-38.13080360867914
1739209762.6568751;-30.49652367304973
1739209762.6568818;-38.13080360867914
1739209762.6568885;-45.120503652039325
1739209762.6568952;-45.120503652039325
1739209762.6569016;-38.13080360867914
1739209762.6569083;-38.13080360867914
1739209762.656915;-38.13080360867914
1739209762.6569214;-45.120503652039325
1739209762.656928;-45.120503652039325
1739209762.6569347;-45.120503652039325
1739209762.6569414;-45.120503652039325
1739209762.6569479;-38.13080360867914
1739209762.6569545;-35.57807855764607
1739209762.6569612;-45.120503652039325
1739209762.6569679;-45.120503652039325
1739209762.6569743;-45.120503652039325
1739209762.656981;-33.981070128970906
1739209762.6569877;-45.120503652039325
1739209762.656994;-45.120503652039325
1739209762.6570008;-45.120503652039325
1739209762.6570075;-27.267205301931607
1739209762.6570141;-31.141103565318915
1739209762.6570206;-45.120503652039325
1739209762.6570272;-38.13080360867914
1739209762.657034;-33.981070128970906
