CAN Message; 0x98:00007fc0e89c0ef1
Timestamp;Amplitude
1739209833.8059077;-32.816014438256545
1739209833.8059216;-45.120503652039325
1739209833.8059356;-38.13080360867914
1739209833.8059494;-35.57807855764607
1739209833.8059633;-38.13080360867914
1739209833.805977;-45.120503652039325
1739209833.805991;-38.13080360867914
1739209833.806005;-38.13080360867914
1739209833.8060188;-38.13080360867914
1739209833.8060327;-35.57807855764607
1739209833.8060465;-38.13080360867914
1739209833.8060603;-45.120503652039325
1739209833.8060744;-45.120503652039325
1739209833.8060882;-32.816014438256545
1739209833.806102;-45.120503652039325
1739209833.8061159;-45.120503652039325
1739209833.8061297;-38.13080360867914
1739209833.8061438;-38.13080360867914
1739209833.8061576;-45.120503652039325
1739209833.8061714;-45.120503652039325
1739209833.8061852;-45.120503652039325
1739209833.806199;-35.57807855764607
1739209833.8062131;-45.120503652039325
1739209833.806227;-38.13080360867914
1739209833.8062408;-35.57807855764607
1739209833.8062546;-45.120503652039325
1739209833.8062687;-45.120503652039325
1739209833.8062825;-38.13080360867914
1739209833.8062963;-38.13080360867914
1739209833.8063102;-45.120503652039325
1739209833.806324;-38.13080360867914
1739209833.806338;-45.120503652039325
1739209833.806352;-45.120503652039325
1739209833.8063657;-45.120503652039325
1739209833.8063796;-38.13080360867914
1739209833.8063934;-38.13080360867914
1739209833.8064075;-38.13080360867914
1739209833.8064213;-38.13080360867914
1739209833.806435;-38.13080360867914
1739209833.806449;-38.13080360867914
1739209833.8064628;-38.13080360867914
1739209833.8064768;-38.13080360867914
1739209833.8064907;-38.13080360867914
1739209833.8065045;-35.57807855764607
1739209833.8065183;-38.13080360867914
1739209833.8065321;-38.13080360867914
1739209833.8065462;-45.120503652039325
1739209833.80656;-45.120503652039325
1739209833.8065739;-45.120503652039325
1739209833.8065877;-45.120503652039325
1739209833.8066015;-45.120503652039325
1739209833.8066156;-35.57807855764607
1739209833.8066294;-35.57807855764607
1739209833.8066432;-45.120503652039325
1739209833.806657;-38.13080360867914
1739209833.806671;-38.13080360867914
1739209833.806685;-38.13080360867914
