CAN Message; 0x1d3:00002b8409416761
Timestamp;Amplitude
1739209679.9554062;-45.120503652039325
1739209679.9554095;-45.120503652039325
1739209679.9554129;-38.13080360867914
1739209679.9554162;-38.13080360867914
1739209679.9554195;-45.120503652039325
1739209679.9554229;-45.120503652039325
1739209679.9554265;-45.120503652039325
1739209679.9554298;-38.13080360867914
1739209679.9554331;-38.13080360867914
1739209679.9554365;-33.981070128970906
1739209679.9554398;-35.57807855764607
1739209679.9554431;-38.13080360867914
1739209679.9554465;-45.120503652039325
1739209679.9554498;-38.13080360867914
1739209679.9554532;-32.816014438256545
1739209679.9554565;-38.13080360867914
1739209679.9554598;-45.120503652039325
1739209679.9554632;-45.120503652039325
1739209679.9554667;-45.120503652039325
1739209679.95547;-45.120503652039325
1739209679.9554734;-45.120503652039325
1739209679.9554768;-45.120503652039325
1739209679.95548;-38.13080360867914
1739209679.9554834;-45.120503652039325
1739209679.9554868;-45.120503652039325
1739209679.95549;-45.120503652039325
1739209679.9554935;-45.120503652039325
1739209679.9554968;-38.13080360867914
1739209679.9555001;-38.13080360867914
1739209679.9555035;-38.13080360867914
1739209679.9555068;-38.13080360867914
1739209679.9555104;-45.120503652039325
1739209679.9555137;-45.120503652039325
1739209679.955517;-33.981070128970906
1739209679.9555204;-26.487275050834715
1739209679.9555237;-38.13080360867914
1739209679.955527;-45.120503652039325
1739209679.9555304;-45.120503652039325
1739209679.9555337;-45.120503652039325
1739209679.955537;-45.120503652039325
1739209679.9555404;-45.120503652039325
1739209679.9555438;-45.120503652039325
1739209679.955547;-33.981070128970956
1739209679.9555504;-45.120503652039325
1739209679.955554;-45.120503652039325
1739209679.9555573;-45.120503652039325
1739209679.9555607;-45.120503652039325
1739209679.955564;-35.57807855764607
1739209679.9555674;-38.13080360867914
1739209679.9555707;-31.141103565318915
1739209679.955574;-25.252786309376837
1739209679.9555774;-38.13080360867914
1739209679.9555807;-38.13080360867914
1739209679.955584;-35.57807855764607
1739209679.9555874;-32.816014438256545
1739209679.9555907;-38.13080360867914
1739209679.9555943;-45.120503652039325
1739209679.9555976;-45.120503652039325
1739209679.955601;-38.13080360867914
1739209679.9556043;-45.120503652039325
1739209679.9556077;-45.120503652039325
1739209679.955611;-45.120503652039325
1739209679.9556143;-45.120503652039325
1739209679.9556177;-38.13080360867914
1739209679.955621;-38.13080360867914
1739209679.9556243;-38.13080360867914
1739209679.9556277;-29.438486411369333
1739209679.955631;-35.57807855764607
1739209679.9556344;-45.120503652039325
1739209679.955638;-38.13080360867914
1739209679.9556413;-35.57807855764607
1739209679.9556446;-38.13080360867914
1739209679.955648;-45.120503652039325
1739209679.9556513;-38.13080360867914
1739209679.9556546;-45.120503652039325
1739209679.955658;-45.120503652039325
1739209679.9556613;-33.981070128970906
1739209679.9556646;-38.13080360867914
1739209679.955668;-45.120503652039325
1739209679.9556713;-45.120503652039325
1739209679.9556746;-45.120503652039325
1739209679.955678;-45.120503652039325
1739209679.9556816;-45.120503652039325
1739209679.955685;-38.13080360867914
1739209679.9556882;-45.120503652039325
1739209679.9556916;-45.120503652039325
1739209679.955695;-45.120503652039325
1739209679.9556983;-45.120503652039325
1739209679.9557016;-45.120503652039325
1739209679.955705;-38.13080360867914
1739209679.9557083;-29.438486411369333
1739209679.9557116;-32.816014438256545
1739209679.955715;-45.120503652039325
1739209679.9557183;-45.120503652039325
1739209679.9557219;-32.816014438256545
1739209679.9557252;-45.120503652039325
1739209679.9557285;-38.13080360867914
1739209679.9557319;-38.13080360867914
1739209679.9557352;-38.13080360867914
1739209679.9557385;-45.120503652039325
1739209679.955742;-38.13080360867914
1739209679.9557452;-45.120503652039325
1739209679.9557486;-45.120503652039325
1739209679.955752;-38.13080360867914
1739209679.9557552;-35.57807855764607
1739209679.9557586;-45.120503652039325
1739209679.955762;-30.49652367304973
1739209679.9557655;-31.141103565318915
1739209679.9557688;-45.120503652039325
1739209679.9557722;-38.13080360867914
1739209679.9557755;-38.13080360867914
1739209679.9557788;-45.120503652039325
1739209679.9557822;-38.13080360867914
1739209679.9557855;-38.13080360867914
1739209679.9557889;-45.120503652039325
1739209679.9557922;-45.120503652039325
1739209679.9557955;-45.120503652039325
1739209679.9557989;-45.120503652039325
1739209679.9558022;-45.120503652039325
1739209679.9558055;-38.13080360867914
1739209679.955809;-45.120503652039325
1739209679.9558125;-38.13080360867914
1739209679.9558158;-45.120503652039325
1739209679.9558191;-45.120503652039325
1739209679.9558225;-35.57807855764607
1739209679.9558258;-38.13080360867914
1739209679.9558291;-45.120503652039325
1739209679.9558325;-38.13080360867914
1739209679.9558358;-45.120503652039325
1739209679.9558392;-38.13080360867914
1739209679.9558425;-32.816014438256545
1739209679.9558458;-38.13080360867914
1739209679.9558494;-38.13080360867914
1739209679.9558527;-38.13080360867914
