CAN Message; 0x1bb:00004b2c98b76c9e
Timestamp;Amplitude
1739209764.4354162;-45.120503652039325
1739209764.43543;-31.141103565318915
1739209764.4354439;-32.816014438256545
1739209764.4354577;-38.13080360867914
1739209764.4354715;-45.120503652039325
1739209764.4354854;-45.120503652039325
1739209764.4354992;-35.57807855764607
1739209764.435513;-38.13080360867914
1739209764.4355268;-45.120503652039325
1739209764.4355407;-38.13080360867914
1739209764.4355545;-35.57807855764607
1739209764.4355683;-38.13080360867914
1739209764.4355822;-45.120503652039325
1739209764.435596;-33.981070128970906
1739209764.4356098;-45.120503652039325
1739209764.4356236;-38.13080360867914
1739209764.4356375;-45.120503652039325
1739209764.4356513;-45.120503652039325
1739209764.4356654;-45.120503652039325
1739209764.4356792;-38.13080360867914
1739209764.435693;-45.120503652039325
1739209764.4357069;-45.120503652039325
1739209764.4357207;-35.57807855764607
1739209764.4357345;-38.13080360867914
1739209764.4357483;-38.13080360867914
1739209764.4357622;-45.120503652039325
1739209764.435776;-38.13080360867914
1739209764.4357898;-38.13080360867914
1739209764.4358037;-45.120503652039325
1739209764.4358175;-38.13080360867914
1739209764.4358313;-45.120503652039325
1739209764.4358451;-38.13080360867914
1739209764.435859;-38.13080360867914
1739209764.4358728;-38.13080360867914
1739209764.4358866;-35.57807855764607
1739209764.4359004;-38.13080360867914
1739209764.4359143;-45.120503652039325
1739209764.435928;-45.120503652039325
1739209764.435942;-45.120503652039325
1739209764.4359558;-45.120503652039325
1739209764.4359696;-45.120503652039325
1739209764.4359834;-45.120503652039325
1739209764.4359972;-45.120503652039325
1739209764.436011;-38.13080360867914
1739209764.436025;-35.57807855764607
1739209764.4360387;-45.120503652039325
1739209764.4360526;-38.13080360867914
1739209764.4360664;-35.57807855764607
1739209764.4360802;-38.13080360867914
1739209764.436094;-45.120503652039325
1739209764.4361079;-38.13080360867914
1739209764.4361217;-38.13080360867914
1739209764.4361355;-45.120503652039325
1739209764.4361494;-45.120503652039325
1739209764.4361634;-38.13080360867914
1739209764.4361773;-45.120503652039325
1739209764.436191;-38.13080360867914
1739209764.436205;-45.120503652039325
1739209764.4362187;-45.120503652039325
1739209764.4362326;-38.13080360867914
1739209764.4362464;-38.13080360867914
1739209764.4362602;-45.120503652039325
1739209764.436274;-45.120503652039325
1739209764.4362879;-38.13080360867914
1739209764.4363017;-35.57807855764607
1739209764.4363155;-45.120503652039325
1739209764.4363294;-45.120503652039325
1739209764.4363432;-45.120503652039325
1739209764.436357;-45.120503652039325
1739209764.4363708;-45.120503652039325
1739209764.4363847;-45.120503652039325
1739209764.4363985;-38.13080360867914
1739209764.4364123;-38.13080360867914
1739209764.4364262;-45.120503652039325
1739209764.43644;-45.120503652039325
1739209764.4364538;-38.13080360867914
1739209764.4364676;-38.13080360867914
1739209764.4364815;-38.13080360867914
1739209764.4364953;-45.120503652039325
1739209764.4365091;-38.13080360867914
1739209764.436523;-38.13080360867914
1739209764.4365368;-38.13080360867914
1739209764.4365506;-45.120503652039325
1739209764.4365644;-45.120503652039325
1739209764.4365783;-45.120503652039325
1739209764.436592;-45.120503652039325
1739209764.436606;-45.120503652039325
1739209764.4366198;-45.120503652039325
1739209764.4366336;-45.120503652039325
1739209764.4366474;-45.120503652039325
1739209764.4366612;-35.57807855764607
1739209764.4366753;-38.13080360867914
1739209764.4366891;-45.120503652039325
1739209764.436703;-45.120503652039325
1739209764.4367168;-45.120503652039325
1739209764.4367306;-45.120503652039325
1739209764.4367445;-33.981070128970906
1739209764.4367583;-38.13080360867914
1739209764.436772;-45.120503652039325
1739209764.436786;-45.120503652039325
1739209764.4367998;-38.13080360867914
1739209764.4368136;-38.13080360867914
1739209764.4368274;-45.120503652039325
1739209764.4368412;-45.120503652039325
1739209764.436855;-45.120503652039325
1739209764.436869;-38.13080360867914
1739209764.4368827;-38.13080360867914
