CAN Message; 0x1bb:0000fbbbd2797d37
Timestamp;Amplitude
1739209852.1059403;-38.13080360867914
1739209852.1059475;-45.120503652039325
1739209852.105955;-38.13080360867914
1739209852.1059623;-38.13080360867914
1739209852.1059694;-45.120503652039325
1739209852.1059768;-45.120503652039325
1739209852.1059842;-45.120503652039325
1739209852.1059914;-45.120503652039325
1739209852.1059988;-38.13080360867914
1739209852.1060061;-38.13080360867914
1739209852.1060135;-45.120503652039325
1739209852.1060207;-32.816014438256545
1739209852.106028;-35.57807855764607
1739209852.1060355;-45.120503652039325
1739209852.1060426;-38.13080360867914
1739209852.10605;-38.13080360867914
1739209852.1060574;-38.13080360867914
1739209852.1060646;-45.120503652039325
1739209852.106072;-38.13080360867914
1739209852.1060793;-45.120503652039325
1739209852.1060865;-38.13080360867914
1739209852.106094;-38.13080360867914
1739209852.1061013;-45.120503652039325
1739209852.1061084;-38.13080360867914
1739209852.1061158;-38.13080360867914
1739209852.1061232;-45.120503652039325
1739209852.1061306;-45.120503652039325
1739209852.1061378;-45.120503652039325
1739209852.1061451;-38.13080360867914
1739209852.1061525;-38.13080360867914
1739209852.1061597;-45.120503652039325
1739209852.106167;-45.120503652039325
1739209852.1061745;-38.13080360867914
1739209852.1061816;-35.57807855764607
1739209852.106189;-45.120503652039325
1739209852.1061964;-45.120503652039325
1739209852.1062036;-33.981070128970906
1739209852.106211;-45.120503652039325
1739209852.1062183;-45.120503652039325
1739209852.1062255;-38.13080360867914
1739209852.106233;-33.981070128970906
1739209852.1062403;-35.57807855764607
1739209852.1062474;-35.57807855764607
1739209852.1062548;-38.13080360867914
1739209852.1062622;-38.13080360867914
1739209852.1062696;-38.13080360867914
1739209852.1062768;-38.13080360867914
1739209852.1062841;-45.120503652039325
1739209852.1062915;-45.120503652039325
1739209852.1062987;-35.57807855764607
1739209852.106306;-45.120503652039325
1739209852.1063135;-45.120503652039325
1739209852.1063206;-38.13080360867914
1739209852.106328;-45.120503652039325
1739209852.1063354;-38.13080360867914
1739209852.1063426;-38.13080360867914
1739209852.10635;-38.13080360867914
1739209852.1063573;-38.13080360867914
1739209852.1063645;-45.120503652039325
1739209852.1063719;-38.13080360867914
1739209852.1063793;-38.13080360867914
1739209852.1063867;-45.120503652039325
1739209852.1063938;-38.13080360867914
1739209852.1064012;-38.13080360867914
1739209852.1064086;-33.981070128970906
1739209852.1064157;-45.120503652039325
1739209852.1064231;-38.13080360867914
1739209852.1064305;-32.816014438256545
1739209852.1064377;-31.141103565318915
1739209852.106445;-38.13080360867914
1739209852.1064525;-33.981070128970906
1739209852.1064596;-35.57807855764607
1739209852.106467;-38.13080360867914
1739209852.1064744;-35.57807855764607
1739209852.1064816;-38.13080360867914
1739209852.106489;-38.13080360867914
1739209852.1064963;-31.141103565318915
1739209852.1065035;-45.120503652039325
1739209852.1065109;-38.13080360867914
1739209852.1065183;-38.13080360867914
1739209852.1065257;-35.57807855764607
1739209852.1065328;-38.13080360867914
1739209852.1065402;-45.120503652039325
1739209852.1065476;-32.816014438256545
