CAN Message; 0x62:0e8e9de3768d686c
Timestamp;Amplitude
1739209894.5311904;-38.13080360867914
1739209894.5312004;-45.120503652039325
1739209894.5312107;-38.13080360867914
1739209894.531221;-38.13080360867914
1739209894.5312312;-45.120503652039325
1739209894.5312412;-32.816014438256545
1739209894.5312514;-32.816014438256545
1739209894.5312617;-45.120503652039325
1739209894.531272;-38.13080360867914
1739209894.531282;-38.13080360867914
1739209894.5312922;-45.120503652039325
1739209894.5313025;-38.13080360867914
1739209894.5313127;-38.13080360867914
1739209894.5313227;-45.120503652039325
1739209894.531333;-33.981070128970956
1739209894.5313432;-38.13080360867914
1739209894.5313535;-45.120503652039325
1739209894.5313635;-45.120503652039325
1739209894.5313737;-45.120503652039325
1739209894.531384;-38.13080360867914
1739209894.531394;-45.120503652039325
1739209894.5314043;-33.981070128970906
1739209894.5314145;-29.438486411369333
1739209894.5314248;-38.13080360867914
1739209894.5314348;-45.120503652039325
1739209894.531445;-38.13080360867914
1739209894.5314553;-38.13080360867914
1739209894.5314655;-45.120503652039325
1739209894.5314755;-45.120503652039325
1739209894.5314858;-45.120503652039325
1739209894.531496;-45.120503652039325
1739209894.5315063;-45.120503652039325
1739209894.5315163;-38.13080360867914
1739209894.5315266;-45.120503652039325
1739209894.5315368;-38.13080360867914
1739209894.5315468;-38.13080360867914
1739209894.531557;-38.13080360867914
1739209894.5315673;-45.120503652039325
1739209894.5315776;-38.13080360867914
1739209894.5315876;-38.13080360867914
1739209894.5315979;-38.13080360867914
1739209894.531608;-45.120503652039325
1739209894.5316184;-38.13080360867914
1739209894.5316284;-32.816014438256545
1739209894.5316386;-38.13080360867914
1739209894.5316489;-45.120503652039325
1739209894.5316591;-27.8777449560314
1739209894.5316691;-32.816014438256545
1739209894.5316794;-45.120503652039325
1739209894.5316896;-45.120503652039325
1739209894.5317;-35.57807855764607
1739209894.53171;-45.120503652039325
1739209894.5317202;-38.13080360867914
1739209894.5317304;-38.13080360867914
1739209894.5317404;-31.141103565318943
1739209894.5317507;-45.120503652039325
1739209894.531761;-45.120503652039325
1739209894.5317712;-38.13080360867914
1739209894.5317812;-45.120503652039325
1739209894.5317914;-45.120503652039325
1739209894.5318017;-38.13080360867914
1739209894.531812;-45.120503652039325
1739209894.531822;-28.992665084841942
1739209894.5318322;-32.816014438256545
1739209894.5318425;-38.13080360867914
1739209894.5318527;-33.981070128970906
1739209894.5318627;-35.57807855764607
1739209894.531873;-45.120503652039325
1739209894.5318832;-45.120503652039325
1739209894.5318933;-38.13080360867914
1739209894.5319035;-35.57807855764607
1739209894.5319138;-38.13080360867914
1739209894.531924;-45.120503652039325
1739209894.531934;-45.120503652039325
1739209894.5319443;-32.816014438256545
1739209894.5319545;-45.120503652039325
1739209894.5319648;-35.57807855764607
1739209894.5319748;-38.13080360867914
1739209894.531985;-45.120503652039325
1739209894.5319953;-45.120503652039325
1739209894.5320055;-45.120503652039325
1739209894.5320156;-45.120503652039325
1739209894.5320258;-45.120503652039325
1739209894.532036;-38.13080360867914
1739209894.5320463;-38.13080360867914
