CAN Message; 0x1d3:0000876af1c9463e
Timestamp;Amplitude
1739209725.0112896;-38.13080360867914
1739209725.0112927;-45.120503652039325
1739209725.011296;-45.120503652039325
1739209725.0112991;-38.13080360867914
1739209725.0113025;-38.13080360867914
1739209725.0113056;-38.13080360867914
1739209725.011309;-38.13080360867914
1739209725.011312;-38.13080360867914
1739209725.0113153;-35.57807855764607
1739209725.0113184;-38.13080360867914
1739209725.0113218;-33.981070128970906
1739209725.011325;-45.120503652039325
1739209725.0113282;-45.120503652039325
1739209725.0113313;-33.981070128970906
1739209725.0113347;-33.981070128970906
1739209725.0113378;-38.13080360867914
1739209725.011341;-45.120503652039325
1739209725.0113442;-35.57807855764607
1739209725.0113475;-35.57807855764607
1739209725.0113506;-38.13080360867914
1739209725.011354;-45.120503652039325
1739209725.011357;-45.120503652039325
1739209725.0113604;-45.120503652039325
1739209725.0113635;-45.120503652039325
1739209725.0113668;-45.120503652039325
1739209725.01137;-38.13080360867914
1739209725.0113733;-38.13080360867914
1739209725.0113764;-45.120503652039325
1739209725.0113797;-45.120503652039325
1739209725.0113828;-45.120503652039325
1739209725.0113862;-38.13080360867914
1739209725.0113893;-33.981070128970906
1739209725.0113926;-45.120503652039325
1739209725.0113957;-38.13080360867914
1739209725.011399;-45.120503652039325
1739209725.0114021;-45.120503652039325
1739209725.0114055;-45.120503652039325
1739209725.0114086;-33.981070128970906
1739209725.011412;-38.13080360867914
1739209725.011415;-28.58837851428586
1739209725.0114183;-38.13080360867914
1739209725.0114214;-45.120503652039325
1739209725.0114248;-38.13080360867914
1739209725.0114279;-38.13080360867914
1739209725.0114312;-45.120503652039325
1739209725.0114343;-38.13080360867914
1739209725.0114377;-38.13080360867914
1739209725.0114408;-30.49652367304973
1739209725.011444;-38.13080360867914
1739209725.0114472;-38.13080360867914
1739209725.0114505;-31.141103565318893
1739209725.0114536;-45.120503652039325
1739209725.011457;-45.120503652039325
1739209725.01146;-45.120503652039325
1739209725.0114634;-38.13080360867914
1739209725.0114665;-31.141103565318915
1739209725.0114698;-38.13080360867914
1739209725.011473;-35.57807855764607
1739209725.0114763;-38.13080360867914
1739209725.0114794;-38.13080360867914
1739209725.0114827;-45.120503652039325
1739209725.0114858;-45.120503652039325
1739209725.0114892;-45.120503652039325
1739209725.0114923;-33.981070128970906
1739209725.0114956;-45.120503652039325
1739209725.011499;-45.120503652039325
1739209725.011502;-45.120503652039325
1739209725.0115054;-33.981070128970906
1739209725.0115085;-45.120503652039325
1739209725.0115118;-45.120503652039325
1739209725.011515;-45.120503652039325
1739209725.0115182;-38.13080360867914
1739209725.0115213;-45.120503652039325
1739209725.0115247;-45.120503652039325
1739209725.0115278;-38.13080360867914
1739209725.011531;-38.13080360867914
1739209725.0115342;-45.120503652039325
1739209725.0115376;-45.120503652039325
1739209725.0115407;-45.120503652039325
1739209725.011544;-33.981070128970906
1739209725.011547;-38.13080360867914
1739209725.0115504;-38.13080360867914
1739209725.0115535;-45.120503652039325
1739209725.0115569;-45.120503652039325
1739209725.01156;-32.816014438256545
1739209725.0115633;-45.120503652039325
1739209725.0115664;-38.13080360867914
1739209725.0115697;-38.13080360867914
1739209725.0115728;-38.13080360867914
1739209725.0115762;-38.13080360867914
1739209725.0115793;-45.120503652039325
1739209725.0115826;-38.13080360867914
1739209725.0115857;-45.120503652039325
1739209725.011589;-45.120503652039325
1739209725.0115921;-45.120503652039325
1739209725.0115955;-45.120503652039325
1739209725.0115986;-45.120503652039325
1739209725.011602;-38.13080360867914
1739209725.011605;-45.120503652039325
1739209725.0116084;-38.13080360867914
1739209725.0116115;-45.120503652039325
1739209725.0116148;-38.13080360867914
1739209725.011618;-45.120503652039325
1739209725.0116212;-33.981070128970906
1739209725.0116243;-29.438486411369333
1739209725.0116277;-38.13080360867914
1739209725.0116308;-45.120503652039325
1739209725.011634;-38.13080360867914
1739209725.0116372;-31.141103565318893
1739209725.0116405;-45.120503652039325
1739209725.0116436;-45.120503652039325
1739209725.011647;-38.13080360867914
1739209725.01165;-45.120503652039325
1739209725.0116534;-38.13080360867914
1739209725.0116565;-45.120503652039325
1739209725.0116599;-33.981070128970906
1739209725.011663;-45.120503652039325
1739209725.0116663;-38.13080360867914
1739209725.0116694;-45.120503652039325
1739209725.0116727;-33.981070128970906
1739209725.0116758;-32.816014438256545
1739209725.0116792;-35.57807855764607
1739209725.0116823;-38.13080360867914
1739209725.0116856;-38.13080360867914
1739209725.0116887;-35.57807855764607
1739209725.011692;-38.13080360867914
1739209725.0116951;-38.13080360867914
1739209725.0116985;-45.120503652039325
1739209725.0117018;-38.13080360867914
1739209725.011705;-38.13080360867914
1739209725.0117083;-45.120503652039325
1739209725.0117114;-45.120503652039325
1739209725.0117147;-45.120503652039325
1739209725.0117178;-45.120503652039325
1739209725.0117211;-38.13080360867914
1739209725.0117242;-38.13080360867914
1739209725.0117276;-45.120503652039325
1739209725.0117307;-38.13080360867914
1739209725.011734;-38.13080360867914
1739209725.011737;-33.981070128970906
1739209725.0117404;-33.981070128970906
1739209725.0117435;-45.120503652039325
1739209725.011747;-32.816014438256545
1739209725.01175;-38.13080360867914
1739209725.0117533;-30.49652367304973
1739209725.0117564;-33.981070128970906
1739209725.0117598;-38.13080360867914
1739209725.0117629;-45.120503652039325
1739209725.0117662;-45.120503652039325
1739209725.0117693;-38.13080360867914
1739209725.0117726;-45.120503652039325
1739209725.0117757;-45.120503652039325
1739209725.011779;-38.13080360867914
1739209725.0117822;-45.120503652039325
1739209725.0117855;-38.13080360867914
1739209725.0117886;-38.13080360867914
1739209725.011792;-45.120503652039325
1739209725.011795;-45.120503652039325
1739209725.0117984;-38.13080360867914
1739209725.0118015;-38.13080360867914
1739209725.0118048;-30.49652367304973
1739209725.011808;-35.57807855764607
1739209725.0118113;-45.120503652039325
1739209725.0118144;-38.13080360867914
1739209725.0118177;-38.13080360867914
1739209725.0118208;-45.120503652039325
1739209725.0118241;-38.13080360867914
1739209725.0118272;-45.120503652039325
1739209725.0118306;-30.49652367304973
1739209725.0118337;-35.57807855764607
1739209725.011837;-45.120503652039325
1739209725.01184;-35.57807855764607
1739209725.0118434;-35.57807855764607
1739209725.0118465;-38.13080360867914
1739209725.0118499;-38.13080360867914
1739209725.011853;-38.13080360867914
