CAN Message; 0x1bb:0000e4d5ebf04e37
Timestamp;Amplitude
1739209703.2216156;-33.981070128970906
1739209703.2216253;-45.120503652039325
1739209703.221635;-45.120503652039325
1739209703.2216449;-33.981070128970906
1739209703.2216547;-45.120503652039325
1739209703.2216644;-45.120503652039325
1739209703.2216742;-45.120503652039325
1739209703.221684;-33.981070128970906
1739209703.2216938;-45.120503652039325
1739209703.2217035;-38.13080360867914
1739209703.2217133;-45.120503652039325
1739209703.221723;-45.120503652039325
1739209703.2217329;-35.57807855764607
1739209703.2217426;-32.816014438256545
1739209703.2217524;-38.13080360867914
1739209703.2217622;-38.13080360867914
1739209703.221772;-35.57807855764607
1739209703.2217817;-45.120503652039325
1739209703.2217915;-33.981070128970906
1739209703.2218013;-38.13080360867914
1739209703.221811;-45.120503652039325
1739209703.2218208;-45.120503652039325
1739209703.2218306;-45.120503652039325
1739209703.2218404;-45.120503652039325
1739209703.2218502;-45.120503652039325
1739209703.22186;-45.120503652039325
1739209703.2218697;-38.13080360867914
1739209703.2218795;-33.981070128970906
1739209703.2218893;-45.120503652039325
1739209703.221899;-38.13080360867914
1739209703.2219088;-38.13080360867914
1739209703.2219186;-32.816014438256545
1739209703.2219284;-38.13080360867914
1739209703.2219381;-45.120503652039325
1739209703.221948;-38.13080360867914
1739209703.2219577;-35.57807855764607
1739209703.2219675;-32.816014438256545
1739209703.2219772;-45.120503652039325
1739209703.221987;-38.13080360867914
1739209703.2219968;-35.57807855764607
1739209703.2220066;-33.981070128970906
1739209703.2220163;-45.120503652039325
1739209703.222026;-38.13080360867914
1739209703.222036;-38.13080360867914
1739209703.2220457;-38.13080360867914
1739209703.2220554;-45.120503652039325
1739209703.2220652;-45.120503652039325
1739209703.222075;-35.57807855764607
1739209703.2220848;-35.57807855764607
1739209703.2220945;-45.120503652039325
1739209703.2221043;-45.120503652039325
1739209703.222114;-38.13080360867914
1739209703.2221239;-31.141103565318915
1739209703.2221336;-38.13080360867914
1739209703.2221434;-38.13080360867914
1739209703.2221532;-38.13080360867914
1739209703.222163;-38.13080360867914
1739209703.2221727;-38.13080360867914
1739209703.2221825;-45.120503652039325
1739209703.2221923;-45.120503652039325
1739209703.222202;-38.13080360867914
1739209703.2222118;-35.57807855764607
1739209703.2222216;-38.13080360867914
1739209703.2222314;-45.120503652039325
1739209703.2222412;-33.981070128970906
1739209703.222251;-45.120503652039325
1739209703.2222607;-45.120503652039325
1739209703.2222705;-38.13080360867914
1739209703.2222803;-45.120503652039325
1739209703.22229;-45.120503652039325
1739209703.2222998;-45.120503652039325
