CAN Message; 0x39:0c28bec0ae46f3f0
Timestamp;Amplitude
1739209859.8721008;-45.120503652039325
1739209859.8721137;-30.49652367304973
1739209859.8721268;-31.141103565318915
1739209859.8721397;-45.120503652039325
1739209859.8721528;-38.13080360867914
1739209859.8721657;-38.13080360867914
1739209859.8721788;-45.120503652039325
1739209859.8721917;-45.120503652039325
1739209859.8722048;-33.981070128970906
1739209859.8722177;-38.13080360867914
1739209859.8722308;-38.13080360867914
1739209859.8722436;-38.13080360867914
1739209859.8722568;-35.57807855764607
1739209859.8722696;-38.13080360867914
1739209859.8722827;-45.120503652039325
1739209859.8722956;-38.13080360867914
1739209859.8723087;-45.120503652039325
1739209859.8723216;-38.13080360867914
1739209859.8723347;-38.13080360867914
1739209859.8723476;-45.120503652039325
1739209859.8723607;-38.13080360867914
1739209859.8723736;-38.13080360867914
1739209859.8723867;-35.57807855764607
1739209859.8723996;-38.13080360867914
1739209859.8724127;-45.120503652039325
1739209859.8724256;-38.13080360867914
1739209859.8724387;-33.981070128970906
1739209859.8724515;-45.120503652039325
1739209859.8724647;-45.120503652039325
1739209859.8724775;-45.120503652039325
1739209859.8724906;-35.57807855764607
1739209859.8725035;-45.120503652039325
1739209859.8725166;-45.120503652039325
1739209859.8725295;-45.120503652039325
1739209859.8725426;-38.13080360867914
1739209859.8725555;-38.13080360867914
1739209859.8725686;-38.13080360867914
1739209859.8725815;-45.120503652039325
1739209859.8725946;-45.120503652039325
1739209859.8726075;-38.13080360867914
1739209859.8726206;-45.120503652039325
1739209859.8726335;-33.981070128970906
1739209859.8726466;-27.8777449560314
1739209859.8726594;-38.13080360867914
1739209859.8726726;-35.57807855764607
1739209859.8726854;-35.57807855764607
1739209859.8726985;-35.57807855764607
1739209859.8727114;-38.13080360867914
1739209859.8727245;-35.57807855764607
1739209859.8727374;-33.981070128970906
1739209859.8727505;-31.141103565318943
1739209859.8727634;-45.120503652039325
1739209859.8727765;-38.13080360867914
1739209859.8727894;-45.120503652039325
1739209859.8728025;-38.13080360867914
1739209859.8728154;-38.13080360867914
1739209859.8728285;-45.120503652039325
1739209859.8728414;-38.13080360867914
1739209859.8728545;-29.438486411369333
1739209859.8728673;-35.57807855764607
1739209859.8728805;-38.13080360867914
1739209859.8728933;-38.13080360867914
1739209859.8729064;-45.120503652039325
1739209859.8729193;-45.120503652039325
1739209859.8729324;-45.120503652039325
1739209859.8729453;-45.120503652039325
1739209859.8729584;-35.57807855764607
1739209859.8729713;-38.13080360867914
1739209859.8729844;-45.120503652039325
1739209859.8729973;-33.981070128970906
1739209859.8730104;-45.120503652039325
1739209859.8730233;-45.120503652039325
1739209859.8730364;-35.57807855764607
1739209859.8730493;-38.13080360867914
1739209859.8730624;-45.120503652039325
1739209859.8730752;-38.13080360867914
1739209859.8730884;-45.120503652039325
1739209859.8731012;-45.120503652039325
1739209859.8731143;-45.120503652039325
1739209859.8731272;-38.13080360867914
1739209859.8731403;-45.120503652039325
1739209859.8731532;-38.13080360867914
1739209859.8731663;-35.57807855764607
1739209859.8731792;-38.13080360867914
1739209859.8731923;-38.13080360867914
1739209859.8732052;-35.57807855764607
1739209859.8732183;-45.120503652039325
1739209859.8732312;-38.13080360867914
1739209859.8732443;-38.13080360867914
1739209859.8732572;-45.120503652039325
1739209859.8732703;-45.120503652039325
1739209859.8732831;-35.57807855764607
1739209859.8732963;-35.57807855764607
1739209859.8733091;-38.13080360867914
1739209859.8733222;-45.120503652039325
1739209859.8733351;-33.981070128970906
1739209859.8733482;-32.816014438256545
1739209859.873361;-38.13080360867914
1739209859.8733742;-35.57807855764607
1739209859.873387;-32.816014438256545
1739209859.8734002;-45.120503652039325
1739209859.873413;-35.57807855764607
1739209859.8734262;-35.57807855764607
1739209859.8734393;-33.981070128970906
1739209859.8734522;-38.13080360867914
1739209859.8734653;-38.13080360867914
1739209859.8734782;-38.13080360867914
1739209859.8734913;-33.981070128970906
1739209859.8735042;-38.13080360867914
1739209859.8735173;-38.13080360867914
1739209859.8735301;-45.120503652039325
1739209859.8735433;-45.120503652039325
1739209859.8735561;-35.57807855764607
1739209859.8735693;-38.13080360867914
1739209859.8735821;-45.120503652039325
1739209859.8735952;-32.816014438256545
1739209859.873608;-35.57807855764607
1739209859.8736212;-33.981070128970906
1739209859.873634;-45.120503652039325
1739209859.8736472;-38.13080360867914
1739209859.87366;-38.13080360867914
1739209859.8736732;-38.13080360867914
1739209859.873686;-38.13080360867914
1739209859.8736992;-27.267205301931607
1739209859.873712;-35.57807855764607
1739209859.8737252;-38.13080360867914
1739209859.873738;-38.13080360867914
1739209859.8737512;-33.981070128970906
1739209859.873764;-45.120503652039325
1739209859.8737772;-38.13080360867914
1739209859.87379;-35.57807855764607
1739209859.8738031;-38.13080360867914
1739209859.873816;-45.120503652039325
1739209859.8738291;-45.120503652039325
1739209859.873842;-45.120503652039325
1739209859.873855;-38.13080360867914
1739209859.873868;-38.13080360867914
1739209859.873881;-45.120503652039325
1739209859.873894;-45.120503652039325
1739209859.873907;-33.981070128970906
1739209859.87392;-38.13080360867914
1739209859.873933;-45.120503652039325
1739209859.873946;-45.120503652039325
1739209859.873959;-45.120503652039325
1739209859.873972;-35.57807855764607
1739209859.873985;-38.13080360867914
1739209859.873998;-45.120503652039325
1739209859.874011;-45.120503652039325
1739209859.874024;-35.57807855764607
1739209859.874037;-32.816014438256545
1739209859.87405;-38.13080360867914
1739209859.874063;-45.120503652039325
1739209859.874076;-45.120503652039325
1739209859.874089;-38.13080360867914
1739209859.8741019;-35.57807855764607
1739209859.874115;-31.141103565318915
1739209859.8741279;-38.13080360867914
1739209859.874141;-45.120503652039325
1739209859.8741539;-35.57807855764607
1739209859.874167;-38.13080360867914
1739209859.8741798;-45.120503652039325
1739209859.874193;-45.120503652039325
1739209859.8742058;-45.120503652039325
1739209859.874219;-31.141103565318915
1739209859.8742318;-32.816014438256545
1739209859.874245;-38.13080360867914
1739209859.8742578;-45.120503652039325
1739209859.874271;-45.120503652039325
1739209859.8742838;-38.13080360867914
1739209859.874297;-45.120503652039325
1739209859.8743098;-38.13080360867914
1739209859.874323;-31.141103565318915
1739209859.8743358;-31.141103565318915
1739209859.8743489;-35.57807855764607
1739209859.8743618;-38.13080360867914
1739209859.8743749;-38.13080360867914
1739209859.8743877;-45.120503652039325
1739209859.8744009;-45.120503652039325
1739209859.8744137;-45.120503652039325
1739209859.8744268;-33.981070128970906
1739209859.8744397;-38.13080360867914
1739209859.8744528;-38.13080360867914
1739209859.8744657;-38.13080360867914
1739209859.8744788;-38.13080360867914
1739209859.8744917;-45.120503652039325
1739209859.8745048;-38.13080360867914
1739209859.8745177;-45.120503652039325
1739209859.8745308;-26.991370085610722
1739209859.8745437;-22.002965041481744
1739209859.8745568;-45.120503652039325
1739209859.8745697;-38.13080360867914
1739209859.8745828;-38.13080360867914
1739209859.8745956;-31.141103565318915
1739209859.8746088;-33.981070128970906
1739209859.8746216;-45.120503652039325
1739209859.8746347;-38.13080360867914
1739209859.8746476;-38.13080360867914
1739209859.8746607;-33.981070128970906
1739209859.8746736;-35.57807855764607
1739209859.8746867;-30.49652367304976
1739209859.8746996;-26.487275050834715
1739209859.8747127;-25.252786309376837
1739209859.8747256;-38.13080360867914
1739209859.8747387;-28.58837851428586
1739209859.8747518;-45.120503652039325
1739209859.8747647;-32.81601443825658
1739209859.8747778;-33.981070128970906
1739209859.8747907;-35.57807855764607
1739209859.8748038;-33.981070128970906
1739209859.8748167;-31.141103565318915
1739209859.8748298;-38.13080360867914
1739209859.8748426;-26.487275050834715
1739209859.8748558;-24.589719217205094
1739209859.8748686;-27.267205301931607
1739209859.8748817;-33.981070128970906
1739209859.8748946;-33.981070128970906
1739209859.8749077;-35.57807855764607
1739209859.8749206;-38.13080360867914
1739209859.8749337;-38.13080360867914
1739209859.8749466;-32.816014438256545
1739209859.8749597;-45.120503652039325
1739209859.8749726;-38.13080360867914
1739209859.8749857;-45.120503652039325
1739209859.8749986;-38.13080360867914
1739209859.8750117;-22.002965041481744
1739209859.8750246;-26.03565346325281
