CAN Message; 0x1bb:00007240636178c9
Timestamp;Amplitude
1739209784.4371486;-38.13080360867914
1739209784.4371595;-38.13080360867914
1739209784.4371703;-38.13080360867914
1739209784.4371812;-45.120503652039325
1739209784.4371922;-45.120503652039325
1739209784.4372032;-32.816014438256545
1739209784.4372141;-38.13080360867914
1739209784.437225;-45.120503652039325
1739209784.4372358;-45.120503652039325
1739209784.4372468;-45.120503652039325
1739209784.4372578;-45.120503652039325
1739209784.4372687;-45.120503652039325
1739209784.4372797;-38.13080360867914
1739209784.4372907;-45.120503652039325
1739209784.4373014;-45.120503652039325
1739209784.4373124;-45.120503652039325
1739209784.4373233;-45.120503652039325
1739209784.4373343;-31.141103565318893
1739209784.4373453;-35.57807855764607
1739209784.4373562;-45.120503652039325
1739209784.437367;-38.13080360867914
1739209784.437378;-38.13080360867914
1739209784.437389;-45.120503652039325
1739209784.4373999;-38.13080360867914
1739209784.4374108;-38.13080360867914
1739209784.4374218;-45.120503652039325
1739209784.4374325;-38.13080360867914
1739209784.4374435;-38.13080360867914
1739209784.4374545;-38.13080360867914
1739209784.4374654;-35.57807855764607
1739209784.4374764;-33.981070128970906
1739209784.4374871;-45.120503652039325
1739209784.437498;-45.120503652039325
1739209784.437509;-33.981070128970906
1739209784.43752;-38.13080360867914
1739209784.437531;-45.120503652039325
1739209784.437542;-33.981070128970906
1739209784.4375527;-45.120503652039325
1739209784.4375637;-45.120503652039325
1739209784.4375746;-35.57807855764607
1739209784.4375856;-38.13080360867914
1739209784.4375966;-45.120503652039325
1739209784.4376075;-38.13080360867914
1739209784.4376183;-38.13080360867914
1739209784.4376292;-45.120503652039325
1739209784.4376402;-32.816014438256545
1739209784.4376512;-32.816014438256545
1739209784.4376621;-45.120503652039325
1739209784.437673;-45.120503652039325
1739209784.4376838;-38.13080360867914
1739209784.4376948;-38.13080360867914
1739209784.4377058;-38.13080360867914
1739209784.4377167;-38.13080360867914
1739209784.4377277;-45.120503652039325
1739209784.4377384;-38.13080360867914
1739209784.4377494;-35.57807855764607
1739209784.4377604;-38.13080360867914
1739209784.4377713;-38.13080360867914
1739209784.4377823;-38.13080360867914
1739209784.4377933;-35.57807855764607
1739209784.437804;-38.13080360867914
1739209784.437815;-38.13080360867914
1739209784.437826;-45.120503652039325
1739209784.437837;-32.816014438256545
1739209784.4378479;-33.981070128970906
1739209784.4378588;-45.120503652039325
1739209784.4378695;-45.120503652039325
1739209784.4378805;-38.13080360867914
1739209784.4378915;-38.13080360867914
1739209784.4379025;-45.120503652039325
1739209784.4379134;-38.13080360867914
1739209784.4379244;-38.13080360867914
1739209784.437935;-45.120503652039325
1739209784.437946;-45.120503652039325
1739209784.437957;-35.57807855764607
1739209784.437968;-38.13080360867914
1739209784.437979;-45.120503652039325
1739209784.43799;-38.13080360867914
1739209784.4380007;-38.13080360867914
1739209784.4380116;-45.120503652039325
1739209784.4380226;-38.13080360867914
1739209784.4380336;-38.13080360867914
1739209784.4380445;-38.13080360867914
1739209784.4380553;-45.120503652039325
1739209784.4380662;-45.120503652039325
1739209784.4380772;-45.120503652039325
1739209784.4380882;-45.120503652039325
1739209784.4380991;-45.120503652039325
1739209784.43811;-45.120503652039325
1739209784.4381208;-38.13080360867914
1739209784.4381318;-33.981070128970906
1739209784.4381428;-45.120503652039325
1739209784.4381537;-45.120503652039325
1739209784.4381647;-33.981070128970906
1739209784.4381757;-45.120503652039325
1739209784.4381864;-45.120503652039325
1739209784.4381974;-38.13080360867914
1739209784.4382083;-35.57807855764607
1739209784.4382193;-38.13080360867914
1739209784.4382303;-38.13080360867914
1739209784.4382412;-45.120503652039325
1739209784.438252;-45.120503652039325
1739209784.438263;-45.120503652039325
1739209784.438274;-45.120503652039325
1739209784.4382849;-38.13080360867914
1739209784.4382958;-45.120503652039325
1739209784.4383068;-38.13080360867914
1739209784.4383175;-45.120503652039325
1739209784.4383285;-45.120503652039325
1739209784.4383395;-45.120503652039325
1739209784.4383504;-33.981070128970906
