CAN Message; 0x1b8:00008100f188885b
Timestamp;Amplitude
1739209602.4013436;-38.13080360867914
1739209602.401349;-45.120503652039325
1739209602.4013548;-33.981070128970906
1739209602.4013605;-38.13080360867914
1739209602.401366;-35.57807855764607
1739209602.4013717;-38.13080360867914
1739209602.4013772;-45.120503652039325
1739209602.401383;-45.120503652039325
1739209602.4013886;-45.120503652039325
1739209602.4013941;-38.13080360867914
1739209602.4013999;-38.13080360867914
1739209602.4014056;-38.13080360867914
1739209602.401411;-45.120503652039325
1739209602.4014168;-45.120503652039325
1739209602.4014223;-45.120503652039325
1739209602.401428;-45.120503652039325
1739209602.4014337;-45.120503652039325
1739209602.4014392;-45.120503652039325
1739209602.401445;-45.120503652039325
1739209602.4014506;-45.120503652039325
1739209602.401456;-38.13080360867914
1739209602.4014618;-38.13080360867914
1739209602.4014673;-33.981070128970906
1739209602.401473;-38.13080360867914
1739209602.4014788;-45.120503652039325
1739209602.4014843;-45.120503652039325
1739209602.40149;-38.13080360867914
1739209602.4014957;-33.981070128970906
1739209602.4015012;-35.57807855764607
1739209602.401507;-45.120503652039325
1739209602.4015124;-45.120503652039325
1739209602.401518;-35.57807855764607
1739209602.4015238;-35.57807855764607
1739209602.4015293;-38.13080360867914
1739209602.401535;-35.57807855764607
1739209602.4015408;-31.141103565318915
1739209602.4015462;-38.13080360867914
1739209602.401552;-45.120503652039325
1739209602.4015574;-38.13080360867914
1739209602.4015632;-38.13080360867914
1739209602.401569;-45.120503652039325
1739209602.4015744;-33.981070128970906
1739209602.40158;-38.13080360867914
1739209602.4015858;-33.981070128970906
1739209602.4015913;-38.13080360867914
1739209602.401597;-45.120503652039325
1739209602.4016027;-33.981070128970906
1739209602.4016082;-38.13080360867914
1739209602.401614;-45.120503652039325
1739209602.4016194;-38.13080360867914
1739209602.4016252;-32.816014438256545
1739209602.4016309;-38.13080360867914
1739209602.4016364;-45.120503652039325
1739209602.401642;-45.120503652039325
1739209602.4016478;-45.120503652039325
1739209602.4016533;-45.120503652039325
1739209602.401659;-45.120503652039325
1739209602.4016645;-45.120503652039325
1739209602.4016702;-38.13080360867914
1739209602.401676;-31.141103565318915
1739209602.4016814;-38.13080360867914
1739209602.4016871;-38.13080360867914
1739209602.4016929;-38.13080360867914
1739209602.4016984;-38.13080360867914
1739209602.401704;-45.120503652039325
1739209602.4017096;-45.120503652039325
1739209602.4017153;-38.13080360867914
1739209602.401721;-32.816014438256545
1739209602.4017265;-38.13080360867914
1739209602.4017322;-45.120503652039325
1739209602.401738;-45.120503652039325
1739209602.4017434;-38.13080360867914
1739209602.4017491;-45.120503652039325
1739209602.4017546;-35.57807855764607
1739209602.4017603;-32.816014438256545
1739209602.401766;-28.992665084841942
1739209602.4017715;-45.120503652039325
1739209602.4017773;-32.816014438256545
1739209602.401783;-32.816014438256545
1739209602.4017885;-45.120503652039325
1739209602.4017942;-45.120503652039325
1739209602.4017997;-35.57807855764607
1739209602.4018054;-45.120503652039325
1739209602.4018111;-30.49652367304976
1739209602.4018166;-45.120503652039325
1739209602.4018223;-35.57807855764607
1739209602.401828;-35.57807855764607
1739209602.4018335;-45.120503652039325
1739209602.4018393;-38.13080360867914
1739209602.401845;-45.120503652039325
1739209602.4018505;-45.120503652039325
1739209602.4018562;-27.267205301931607
1739209602.4018617;-38.13080360867914
1739209602.4018674;-45.120503652039325
1739209602.401873;-45.120503652039325
1739209602.4018786;-38.13080360867914
1739209602.4018843;-45.120503652039325
1739209602.40189;-45.120503652039325
1739209602.4018955;-45.120503652039325
1739209602.4019012;-45.120503652039325
1739209602.4019067;-45.120503652039325
1739209602.4019125;-45.120503652039325
1739209602.4019182;-45.120503652039325
1739209602.4019237;-45.120503652039325
1739209602.4019294;-38.13080360867914
1739209602.401935;-45.120503652039325
1739209602.4019406;-38.13080360867914
1739209602.4019463;-38.13080360867914
1739209602.4019518;-45.120503652039325
1739209602.4019575;-38.13080360867914
1739209602.4019632;-32.816014438256545
1739209602.4019687;-38.13080360867914
1739209602.4019744;-45.120503652039325
1739209602.4019802;-45.120503652039325
1739209602.4019856;-38.13080360867914
1739209602.4019914;-35.57807855764607
1739209602.4019969;-38.13080360867914
1739209602.4020026;-45.120503652039325
1739209602.4020083;-45.120503652039325
1739209602.4020138;-38.13080360867914
1739209602.4020195;-45.120503652039325
1739209602.4020252;-45.120503652039325
1739209602.4020307;-45.120503652039325
1739209602.4020364;-45.120503652039325
1739209602.402042;-45.120503652039325
1739209602.4020476;-38.13080360867914
1739209602.4020534;-38.13080360867914
1739209602.4020588;-38.13080360867914
1739209602.4020646;-38.13080360867914
1739209602.4020703;-45.120503652039325
1739209602.4020758;-45.120503652039325
1739209602.4020815;-33.981070128970906
1739209602.4020872;-38.13080360867914
1739209602.4020927;-38.13080360867914
1739209602.4020984;-38.13080360867914
1739209602.402104;-38.13080360867914
1739209602.4021096;-45.120503652039325
1739209602.4021153;-38.13080360867914
1739209602.4021208;-32.816014438256545
1739209602.4021266;-38.13080360867914
1739209602.4021323;-45.120503652039325
1739209602.4021378;-33.981070128970906
1739209602.4021435;-38.13080360867914
1739209602.402149;-38.13080360867914
1739209602.4021547;-38.13080360867914
1739209602.4021604;-45.120503652039325
1739209602.402166;-38.13080360867914
1739209602.4021716;-35.57807855764607
1739209602.4021773;-38.13080360867914
1739209602.4021828;-45.120503652039325
1739209602.4021885;-45.120503652039325
1739209602.402194;-38.13080360867914
1739209602.4021997;-38.13080360867914
1739209602.4022055;-45.120503652039325
1739209602.402211;-45.120503652039325
1739209602.4022167;-38.13080360867914
1739209602.4022224;-45.120503652039325
1739209602.4022279;-38.13080360867914
1739209602.4022336;-45.120503652039325
1739209602.402239;-38.13080360867914
1739209602.4022448;-38.13080360867914
1739209602.4022505;-45.120503652039325
1739209602.402256;-38.13080360867914
1739209602.4022617;-45.120503652039325
1739209602.4022675;-38.13080360867914
1739209602.402273;-35.57807855764607
1739209602.4022787;-38.13080360867914
1739209602.4022841;-45.120503652039325
1739209602.4022899;-45.120503652039325
1739209602.4022956;-33.981070128970906
1739209602.402301;-38.13080360867914
1739209602.4023068;-35.57807855764607
1739209602.4023125;-38.13080360867914
1739209602.402318;-45.120503652039325
1739209602.4023237;-38.13080360867914
1739209602.4023294;-38.13080360867914
1739209602.402335;-35.57807855764607
1739209602.4023407;-38.13080360867914
1739209602.4023461;-45.120503652039325
1739209602.4023519;-38.13080360867914
1739209602.4023576;-38.13080360867914
1739209602.402363;-38.13080360867914
1739209602.4023688;-45.120503652039325
1739209602.4023745;-45.120503652039325
1739209602.40238;-45.120503652039325
1739209602.4023857;-38.13080360867914
1739209602.4023912;-45.120503652039325
1739209602.402397;-45.120503652039325
1739209602.4024026;-38.13080360867914
1739209602.4024081;-38.13080360867914
1739209602.4024138;-45.120503652039325
1739209602.4024196;-38.13080360867914
1739209602.402425;-38.13080360867914
1739209602.4024308;-38.13080360867914
1739209602.4024363;-45.120503652039325
1739209602.402442;-45.120503652039325
1739209602.4024477;-38.13080360867914
1739209602.4024532;-32.816014438256545
1739209602.402459;-32.816014438256545
1739209602.4024646;-45.120503652039325
1739209602.40247;-45.120503652039325
1739209602.4024758;-35.57807855764607
1739209602.4024813;-35.57807855764607
1739209602.402487;-38.13080360867914
1739209602.4024928;-38.13080360867914
1739209602.4024982;-31.141103565318915
1739209602.402504;-33.981070128970906
1739209602.4025097;-38.13080360867914
1739209602.4025152;-33.981070128970906
1739209602.402521;-33.981070128970906
1739209602.4025264;-38.13080360867914
1739209602.402532;-38.13080360867914
1739209602.4025378;-38.13080360867914
1739209602.4025433;-38.13080360867914
1739209602.402549;-45.120503652039325
1739209602.4025548;-45.120503652039325
1739209602.4025602;-33.981070128970906
1739209602.402566;-38.13080360867914
1739209602.4025717;-45.120503652039325
1739209602.4025772;-38.13080360867914
1739209602.402583;-45.120503652039325
1739209602.4025884;-45.120503652039325
1739209602.402594;-38.13080360867914
1739209602.4025998;-33.981070128970906
1739209602.4026053;-45.120503652039325
1739209602.402611;-45.120503652039325
1739209602.4026167;-38.13080360867914
1739209602.4026222;-45.120503652039325
1739209602.402628;-45.120503652039325
1739209602.4026334;-33.981070128970906
1739209602.4026392;-45.120503652039325
1739209602.4026449;-45.120503652039325
1739209602.4026504;-38.13080360867914
1739209602.402656;-38.13080360867914
1739209602.4026618;-45.120503652039325
1739209602.4026673;-38.13080360867914
1739209602.402673;-38.13080360867914
1739209602.4026785;-45.120503652039325
1739209602.4026842;-35.57807855764607
1739209602.40269;-38.13080360867914
1739209602.4026954;-45.120503652039325
1739209602.4027011;-38.13080360867914
1739209602.4027069;-35.57807855764607
1739209602.4027123;-38.13080360867914
1739209602.402718;-38.13080360867914
1739209602.4027236;-28.992665084841942
1739209602.4027293;-38.13080360867914
1739209602.402735;-38.13080360867914
1739209602.4027405;-33.981070128970906
1739209602.4027462;-38.13080360867914
1739209602.402752;-45.120503652039325
1739209602.4027574;-32.816014438256545
1739209602.4027631;-38.13080360867914
