CAN Message; 0x150:07007cd2eebd65a4
Timestamp;Amplitude
1739209811.1530013;-38.13080360867914
1739209811.1530094;-38.13080360867914
1739209811.1530175;-45.120503652039325
1739209811.1530254;-38.13080360867914
1739209811.1530335;-38.13080360867914
1739209811.1530416;-38.13080360867914
1739209811.1530497;-38.13080360867914
1739209811.1530578;-38.13080360867914
1739209811.153066;-35.57807855764607
1739209811.1530738;-38.13080360867914
1739209811.153082;-45.120503652039325
1739209811.15309;-38.13080360867914
1739209811.153098;-35.57807855764607
1739209811.1531062;-45.120503652039325
1739209811.1531143;-45.120503652039325
1739209811.1531222;-45.120503652039325
1739209811.1531303;-38.13080360867914
1739209811.1531384;-45.120503652039325
1739209811.1531465;-45.120503652039325
1739209811.1531546;-38.13080360867914
1739209811.1531627;-45.120503652039325
1739209811.1531706;-38.13080360867914
1739209811.1531787;-38.13080360867914
1739209811.1531868;-38.13080360867914
1739209811.153195;-38.13080360867914
1739209811.153203;-33.981070128970906
1739209811.153211;-38.13080360867914
1739209811.153219;-45.120503652039325
1739209811.153227;-45.120503652039325
1739209811.1532352;-33.981070128970906
1739209811.1532433;-35.57807855764607
1739209811.1532514;-38.13080360867914
1739209811.1532595;-45.120503652039325
1739209811.1532676;-45.120503652039325
1739209811.1532755;-45.120503652039325
1739209811.1532836;-45.120503652039325
1739209811.1532917;-38.13080360867914
1739209811.1532998;-38.13080360867914
1739209811.153308;-35.57807855764607
1739209811.153316;-38.13080360867914
1739209811.153324;-45.120503652039325
1739209811.153332;-38.13080360867914
1739209811.15334;-30.49652367304973
1739209811.1533482;-33.981070128970906
1739209811.1533563;-45.120503652039325
1739209811.1533644;-38.13080360867914
1739209811.1533723;-35.57807855764607
1739209811.1533804;-38.13080360867914
1739209811.1533885;-45.120503652039325
1739209811.1533966;-45.120503652039325
1739209811.1534047;-38.13080360867914
1739209811.1534128;-45.120503652039325
1739209811.1534207;-45.120503652039325
1739209811.1534288;-45.120503652039325
1739209811.153437;-45.120503652039325
1739209811.153445;-38.13080360867914
1739209811.153453;-45.120503652039325
1739209811.1534612;-38.13080360867914
1739209811.153469;-45.120503652039325
1739209811.1534772;-38.13080360867914
1739209811.1534853;-45.120503652039325
1739209811.1534934;-38.13080360867914
1739209811.1535015;-29.438486411369333
1739209811.1535096;-38.13080360867914
1739209811.1535177;-45.120503652039325
1739209811.1535256;-33.981070128970906
1739209811.1535337;-32.816014438256545
1739209811.1535418;-38.13080360867914
1739209811.15355;-33.981070128970906
1739209811.153558;-45.120503652039325
1739209811.1535661;-45.120503652039325
1739209811.153574;-38.13080360867914
1739209811.153582;-45.120503652039325
1739209811.1535902;-45.120503652039325
