CAN Message; 0x1d3:0000f55cf57bc78d
Timestamp;Amplitude
1739209747.9801404;-38.13080360867914
1739209747.980147;-38.13080360867914
1739209747.980153;-38.13080360867914
1739209747.9801595;-27.8777449560314
1739209747.9801657;-35.57807855764607
1739209747.9801722;-45.120503652039325
1739209747.9801784;-38.13080360867914
1739209747.9801848;-32.816014438256545
1739209747.980191;-38.13080360867914
1739209747.9801974;-38.13080360867914
1739209747.9802036;-45.120503652039325
1739209747.98021;-38.13080360867914
1739209747.9802163;-38.13080360867914
1739209747.9802227;-45.120503652039325
1739209747.980229;-38.13080360867914
1739209747.9802353;-38.13080360867914
1739209747.9802415;-38.13080360867914
1739209747.980248;-38.13080360867914
1739209747.9802542;-33.981070128970906
1739209747.9802606;-38.13080360867914
1739209747.9802668;-45.120503652039325
1739209747.9802732;-45.120503652039325
1739209747.9802794;-45.120503652039325
1739209747.980286;-45.120503652039325
1739209747.980292;-45.120503652039325
1739209747.9802985;-32.816014438256545
1739209747.9803047;-38.13080360867914
1739209747.980311;-30.49652367304973
1739209747.9803174;-30.49652367304973
1739209747.9803236;-38.13080360867914
1739209747.98033;-38.13080360867914
1739209747.9803362;-35.57807855764607
1739209747.9803426;-38.13080360867914
1739209747.9803488;-45.120503652039325
1739209747.9803553;-45.120503652039325
1739209747.9803615;-45.120503652039325
1739209747.980368;-45.120503652039325
1739209747.980374;-38.13080360867914
1739209747.9803805;-45.120503652039325
1739209747.9803867;-38.13080360867914
1739209747.9803932;-33.981070128970906
1739209747.9803994;-45.120503652039325
1739209747.9804058;-38.13080360867914
1739209747.980412;-38.13080360867914
1739209747.9804184;-38.13080360867914
1739209747.9804246;-38.13080360867914
1739209747.980431;-38.13080360867914
1739209747.9804373;-45.120503652039325
1739209747.9804437;-38.13080360867914
1739209747.98045;-45.120503652039325
1739209747.9804564;-45.120503652039325
1739209747.9804626;-32.816014438256545
1739209747.980469;-35.57807855764607
1739209747.9804752;-45.120503652039325
1739209747.9804814;-38.13080360867914
1739209747.9804878;-45.120503652039325
1739209747.980494;-45.120503652039325
1739209747.9805005;-45.120503652039325
1739209747.9805067;-38.13080360867914
1739209747.980513;-35.57807855764607
1739209747.9805193;-38.13080360867914
1739209747.9805257;-45.120503652039325
1739209747.980532;-45.120503652039325
1739209747.9805384;-35.57807855764607
1739209747.9805446;-33.981070128970906
1739209747.980551;-45.120503652039325
1739209747.9805572;-38.13080360867914
1739209747.9805636;-35.57807855764607
1739209747.9805698;-38.13080360867914
1739209747.9805763;-45.120503652039325
1739209747.9805825;-38.13080360867914
1739209747.980589;-38.13080360867914
1739209747.980595;-38.13080360867914
1739209747.9806015;-38.13080360867914
1739209747.9806077;-38.13080360867914
1739209747.9806142;-35.57807855764607
1739209747.9806204;-35.57807855764607
1739209747.9806268;-45.120503652039325
1739209747.980633;-45.120503652039325
1739209747.9806395;-45.120503652039325
1739209747.9806457;-38.13080360867914
1739209747.9806519;-45.120503652039325
1739209747.9806583;-38.13080360867914
1739209747.9806645;-45.120503652039325
1739209747.980671;-33.981070128970906
1739209747.9806771;-45.120503652039325
1739209747.9806836;-45.120503652039325
1739209747.9806898;-45.120503652039325
1739209747.9806962;-45.120503652039325
1739209747.9807024;-45.120503652039325
1739209747.9807088;-45.120503652039325
1739209747.980715;-45.120503652039325
1739209747.9807215;-45.120503652039325
1739209747.9807277;-38.13080360867914
1739209747.980734;-38.13080360867914
1739209747.9807403;-35.57807855764607
1739209747.9807467;-33.981070128970906
1739209747.980753;-33.981070128970906
1739209747.9807594;-38.13080360867914
1739209747.9807656;-45.120503652039325
1739209747.980772;-38.13080360867914
1739209747.9807782;-38.13080360867914
1739209747.9807847;-38.13080360867914
1739209747.9807909;-45.120503652039325
1739209747.9807973;-35.57807855764607
1739209747.9808035;-38.13080360867914
1739209747.98081;-38.13080360867914
1739209747.9808161;-45.120503652039325
1739209747.9808223;-38.13080360867914
1739209747.9808288;-38.13080360867914
1739209747.980835;-38.13080360867914
1739209747.9808414;-45.120503652039325
1739209747.9808476;-45.120503652039325
1739209747.980854;-35.57807855764607
1739209747.9808602;-38.13080360867914
