CAN Message; 0x1bb:0000d42f1a268a70
Timestamp;Amplitude
1739209847.1566207;-38.13080360867914
1739209847.1566272;-45.120503652039325
1739209847.1566336;-45.120503652039325
1739209847.15664;-32.816014438256545
1739209847.1566465;-38.13080360867914
1739209847.156653;-38.13080360867914
1739209847.1566594;-45.120503652039325
1739209847.1566658;-33.981070128970906
1739209847.1566722;-35.57807855764607
1739209847.1566787;-38.13080360867914
1739209847.156685;-38.13080360867914
1739209847.1566916;-45.120503652039325
1739209847.156698;-45.120503652039325
1739209847.1567044;-45.120503652039325
1739209847.1567109;-33.981070128970906
1739209847.1567173;-45.120503652039325
1739209847.1567237;-38.13080360867914
1739209847.1567302;-38.13080360867914
1739209847.1567366;-45.120503652039325
1739209847.156743;-30.49652367304973
1739209847.1567495;-38.13080360867914
1739209847.156756;-45.120503652039325
1739209847.1567624;-38.13080360867914
1739209847.1567688;-38.13080360867914
1739209847.1567752;-45.120503652039325
1739209847.1567817;-45.120503652039325
1739209847.156788;-45.120503652039325
1739209847.1567945;-45.120503652039325
1739209847.156801;-38.13080360867914
1739209847.1568074;-38.13080360867914
1739209847.1568139;-45.120503652039325
1739209847.1568203;-45.120503652039325
1739209847.156827;-45.120503652039325
1739209847.1568334;-38.13080360867914
1739209847.1568398;-45.120503652039325
1739209847.1568463;-45.120503652039325
1739209847.1568527;-45.120503652039325
1739209847.1568592;-38.13080360867914
1739209847.1568656;-38.13080360867914
1739209847.156872;-38.13080360867914
1739209847.1568785;-45.120503652039325
1739209847.156885;-45.120503652039325
1739209847.1568913;-38.13080360867914
1739209847.1568978;-31.141103565318915
1739209847.1569042;-35.57807855764607
1739209847.1569107;-38.13080360867914
1739209847.156917;-45.120503652039325
1739209847.1569235;-45.120503652039325
1739209847.15693;-45.120503652039325
1739209847.1569364;-45.120503652039325
1739209847.1569428;-38.13080360867914
1739209847.1569493;-33.981070128970956
1739209847.1569557;-38.13080360867914
1739209847.1569622;-33.981070128970906
1739209847.1569686;-38.13080360867914
1739209847.156975;-45.120503652039325
1739209847.1569815;-33.981070128970906
1739209847.156988;-45.120503652039325
1739209847.1569943;-45.120503652039325
1739209847.1570008;-31.141103565318915
1739209847.1570072;-33.981070128970906
1739209847.1570137;-45.120503652039325
1739209847.15702;-38.13080360867914
1739209847.1570265;-33.981070128970906
1739209847.157033;-38.13080360867914
1739209847.1570394;-45.120503652039325
1739209847.1570458;-38.13080360867914
1739209847.1570523;-38.13080360867914
1739209847.1570587;-45.120503652039325
1739209847.1570652;-45.120503652039325
1739209847.1570716;-38.13080360867914
1739209847.157078;-38.13080360867914
1739209847.1570845;-45.120503652039325
1739209847.157091;-45.120503652039325
1739209847.1570973;-33.981070128970906
1739209847.1571038;-38.13080360867914
1739209847.1571102;-45.120503652039325
1739209847.1571167;-45.120503652039325
1739209847.157123;-38.13080360867914
1739209847.1571295;-38.13080360867914
1739209847.157136;-45.120503652039325
1739209847.1571424;-38.13080360867914
1739209847.1571488;-33.981070128970906
1739209847.1571553;-33.981070128970906
1739209847.1571617;-28.992665084841942
1739209847.1571681;-45.120503652039325
1739209847.1571746;-38.13080360867914
1739209847.157181;-32.816014438256545
1739209847.1571875;-38.13080360867914
1739209847.157194;-45.120503652039325
1739209847.1572003;-35.57807855764607
1739209847.1572068;-33.981070128970906
1739209847.1572132;-32.816014438256545
1739209847.1572196;-38.13080360867914
1739209847.157226;-45.120503652039325
1739209847.1572328;-45.120503652039325
1739209847.1572392;-45.120503652039325
1739209847.1572456;-38.13080360867914
1739209847.157252;-45.120503652039325
1739209847.1572585;-38.13080360867914
1739209847.157265;-38.13080360867914
1739209847.1572714;-45.120503652039325
1739209847.1572778;-38.13080360867914
1739209847.1572843;-45.120503652039325
1739209847.1572907;-45.120503652039325
1739209847.1572971;-45.120503652039325
1739209847.1573036;-33.981070128970906
1739209847.15731;-38.13080360867914
1739209847.1573164;-38.13080360867914
1739209847.157323;-38.13080360867914
1739209847.1573293;-38.13080360867914
1739209847.1573358;-45.120503652039325
1739209847.1573422;-35.57807855764607
1739209847.1573486;-38.13080360867914
1739209847.157355;-38.13080360867914
1739209847.1573615;-38.13080360867914
1739209847.157368;-38.13080360867914
1739209847.1573744;-45.120503652039325
