CAN Message; 0x1a7:00002efcd747d9e2
Timestamp;Amplitude
1739209754.7696104;-45.120503652039325
1739209754.7696118;-35.57807855764607
1739209754.769613;-38.13080360867914
1739209754.7696142;-45.120503652039325
1739209754.7696157;-45.120503652039325
1739209754.7696168;-38.13080360867914
1739209754.769618;-45.120503652039325
1739209754.7696195;-35.57807855764607
1739209754.7696207;-35.57807855764607
1739209754.7696218;-45.120503652039325
1739209754.769623;-45.120503652039325
1739209754.7696245;-45.120503652039325
1739209754.7696257;-45.120503652039325
1739209754.7696269;-45.120503652039325
1739209754.7696283;-45.120503652039325
1739209754.7696295;-38.13080360867914
1739209754.7696307;-38.13080360867914
1739209754.769632;-38.13080360867914
1739209754.7696333;-45.120503652039325
1739209754.7696345;-35.57807855764607
1739209754.769636;-38.13080360867914
1739209754.769637;-45.120503652039325
1739209754.7696383;-33.981070128970906
1739209754.7696395;-38.13080360867914
1739209754.769641;-45.120503652039325
1739209754.769642;-45.120503652039325
1739209754.7696433;-35.57807855764607
1739209754.7696447;-38.13080360867914
1739209754.769646;-33.981070128970906
1739209754.7696471;-38.13080360867914
1739209754.7696486;-45.120503652039325
1739209754.7696497;-32.816014438256545
1739209754.769651;-33.981070128970906
1739209754.7696524;-38.13080360867914
1739209754.7696536;-38.13080360867914
1739209754.7696548;-38.13080360867914
1739209754.7696562;-38.13080360867914
1739209754.7696574;-35.57807855764607
1739209754.7696586;-38.13080360867914
1739209754.76966;-45.120503652039325
1739209754.7696612;-45.120503652039325
1739209754.7696624;-32.816014438256545
1739209754.7696636;-38.13080360867914
1739209754.769665;-38.13080360867914
1739209754.7696662;-38.13080360867914
1739209754.7696674;-45.120503652039325
1739209754.7696688;-33.981070128970906
1739209754.76967;-38.13080360867914
1739209754.7696712;-33.981070128970906
1739209754.7696726;-29.438486411369333
1739209754.7696738;-38.13080360867914
1739209754.769675;-45.120503652039325
1739209754.7696764;-38.13080360867914
1739209754.7696776;-38.13080360867914
1739209754.7696788;-45.120503652039325
1739209754.76968;-45.120503652039325
1739209754.7696815;-33.981070128970906
1739209754.7696826;-38.13080360867914
1739209754.7696838;-38.13080360867914
1739209754.7696853;-45.120503652039325
1739209754.7696865;-38.13080360867914
1739209754.7696877;-45.120503652039325
1739209754.769689;-38.13080360867914
1739209754.7696903;-35.57807855764607
1739209754.7696915;-38.13080360867914
1739209754.769693;-45.120503652039325
1739209754.769694;-45.120503652039325
1739209754.7696953;-35.57807855764607
1739209754.7696967;-33.981070128970906
1739209754.769698;-45.120503652039325
1739209754.769699;-38.13080360867914
1739209754.7697005;-45.120503652039325
1739209754.7697017;-38.13080360867914
1739209754.769703;-45.120503652039325
1739209754.769704;-45.120503652039325
1739209754.7697055;-45.120503652039325
1739209754.7697067;-45.120503652039325
1739209754.769708;-45.120503652039325
1739209754.7697093;-38.13080360867914
1739209754.7697105;-38.13080360867914
1739209754.7697117;-33.981070128970906
1739209754.7697132;-38.13080360867914
1739209754.7697144;-45.120503652039325
1739209754.7697155;-45.120503652039325
1739209754.769717;-45.120503652039325
1739209754.7697182;-45.120503652039325
1739209754.7697194;-45.120503652039325
1739209754.7697206;-45.120503652039325
1739209754.769722;-33.981070128970906
1739209754.7697232;-38.13080360867914
1739209754.7697244;-38.13080360867914
1739209754.7697258;-45.120503652039325
1739209754.769727;-38.13080360867914
1739209754.7697282;-38.13080360867914
1739209754.7697296;-38.13080360867914
1739209754.7697308;-45.120503652039325
1739209754.769732;-33.981070128970906
1739209754.7697334;-33.981070128970906
1739209754.7697346;-38.13080360867914
1739209754.7697358;-38.13080360867914
1739209754.7697372;-45.120503652039325
1739209754.7697384;-45.120503652039325
1739209754.7697396;-38.13080360867914
1739209754.769741;-45.120503652039325
1739209754.7697423;-45.120503652039325
1739209754.7697434;-38.13080360867914
1739209754.7697446;-38.13080360867914
1739209754.769746;-38.13080360867914
1739209754.7697473;-45.120503652039325
1739209754.7697484;-45.120503652039325
1739209754.7697499;-38.13080360867914
1739209754.769751;-35.57807855764607
1739209754.7697523;-33.981070128970906
1739209754.7697537;-35.57807855764607
1739209754.769755;-38.13080360867914
1739209754.769756;-38.13080360867914
1739209754.7697575;-38.13080360867914
1739209754.7697587;-45.120503652039325
1739209754.76976;-45.120503652039325
1739209754.769761;-45.120503652039325
1739209754.7697625;-33.981070128970906
1739209754.7697637;-32.816014438256545
1739209754.769765;-38.13080360867914
1739209754.7697663;-45.120503652039325
1739209754.7697675;-45.120503652039325
1739209754.7697687;-45.120503652039325
1739209754.7697701;-38.13080360867914
1739209754.7697713;-45.120503652039325
1739209754.7697725;-38.13080360867914
1739209754.769774;-32.816014438256545
1739209754.7697752;-38.13080360867914
1739209754.7697763;-45.120503652039325
1739209754.7697778;-38.13080360867914
1739209754.769779;-38.13080360867914
