CAN Message; 0x39:0bd62b687e0a4962
Timestamp;Amplitude
1739209748.9816425;-45.120503652039325
1739209748.9816506;-45.120503652039325
1739209748.9816585;-45.120503652039325
1739209748.9816666;-45.120503652039325
1739209748.9816744;-38.13080360867914
1739209748.9816823;-38.13080360867914
1739209748.9816904;-45.120503652039325
1739209748.9816983;-45.120503652039325
1739209748.9817061;-38.13080360867914
1739209748.9817142;-38.13080360867914
1739209748.981722;-38.13080360867914
1739209748.9817302;-45.120503652039325
1739209748.981738;-35.57807855764607
1739209748.981746;-38.13080360867914
1739209748.981754;-45.120503652039325
1739209748.981762;-45.120503652039325
1739209748.9817698;-45.120503652039325
1739209748.981778;-38.13080360867914
1739209748.9817858;-38.13080360867914
1739209748.9817939;-26.991370085610722
1739209748.9818017;-45.120503652039325
1739209748.9818096;-45.120503652039325
1739209748.9818177;-38.13080360867914
1739209748.9818256;-35.57807855764607
1739209748.9818335;-45.120503652039325
1739209748.9818416;-45.120503652039325
1739209748.9818494;-45.120503652039325
1739209748.9818575;-33.981070128970956
1739209748.9818654;-38.13080360867914
1739209748.9818733;-45.120503652039325
1739209748.9818814;-45.120503652039325
1739209748.9818892;-45.120503652039325
1739209748.9818974;-45.120503652039325
1739209748.9819052;-45.120503652039325
1739209748.981913;-32.816014438256545
1739209748.9819212;-31.141103565318915
1739209748.981929;-38.13080360867914
1739209748.981937;-33.981070128970906
1739209748.981945;-33.981070128970906
1739209748.981953;-35.57807855764607
1739209748.981961;-45.120503652039325
1739209748.9819689;-45.120503652039325
1739209748.9819767;-45.120503652039325
1739209748.9819849;-38.13080360867914
1739209748.9819927;-45.120503652039325
1739209748.9820006;-38.13080360867914
1739209748.9820087;-45.120503652039325
1739209748.9820166;-38.13080360867914
1739209748.9820247;-45.120503652039325
1739209748.9820325;-45.120503652039325
1739209748.9820404;-38.13080360867914
1739209748.9820485;-38.13080360867914
1739209748.9820564;-45.120503652039325
1739209748.9820645;-45.120503652039325
1739209748.9820724;-45.120503652039325
1739209748.9820802;-45.120503652039325
1739209748.9820883;-45.120503652039325
1739209748.9820962;-33.981070128970906
1739209748.982104;-38.13080360867914
1739209748.9821122;-31.141103565318915
1739209748.98212;-38.13080360867914
1739209748.9821281;-38.13080360867914
1739209748.982136;-45.120503652039325
1739209748.9821439;-38.13080360867914
1739209748.982152;-33.981070128970906
1739209748.9821599;-38.13080360867914
1739209748.9821677;-38.13080360867914
1739209748.9821758;-38.13080360867914
1739209748.9821837;-38.13080360867914
1739209748.9821918;-38.13080360867914
1739209748.9821997;-45.120503652039325
1739209748.9822075;-45.120503652039325
1739209748.9822156;-38.13080360867914
1739209748.9822235;-38.13080360867914
1739209748.9822314;-45.120503652039325
1739209748.9822395;-45.120503652039325
1739209748.9822474;-38.13080360867914
1739209748.9822555;-38.13080360867914
1739209748.9822633;-45.120503652039325
1739209748.9822712;-38.13080360867914
1739209748.9822793;-33.981070128970906
1739209748.9822872;-38.13080360867914
1739209748.9822953;-45.120503652039325
1739209748.9823031;-45.120503652039325
1739209748.982311;-33.981070128970906
1739209748.982319;-38.13080360867914
1739209748.982327;-45.120503652039325
1739209748.9823349;-45.120503652039325
1739209748.982343;-35.57807855764607
1739209748.9823508;-38.13080360867914
1739209748.982359;-45.120503652039325
1739209748.9823668;-45.120503652039325
1739209748.9823747;-45.120503652039325
1739209748.9823828;-38.13080360867914
1739209748.9823906;-45.120503652039325
1739209748.9823985;-38.13080360867914
1739209748.9824066;-38.13080360867914
1739209748.9824145;-38.13080360867914
1739209748.9824226;-45.120503652039325
1739209748.9824305;-38.13080360867914
1739209748.9824383;-31.141103565318915
1739209748.9824464;-45.120503652039325
1739209748.9824543;-45.120503652039325
1739209748.9824624;-45.120503652039325
1739209748.9824703;-35.57807855764607
1739209748.9824781;-45.120503652039325
1739209748.9824862;-45.120503652039325
1739209748.982494;-45.120503652039325
1739209748.982502;-45.120503652039325
1739209748.98251;-38.13080360867914
1739209748.982518;-35.57807855764607
1739209748.982526;-35.57807855764607
1739209748.982534;-45.120503652039325
1739209748.9825418;-38.13080360867914
1739209748.98255;-38.13080360867914
1739209748.9825578;-45.120503652039325
1739209748.9825656;-35.57807855764607
1739209748.9825737;-38.13080360867914
