CAN Message; 0x1bb:000091caf0cf4dc7
Timestamp;Amplitude
1739209709.745437;-31.141103565318915
1739209709.7454457;-38.13080360867914
1739209709.7454548;-38.13080360867914
1739209709.7454636;-38.13080360867914
1739209709.7454724;-45.120503652039325
1739209709.7454813;-38.13080360867914
1739209709.74549;-35.57807855764607
1739209709.745499;-38.13080360867914
1739209709.745508;-45.120503652039325
1739209709.7455168;-45.120503652039325
1739209709.7455256;-38.13080360867914
1739209709.7455344;-45.120503652039325
1739209709.7455432;-38.13080360867914
1739209709.7455523;-35.57807855764607
1739209709.7455611;-38.13080360867914
1739209709.74557;-38.13080360867914
1739209709.7455788;-45.120503652039325
1739209709.7455876;-35.57807855764607
1739209709.7455966;-38.13080360867914
1739209709.7456055;-45.120503652039325
1739209709.7456143;-38.13080360867914
1739209709.745623;-38.13080360867914
1739209709.745632;-45.120503652039325
1739209709.7456408;-38.13080360867914
1739209709.7456498;-35.57807855764607
1739209709.7456586;-38.13080360867914
1739209709.7456675;-38.13080360867914
1739209709.7456763;-32.816014438256545
1739209709.745685;-33.981070128970906
1739209709.7456942;-45.120503652039325
1739209709.745703;-45.120503652039325
1739209709.7457118;-32.816014438256545
1739209709.7457206;-38.13080360867914
1739209709.7457294;-38.13080360867914
1739209709.7457383;-35.57807855764607
1739209709.7457473;-35.57807855764607
1739209709.7457561;-45.120503652039325
1739209709.745765;-35.57807855764607
1739209709.7457738;-38.13080360867914
1739209709.7457826;-45.120503652039325
1739209709.7457917;-38.13080360867914
1739209709.7458005;-45.120503652039325
1739209709.7458093;-38.13080360867914
1739209709.7458181;-38.13080360867914
1739209709.745827;-38.13080360867914
1739209709.7458358;-45.120503652039325
1739209709.7458448;-45.120503652039325
1739209709.7458537;-38.13080360867914
1739209709.7458625;-45.120503652039325
1739209709.7458713;-45.120503652039325
1739209709.7458801;-45.120503652039325
1739209709.7458892;-45.120503652039325
1739209709.745898;-38.13080360867914
1739209709.7459068;-38.13080360867914
1739209709.7459157;-38.13080360867914
