CAN Message; 0x1d3:0000cf1bc64f74cc
Timestamp;Amplitude
1739209590.0089364;-45.120503652039325
1739209590.0089443;-38.13080360867914
1739209590.0089521;-45.120503652039325
1739209590.00896;-45.120503652039325
1739209590.0089679;-45.120503652039325
1739209590.0089757;-38.13080360867914
1739209590.0089836;-35.57807855764607
1739209590.0089912;-38.13080360867914
1739209590.008999;-38.13080360867914
1739209590.009007;-38.13080360867914
1739209590.0090148;-35.57807855764607
1739209590.0090227;-38.13080360867914
1739209590.0090306;-45.120503652039325
1739209590.0090384;-38.13080360867914
1739209590.0090463;-35.57807855764607
1739209590.0090542;-38.13080360867914
1739209590.009062;-38.13080360867914
1739209590.00907;-45.120503652039325
1739209590.0090778;-45.120503652039325
1739209590.0090857;-38.13080360867914
1739209590.0090935;-38.13080360867914
1739209590.0091012;-45.120503652039325
1739209590.009109;-45.120503652039325
1739209590.009117;-45.120503652039325
1739209590.0091248;-38.13080360867914
1739209590.0091326;-45.120503652039325
1739209590.0091405;-38.13080360867914
1739209590.0091484;-38.13080360867914
1739209590.0091562;-45.120503652039325
1739209590.009164;-35.57807855764607
1739209590.009172;-35.57807855764607
1739209590.0091798;-38.13080360867914
1739209590.0091877;-35.57807855764607
1739209590.0091956;-45.120503652039325
1739209590.0092034;-45.120503652039325
1739209590.0092113;-33.981070128970906
1739209590.009219;-38.13080360867914
1739209590.0092268;-45.120503652039325
1739209590.0092347;-45.120503652039325
1739209590.0092425;-38.13080360867914
1739209590.0092504;-45.120503652039325
1739209590.0092583;-38.13080360867914
1739209590.0092661;-45.120503652039325
1739209590.009274;-38.13080360867914
1739209590.0092819;-35.57807855764607
1739209590.0092897;-35.57807855764607
1739209590.0092976;-45.120503652039325
1739209590.0093055;-38.13080360867914
1739209590.0093133;-35.57807855764607
1739209590.0093212;-35.57807855764607
1739209590.0093288;-38.13080360867914
1739209590.0093367;-45.120503652039325
1739209590.0093446;-45.120503652039325
1739209590.0093524;-38.13080360867914
1739209590.0093603;-38.13080360867914
1739209590.0093682;-38.13080360867914
1739209590.009376;-38.13080360867914
1739209590.009384;-45.120503652039325
1739209590.0093918;-35.57807855764607
1739209590.0093997;-45.120503652039325
1739209590.0094075;-35.57807855764607
1739209590.0094154;-38.13080360867914
1739209590.0094233;-45.120503652039325
1739209590.0094311;-38.13080360867914
1739209590.0094388;-38.13080360867914
1739209590.0094466;-38.13080360867914
1739209590.0094545;-45.120503652039325
1739209590.0094624;-38.13080360867914
1739209590.0094702;-45.120503652039325
