CAN Message; 0x77:2d2fb65b91743393
Timestamp;Amplitude
1739209741.5053608;-38.13080360867914
1739209741.5053675;-45.120503652039325
1739209741.5053742;-35.57807855764607
1739209741.5053809;-38.13080360867914
1739209741.5053875;-30.49652367304973
1739209741.5053942;-33.981070128970906
1739209741.505401;-38.13080360867914
1739209741.5054076;-45.120503652039325
1739209741.5054142;-38.13080360867914
1739209741.505421;-38.13080360867914
1739209741.5054276;-45.120503652039325
1739209741.5054343;-45.120503652039325
1739209741.505441;-38.13080360867914
1739209741.5054476;-45.120503652039325
1739209741.5054543;-38.13080360867914
1739209741.5054607;-45.120503652039325
1739209741.5054674;-45.120503652039325
1739209741.505474;-45.120503652039325
1739209741.5054808;-38.13080360867914
1739209741.5054874;-45.120503652039325
1739209741.505494;-45.120503652039325
1739209741.5055008;-38.13080360867914
1739209741.5055075;-38.13080360867914
1739209741.5055141;-38.13080360867914
1739209741.5055208;-38.13080360867914
1739209741.5055275;-38.13080360867914
1739209741.5055342;-45.120503652039325
1739209741.5055408;-33.981070128970906
1739209741.5055475;-45.120503652039325
1739209741.5055542;-45.120503652039325
1739209741.5055609;-38.13080360867914
1739209741.5055676;-45.120503652039325
1739209741.5055742;-45.120503652039325
1739209741.505581;-38.13080360867914
1739209741.5055876;-35.57807855764607
1739209741.5055943;-38.13080360867914
1739209741.505601;-45.120503652039325
1739209741.5056076;-33.981070128970906
1739209741.5056143;-45.120503652039325
1739209741.505621;-45.120503652039325
1739209741.5056276;-33.981070128970906
1739209741.5056343;-38.13080360867914
1739209741.505641;-38.13080360867914
1739209741.5056477;-38.13080360867914
1739209741.5056543;-38.13080360867914
1739209741.505661;-33.981070128970906
1739209741.5056677;-45.120503652039325
1739209741.5056744;-35.57807855764607
1739209741.5056808;-38.13080360867914
1739209741.5056875;-38.13080360867914
1739209741.5056942;-38.13080360867914
1739209741.5057008;-45.120503652039325
1739209741.5057075;-38.13080360867914
1739209741.5057142;-32.816014438256545
1739209741.5057209;-38.13080360867914
1739209741.5057275;-38.13080360867914
1739209741.5057342;-35.57807855764607
1739209741.505741;-38.13080360867914
1739209741.5057476;-45.120503652039325
1739209741.5057542;-45.120503652039325
1739209741.505761;-33.981070128970906
1739209741.5057676;-28.992665084841942
1739209741.5057743;-45.120503652039325
1739209741.505781;-38.13080360867914
1739209741.5057876;-35.57807855764607
1739209741.5057943;-38.13080360867914
1739209741.505801;-35.57807855764607
1739209741.5058076;-38.13080360867914
1739209741.5058143;-38.13080360867914
1739209741.505821;-31.141103565318915
1739209741.5058277;-45.120503652039325
1739209741.5058343;-45.120503652039325
1739209741.505841;-35.57807855764607
1739209741.5058477;-45.120503652039325
1739209741.5058544;-45.120503652039325
1739209741.505861;-33.981070128970906
1739209741.5058677;-38.13080360867914
1739209741.5058744;-33.981070128970906
1739209741.505881;-45.120503652039325
1739209741.5058875;-45.120503652039325
1739209741.5058942;-38.13080360867914
1739209741.5059009;-38.13080360867914
1739209741.5059075;-45.120503652039325
