CAN Message; 0x1d3:000042c25575a59d
Timestamp;Amplitude
1739209855.3878942;-35.57807855764607
1739209855.3878992;-45.120503652039325
1739209855.387904;-45.120503652039325
1739209855.3879087;-35.57807855764607
1739209855.3879135;-38.13080360867914
1739209855.3879185;-45.120503652039325
1739209855.3879232;-38.13080360867914
1739209855.387928;-35.57807855764607
1739209855.3879328;-38.13080360867914
1739209855.3879375;-38.13080360867914
1739209855.3879426;-33.981070128970906
1739209855.3879473;-45.120503652039325
1739209855.387952;-35.57807855764607
1739209855.3879569;-38.13080360867914
1739209855.3879619;-45.120503652039325
1739209855.3879666;-32.816014438256545
1739209855.3879714;-38.13080360867914
1739209855.3879762;-45.120503652039325
1739209855.3879812;-45.120503652039325
1739209855.387986;-45.120503652039325
1739209855.3879907;-45.120503652039325
1739209855.3879955;-45.120503652039325
1739209855.3880002;-45.120503652039325
1739209855.3880053;-45.120503652039325
1739209855.38801;-38.13080360867914
1739209855.3880148;-38.13080360867914
1739209855.3880196;-45.120503652039325
1739209855.3880246;-45.120503652039325
1739209855.3880293;-45.120503652039325
1739209855.388034;-35.57807855764607
1739209855.3880389;-45.120503652039325
1739209855.3880436;-45.120503652039325
1739209855.3880486;-38.13080360867914
1739209855.3880534;-45.120503652039325
1739209855.3880582;-38.13080360867914
1739209855.388063;-45.120503652039325
1739209855.388068;-45.120503652039325
1739209855.3880727;-45.120503652039325
1739209855.3880775;-45.120503652039325
1739209855.3880823;-45.120503652039325
1739209855.388087;-38.13080360867914
1739209855.388092;-45.120503652039325
1739209855.3880968;-45.120503652039325
1739209855.3881016;-35.57807855764607
1739209855.3881063;-38.13080360867914
1739209855.3881114;-33.981070128970906
1739209855.3881161;-38.13080360867914
1739209855.388121;-35.57807855764607
1739209855.3881257;-38.13080360867914
1739209855.3881307;-45.120503652039325
1739209855.3881354;-38.13080360867914
1739209855.3881402;-32.816014438256545
1739209855.388145;-38.13080360867914
1739209855.3881497;-45.120503652039325
1739209855.3881547;-33.981070128970906
1739209855.3881595;-35.57807855764607
1739209855.3881643;-38.13080360867914
1739209855.388169;-45.120503652039325
1739209855.388174;-45.120503652039325
1739209855.3881788;-38.13080360867914
1739209855.3881836;-45.120503652039325
1739209855.3881884;-32.816014438256545
1739209855.3881931;-38.13080360867914
1739209855.3881981;-38.13080360867914
1739209855.388203;-38.13080360867914
1739209855.3882077;-33.981070128970906
1739209855.3882124;-38.13080360867914
1739209855.3882174;-45.120503652039325
1739209855.3882222;-38.13080360867914
1739209855.388227;-35.57807855764607
1739209855.3882318;-38.13080360867914
1739209855.3882368;-45.120503652039325
1739209855.3882415;-38.13080360867914
1739209855.3882463;-38.13080360867914
1739209855.388251;-45.120503652039325
1739209855.3882558;-38.13080360867914
1739209855.3882608;-38.13080360867914
1739209855.3882656;-38.13080360867914
1739209855.3882704;-38.13080360867914
1739209855.3882751;-45.120503652039325
1739209855.3882802;-38.13080360867914
1739209855.388285;-35.57807855764607
1739209855.3882897;-38.13080360867914
1739209855.3882945;-45.120503652039325
1739209855.3882992;-38.13080360867914
1739209855.3883042;-38.13080360867914
1739209855.388309;-31.141103565318915
1739209855.3883138;-45.120503652039325
1739209855.3883185;-45.120503652039325
1739209855.3883235;-45.120503652039325
1739209855.3883283;-38.13080360867914
1739209855.388333;-38.13080360867914
1739209855.3883379;-45.120503652039325
1739209855.3883429;-38.13080360867914
1739209855.3883476;-31.14110356531892
1739209855.3883524;-38.13080360867914
1739209855.3883572;-45.120503652039325
1739209855.388362;-45.120503652039325
1739209855.388367;-38.13080360867914
1739209855.3883717;-35.57807855764607
1739209855.3883765;-45.120503652039325
1739209855.3883812;-38.13080360867914
1739209855.3883862;-28.992665084841942
1739209855.388391;-38.13080360867914
1739209855.3883958;-38.13080360867914
1739209855.3884006;-45.120503652039325
1739209855.3884053;-38.13080360867914
1739209855.3884103;-32.816014438256545
1739209855.388415;-45.120503652039325
1739209855.3884199;-45.120503652039325
1739209855.3884246;-32.816014438256545
1739209855.3884296;-45.120503652039325
1739209855.3884344;-38.13080360867914
1739209855.3884392;-45.120503652039325
1739209855.388444;-38.13080360867914
1739209855.3884487;-38.13080360867914
1739209855.3884537;-38.13080360867914
1739209855.3884585;-45.120503652039325
1739209855.3884633;-31.141103565318915
1739209855.388468;-45.120503652039325
1739209855.388473;-45.120503652039325
1739209855.3884778;-45.120503652039325
1739209855.3884826;-38.13080360867914
1739209855.3884873;-45.120503652039325
1739209855.3884923;-45.120503652039325
1739209855.388497;-45.120503652039325
1739209855.388502;-33.981070128970906
1739209855.3885067;-45.120503652039325
1739209855.3885114;-45.120503652039325
1739209855.3885164;-45.120503652039325
1739209855.3885212;-45.120503652039325
1739209855.388526;-45.120503652039325
1739209855.3885307;-45.120503652039325
1739209855.3885357;-45.120503652039325
1739209855.3885405;-38.13080360867914
1739209855.3885453;-45.120503652039325
1739209855.38855;-45.120503652039325
