CAN Message; 0x24:0ccc9d2dd57350db
Timestamp;Amplitude
1739209584.5268805;-45.120503652039325
1739209584.526888;-38.13080360867914
1739209584.5268955;-45.120503652039325
1739209584.526903;-38.13080360867914
1739209584.5269105;-35.57807855764607
1739209584.526918;-45.120503652039325
1739209584.5269256;-45.120503652039325
1739209584.526933;-38.13080360867914
1739209584.5269406;-33.981070128970906
1739209584.526948;-45.120503652039325
1739209584.5269556;-45.120503652039325
1739209584.526963;-33.981070128970906
1739209584.5269706;-38.13080360867914
1739209584.5269783;-38.13080360867914
1739209584.5269856;-45.120503652039325
1739209584.5269933;-38.13080360867914
1739209584.5270007;-45.120503652039325
1739209584.5270083;-33.981070128970906
1739209584.5270157;-45.120503652039325
1739209584.5270233;-45.120503652039325
1739209584.5270307;-38.13080360867914
1739209584.5270383;-45.120503652039325
1739209584.5270457;-45.120503652039325
1739209584.5270534;-45.120503652039325
1739209584.527061;-38.13080360867914
1739209584.5270684;-45.120503652039325
1739209584.527076;-45.120503652039325
1739209584.5270834;-45.120503652039325
1739209584.527091;-38.13080360867914
1739209584.5270984;-38.13080360867914
1739209584.527106;-45.120503652039325
1739209584.5271134;-31.141103565318915
1739209584.527121;-35.57807855764607
1739209584.5271285;-45.120503652039325
1739209584.527136;-45.120503652039325
1739209584.5271435;-31.141103565318915
1739209584.527151;-38.13080360867914
1739209584.5271587;-45.120503652039325
1739209584.5271661;-38.13080360867914
1739209584.5271738;-38.13080360867914
1739209584.5271811;-45.120503652039325
1739209584.5271888;-45.120503652039325
1739209584.5271962;-45.120503652039325
1739209584.5272038;-38.13080360867914
1739209584.5272112;-38.13080360867914
1739209584.5272188;-45.120503652039325
1739209584.5272262;-45.120503652039325
1739209584.5272338;-45.120503652039325
1739209584.5272412;-38.13080360867914
1739209584.5272489;-38.13080360867914
1739209584.5272565;-45.120503652039325
1739209584.5272639;-27.267205301931607
1739209584.5272715;-30.49652367304973
1739209584.527279;-45.120503652039325
1739209584.5272865;-35.57807855764607
1739209584.527294;-32.816014438256545
1739209584.5273015;-33.981070128970906
1739209584.527309;-45.120503652039325
1739209584.5273166;-32.816014438256545
1739209584.527324;-33.981070128970956
1739209584.5273316;-45.120503652039325
1739209584.527339;-45.120503652039325
1739209584.5273466;-45.120503652039325
1739209584.5273542;-45.120503652039325
1739209584.5273616;-45.120503652039325
1739209584.5273693;-45.120503652039325
1739209584.5273767;-45.120503652039325
1739209584.5273843;-30.49652367304973
1739209584.5273917;-26.991370085610736
1739209584.5273993;-38.13080360867914
1739209584.5274067;-45.120503652039325
1739209584.5274143;-33.981070128970906
1739209584.5274217;-38.13080360867914
1739209584.5274293;-45.120503652039325
1739209584.527437;-38.13080360867914
1739209584.5274444;-38.13080360867914
1739209584.527452;-45.120503652039325
1739209584.5274594;-31.141103565318915
1739209584.527467;-32.816014438256545
1739209584.5274744;-45.120503652039325
1739209584.527482;-45.120503652039325
1739209584.5274894;-33.981070128970906
1739209584.527497;-45.120503652039325
1739209584.5275044;-35.57807855764607
1739209584.527512;-32.816014438256545
1739209584.5275195;-38.13080360867914
1739209584.527527;-45.120503652039325
1739209584.5275347;-33.981070128970906
1739209584.527542;-31.141103565318893
1739209584.5275497;-38.13080360867914
1739209584.5275571;-45.120503652039325
1739209584.5275648;-38.13080360867914
1739209584.5275722;-45.120503652039325
1739209584.5275798;-38.13080360867914
1739209584.5275872;-45.120503652039325
1739209584.5275948;-45.120503652039325
1739209584.5276022;-38.13080360867914
1739209584.5276098;-38.13080360867914
1739209584.5276172;-45.120503652039325
1739209584.5276248;-33.981070128970906
1739209584.5276325;-45.120503652039325
1739209584.5276399;-38.13080360867914
1739209584.5276475;-32.816014438256545
1739209584.527655;-45.120503652039325
1739209584.5276625;-45.120503652039325
1739209584.52767;-45.120503652039325
1739209584.5276775;-45.120503652039325
1739209584.527685;-35.57807855764607
1739209584.5276926;-28.21854285175415
1739209584.5277;-38.13080360867914
1739209584.5277076;-45.120503652039325
1739209584.527715;-35.57807855764607
1739209584.5277226;-31.141103565318893
1739209584.5277302;-45.120503652039325
1739209584.5277376;-38.13080360867914
1739209584.5277452;-38.13080360867914
1739209584.5277526;-33.981070128970956
1739209584.5277603;-45.120503652039325
1739209584.5277677;-45.120503652039325
1739209584.5277753;-38.13080360867914
1739209584.5277827;-45.120503652039325
1739209584.5277903;-45.120503652039325
1739209584.5277977;-45.120503652039325
1739209584.5278053;-38.13080360867914
1739209584.527813;-26.487275050834715
1739209584.5278203;-38.13080360867914
1739209584.527828;-45.120503652039325
1739209584.5278354;-38.13080360867914
1739209584.527843;-32.816014438256545
1739209584.5278504;-45.120503652039325
1739209584.527858;-38.13080360867914
1739209584.5278654;-45.120503652039325
1739209584.527873;-33.981070128970956
1739209584.5278804;-45.120503652039325
1739209584.527888;-38.13080360867914
1739209584.5278955;-38.13080360867914
1739209584.527903;-45.120503652039325
1739209584.5279107;-45.120503652039325
1739209584.527918;-38.13080360867914
1739209584.5279257;-45.120503652039325
1739209584.5279331;-28.992665084841942
1739209584.5279408;-33.981070128970906
1739209584.5279481;-45.120503652039325
1739209584.5279558;-45.120503652039325
1739209584.5279632;-35.57807855764607
1739209584.5279708;-38.13080360867914
1739209584.5279782;-45.120503652039325
1739209584.5279858;-38.13080360867914
1739209584.5279932;-38.13080360867914
1739209584.5280008;-38.13080360867914
1739209584.5280085;-45.120503652039325
1739209584.5280159;-45.120503652039325
1739209584.5280235;-45.120503652039325
1739209584.5280309;-45.120503652039325
1739209584.5280385;-45.120503652039325
1739209584.528046;-33.981070128970906
1739209584.5280535;-28.992665084841942
1739209584.528061;-31.141103565318915
1739209584.5280685;-38.13080360867914
1739209584.528076;-38.13080360867914
1739209584.5280836;-32.816014438256545
1739209584.528091;-38.13080360867914
1739209584.5280986;-45.120503652039325
1739209584.5281062;-35.57807855764607
1739209584.5281136;-38.13080360867914
1739209584.5281212;-38.13080360867914
1739209584.5281286;-45.120503652039325
1739209584.5281363;-45.120503652039325
1739209584.5281436;-45.120503652039325
1739209584.5281513;-45.120503652039325
1739209584.5281587;-38.13080360867914
1739209584.5281663;-45.120503652039325
1739209584.5281737;-33.981070128970906
1739209584.5281813;-31.141103565318915
1739209584.528189;-35.57807855764607
1739209584.5281963;-38.13080360867914
1739209584.528204;-45.120503652039325
1739209584.5282114;-38.13080360867914
1739209584.528219;-38.13080360867914
1739209584.5282264;-38.13080360867914
1739209584.528234;-38.13080360867914
1739209584.5282414;-45.120503652039325
1739209584.528249;-45.120503652039325
