CAN Message; 0x1bb:0000795828df2bec
Timestamp;Amplitude
1739209672.8096223;-45.120503652039325
1739209672.8096309;-33.981070128970906
1739209672.8096397;-31.141103565318915
1739209672.8096483;-45.120503652039325
1739209672.809657;-45.120503652039325
1739209672.8096657;-45.120503652039325
1739209672.8096745;-45.120503652039325
1739209672.8096833;-45.120503652039325
1739209672.809692;-33.981070128970906
1739209672.8097007;-31.141103565318915
1739209672.8097093;-33.981070128970906
1739209672.8097181;-38.13080360867914
1739209672.809727;-45.120503652039325
1739209672.8097355;-38.13080360867914
1739209672.8097444;-38.13080360867914
1739209672.809753;-45.120503652039325
1739209672.8097618;-38.13080360867914
1739209672.8097703;-38.13080360867914
1739209672.8097792;-31.141103565318915
1739209672.809788;-45.120503652039325
1739209672.8097966;-45.120503652039325
1739209672.8098054;-45.120503652039325
1739209672.809814;-45.120503652039325
1739209672.8098228;-38.13080360867914
1739209672.8098314;-38.13080360867914
1739209672.8098402;-45.120503652039325
1739209672.809849;-45.120503652039325
1739209672.8098576;-45.120503652039325
1739209672.8098664;-38.13080360867914
1739209672.809875;-38.13080360867914
1739209672.8098838;-38.13080360867914
1739209672.8098924;-45.120503652039325
1739209672.8099012;-45.120503652039325
1739209672.80991;-38.13080360867914
1739209672.8099186;-45.120503652039325
1739209672.8099275;-45.120503652039325
1739209672.809936;-35.57807855764607
1739209672.8099449;-32.816014438256545
1739209672.8099537;-38.13080360867914
1739209672.8099623;-45.120503652039325
1739209672.809971;-38.13080360867914
1739209672.8099797;-38.13080360867914
1739209672.8099885;-38.13080360867914
1739209672.809997;-45.120503652039325
1739209672.810006;-45.120503652039325
1739209672.8100147;-45.120503652039325
1739209672.8100233;-38.13080360867914
1739209672.8100321;-45.120503652039325
1739209672.8100407;-38.13080360867914
1739209672.8100495;-38.13080360867914
1739209672.810058;-38.13080360867914
1739209672.810067;-45.120503652039325
1739209672.8100758;-38.13080360867914
1739209672.8100843;-38.13080360867914
1739209672.8100932;-38.13080360867914
1739209672.8101017;-35.57807855764607
1739209672.8101106;-38.13080360867914
1739209672.8101192;-45.120503652039325
1739209672.810128;-38.13080360867914
1739209672.8101368;-45.120503652039325
1739209672.8101454;-45.120503652039325
1739209672.8101542;-38.13080360867914
1739209672.8101628;-45.120503652039325
1739209672.8101716;-45.120503652039325
1739209672.8101804;-38.13080360867914
1739209672.810189;-38.13080360867914
1739209672.8101978;-38.13080360867914
1739209672.8102064;-45.120503652039325
1739209672.8102152;-38.13080360867914
1739209672.8102238;-38.13080360867914
1739209672.8102326;-33.981070128970906
1739209672.8102415;-38.13080360867914
1739209672.81025;-45.120503652039325
1739209672.8102589;-45.120503652039325
1739209672.8102674;-33.981070128970906
1739209672.8102763;-45.120503652039325
1739209672.8102849;-45.120503652039325
1739209672.8102937;-38.13080360867914
1739209672.8103025;-45.120503652039325
1739209672.810311;-45.120503652039325
1739209672.81032;-45.120503652039325
1739209672.8103285;-45.120503652039325
1739209672.8103373;-45.120503652039325
1739209672.810346;-45.120503652039325
1739209672.8103547;-38.13080360867914
1739209672.8103635;-45.120503652039325
1739209672.810372;-35.57807855764607
1739209672.810381;-38.13080360867914
1739209672.8103895;-32.816014438256545
1739209672.8103983;-35.57807855764607
1739209672.8104072;-45.120503652039325
1739209672.8104157;-32.816014438256545
1739209672.8104246;-31.141103565318915
1739209672.8104331;-38.13080360867914
1739209672.810442;-45.120503652039325
1739209672.8104506;-38.13080360867914
1739209672.8104594;-38.13080360867914
1739209672.8104682;-45.120503652039325
1739209672.8104768;-33.981070128970906
1739209672.8104856;-45.120503652039325
1739209672.8104942;-45.120503652039325
1739209672.810503;-45.120503652039325
1739209672.8105116;-32.816014438256545
