CAN Message; 0x1d3:00007970e43f92c6
Timestamp;Amplitude
1739209895.7818682;-33.981070128970906
1739209895.781877;-45.120503652039325
1739209895.7818856;-45.120503652039325
1739209895.7818942;-35.57807855764607
1739209895.781903;-45.120503652039325
1739209895.7819116;-38.13080360867914
1739209895.7819202;-38.13080360867914
1739209895.781929;-35.57807855764607
1739209895.7819376;-38.13080360867914
1739209895.7819462;-45.120503652039325
1739209895.781955;-33.981070128970906
1739209895.7819636;-38.13080360867914
1739209895.7819722;-33.981070128970906
1739209895.781981;-45.120503652039325
1739209895.7819896;-45.120503652039325
1739209895.7819982;-38.13080360867914
1739209895.782007;-38.13080360867914
1739209895.7820156;-45.120503652039325
1739209895.7820241;-38.13080360867914
1739209895.782033;-35.57807855764607
1739209895.7820415;-38.13080360867914
1739209895.7820501;-45.120503652039325
1739209895.782059;-35.57807855764607
1739209895.7820675;-38.13080360867914
1739209895.7820761;-38.13080360867914
1739209895.782085;-45.120503652039325
1739209895.7820935;-38.13080360867914
1739209895.782102;-38.13080360867914
1739209895.782111;-35.57807855764607
1739209895.7821195;-35.57807855764607
1739209895.782128;-38.13080360867914
1739209895.782137;-38.13080360867914
1739209895.7821455;-45.120503652039325
1739209895.782154;-45.120503652039325
1739209895.782163;-38.13080360867914
1739209895.7821715;-45.120503652039325
1739209895.78218;-45.120503652039325
1739209895.782189;-45.120503652039325
1739209895.7821975;-45.120503652039325
1739209895.782206;-38.13080360867914
1739209895.7822149;-38.13080360867914
1739209895.7822235;-45.120503652039325
1739209895.782232;-45.120503652039325
1739209895.7822409;-38.13080360867914
1739209895.7822495;-38.13080360867914
1739209895.782258;-38.13080360867914
1739209895.7822669;-33.981070128970906
1739209895.7822754;-45.120503652039325
1739209895.782284;-38.13080360867914
1739209895.7822928;-45.120503652039325
1739209895.7823014;-35.57807855764607
1739209895.78231;-35.57807855764607
1739209895.7823188;-38.13080360867914
1739209895.7823274;-45.120503652039325
1739209895.782336;-45.120503652039325
1739209895.7823448;-33.981070128970906
1739209895.7823534;-32.816014438256545
1739209895.782362;-35.57807855764607
1739209895.7823708;-38.13080360867914
1739209895.7823794;-38.13080360867914
1739209895.782388;-35.57807855764607
1739209895.7823968;-38.13080360867914
1739209895.7824054;-33.981070128970906
1739209895.782414;-30.49652367304973
1739209895.7824228;-38.13080360867914
1739209895.7824314;-45.120503652039325
1739209895.78244;-38.13080360867914
1739209895.7824488;-38.13080360867914
1739209895.7824574;-38.13080360867914
1739209895.782466;-38.13080360867914
1739209895.7824748;-35.57807855764607
1739209895.7824833;-29.438486411369333
1739209895.782492;-33.981070128970906
1739209895.7825007;-45.120503652039325
1739209895.7825093;-28.992665084841942
1739209895.782518;-45.120503652039325
1739209895.7825267;-45.120503652039325
1739209895.7825353;-45.120503652039325
1739209895.782544;-45.120503652039325
1739209895.7825527;-38.13080360867914
1739209895.7825613;-38.13080360867914
1739209895.78257;-38.13080360867914
1739209895.7825787;-33.981070128970906
1739209895.7825873;-38.13080360867914
1739209895.7825959;-32.816014438256545
1739209895.7826047;-45.120503652039325
1739209895.7826133;-33.981070128970906
1739209895.7826219;-28.992665084841942
1739209895.7826307;-45.120503652039325
1739209895.7826393;-45.120503652039325
1739209895.7826478;-38.13080360867914
1739209895.7826567;-33.981070128970906
1739209895.7826653;-45.120503652039325
1739209895.7826738;-45.120503652039325
1739209895.7826827;-45.120503652039325
