CAN Message; 0x1a7:0000edf29b25012a
Timestamp;Amplitude
1739209794.7808223;-38.13080360867914
1739209794.7808397;-35.57807855764607
1739209794.780857;-35.57807855764607
1739209794.7808747;-38.13080360867914
1739209794.7808921;-45.120503652039325
1739209794.7809095;-38.13080360867914
1739209794.780927;-38.13080360867914
1739209794.7809443;-45.120503652039325
1739209794.7809618;-45.120503652039325
1739209794.7809792;-33.981070128970906
1739209794.7809968;-35.57807855764607
1739209794.7810142;-45.120503652039325
1739209794.7810316;-31.141103565318915
1739209794.781049;-32.816014438256545
1739209794.7810664;-35.57807855764607
1739209794.7810838;-38.13080360867914
1739209794.7811015;-45.120503652039325
1739209794.7811189;-38.13080360867914
1739209794.7811363;-38.13080360867914
1739209794.7811537;-38.13080360867914
1739209794.781171;-45.120503652039325
1739209794.7811885;-45.120503652039325
1739209794.781206;-45.120503652039325
1739209794.7812235;-45.120503652039325
1739209794.781241;-45.120503652039325
1739209794.7812583;-38.13080360867914
1739209794.7812757;-45.120503652039325
1739209794.7812932;-38.13080360867914
1739209794.7813106;-45.120503652039325
1739209794.781328;-38.13080360867914
1739209794.7813456;-38.13080360867914
1739209794.781363;-45.120503652039325
1739209794.7813804;-45.120503652039325
1739209794.7813978;-38.13080360867914
1739209794.7814152;-45.120503652039325
1739209794.7814326;-45.120503652039325
1739209794.78145;-35.57807855764607
1739209794.7814677;-38.13080360867914
1739209794.781485;-38.13080360867914
1739209794.7815025;-38.13080360867914
1739209794.78152;-32.816014438256545
1739209794.7815373;-35.57807855764607
1739209794.7815547;-45.120503652039325
1739209794.7815723;-33.981070128970906
1739209794.7815897;-35.57807855764607
1739209794.7816072;-38.13080360867914
1739209794.7816246;-45.120503652039325
1739209794.781642;-33.981070128970906
1739209794.7816594;-38.13080360867914
1739209794.7816768;-30.49652367304973
1739209794.7816944;-31.141103565318915
1739209794.7817118;-45.120503652039325
1739209794.7817292;-45.120503652039325
1739209794.7817466;-35.57807855764607
1739209794.781764;-35.57807855764607
1739209794.7817814;-38.13080360867914
1739209794.7817988;-38.13080360867914
1739209794.7818165;-45.120503652039325
1739209794.781834;-45.120503652039325
1739209794.7818513;-45.120503652039325
1739209794.7818687;-45.120503652039325
1739209794.781886;-45.120503652039325
1739209794.7819035;-45.120503652039325
1739209794.781921;-38.13080360867914
1739209794.7819386;-38.13080360867914
1739209794.781956;-45.120503652039325
1739209794.7819734;-38.13080360867914
1739209794.7819908;-38.13080360867914
1739209794.7820082;-45.120503652039325
1739209794.7820256;-45.120503652039325
1739209794.7820432;-38.13080360867914
1739209794.7820606;-32.816014438256545
1739209794.782078;-45.120503652039325
1739209794.7820954;-28.992665084841942
1739209794.7821128;-27.8777449560314
1739209794.7821302;-45.120503652039325
1739209794.7821476;-45.120503652039325
1739209794.7821653;-38.13080360867914
1739209794.7821827;-38.13080360867914
1739209794.7822;-45.120503652039325
1739209794.7822175;-35.57807855764607
1739209794.782235;-45.120503652039325
1739209794.7822523;-38.13080360867914
1739209794.7822697;-38.13080360867914
1739209794.7822874;-45.120503652039325
1739209794.7823048;-45.120503652039325
1739209794.7823222;-38.13080360867914
1739209794.7823396;-38.13080360867914
1739209794.782357;-45.120503652039325
1739209794.7823744;-32.816014438256545
1739209794.782392;-27.8777449560314
1739209794.7824094;-45.120503652039325
1739209794.7824268;-45.120503652039325
1739209794.7824442;-45.120503652039325
1739209794.7824616;-38.13080360867914
1739209794.782479;-45.120503652039325
1739209794.7824965;-45.120503652039325
1739209794.782514;-45.120503652039325
1739209794.7825315;-45.120503652039325
1739209794.782549;-45.120503652039325
1739209794.7825663;-45.120503652039325
