CAN Message; 0x1d3:000079380c19ad3c
Timestamp;Amplitude
1739209673.8209991;-32.816014438256545
1739209673.8210046;-33.981070128970906
1739209673.8210104;-45.120503652039325
1739209673.8210158;-45.120503652039325
1739209673.8210216;-45.120503652039325
1739209673.821027;-38.13080360867914
1739209673.8210328;-45.120503652039325
1739209673.8210382;-45.120503652039325
1739209673.821044;-35.57807855764607
1739209673.8210495;-45.120503652039325
1739209673.8210552;-38.13080360867914
1739209673.8210607;-35.57807855764607
1739209673.8210664;-45.120503652039325
1739209673.8210719;-45.120503652039325
1739209673.8210776;-38.13080360867914
1739209673.821083;-35.57807855764607
1739209673.8210888;-38.13080360867914
1739209673.8210943;-38.13080360867914
1739209673.8211;-45.120503652039325
1739209673.8211055;-45.120503652039325
1739209673.8211112;-45.120503652039325
1739209673.8211167;-45.120503652039325
1739209673.8211224;-45.120503652039325
1739209673.821128;-45.120503652039325
1739209673.8211336;-38.13080360867914
1739209673.821139;-45.120503652039325
1739209673.8211448;-38.13080360867914
1739209673.8211503;-38.13080360867914
1739209673.821156;-38.13080360867914
1739209673.8211615;-45.120503652039325
1739209673.8211672;-38.13080360867914
1739209673.8211727;-38.13080360867914
1739209673.8211784;-45.120503652039325
1739209673.821184;-45.120503652039325
1739209673.8211896;-38.13080360867914
1739209673.8211951;-38.13080360867914
1739209673.8212008;-45.120503652039325
1739209673.8212063;-45.120503652039325
1739209673.821212;-45.120503652039325
1739209673.8212175;-45.120503652039325
1739209673.8212233;-45.120503652039325
1739209673.8212287;-45.120503652039325
1739209673.8212345;-38.13080360867914
1739209673.82124;-38.13080360867914
1739209673.8212457;-45.120503652039325
1739209673.8212512;-38.13080360867914
1739209673.8212569;-32.816014438256545
1739209673.8212624;-38.13080360867914
1739209673.821268;-45.120503652039325
1739209673.8212736;-45.120503652039325
1739209673.8212793;-31.141103565318915
1739209673.821285;-31.141103565318915
1739209673.8212905;-45.120503652039325
1739209673.8212962;-38.13080360867914
1739209673.8213017;-45.120503652039325
1739209673.8213074;-38.13080360867914
1739209673.821313;-45.120503652039325
1739209673.8213186;-45.120503652039325
1739209673.821324;-38.13080360867914
1739209673.8213298;-32.816014438256545
1739209673.8213353;-38.13080360867914
1739209673.821341;-45.120503652039325
1739209673.8213465;-38.13080360867914
1739209673.8213522;-38.13080360867914
1739209673.8213577;-38.13080360867914
1739209673.8213634;-38.13080360867914
1739209673.821369;-31.141103565318915
1739209673.8213747;-27.267205301931607
1739209673.8213801;-45.120503652039325
1739209673.8213859;-38.13080360867914
1739209673.8213913;-38.13080360867914
1739209673.821397;-38.13080360867914
1739209673.8214025;-38.13080360867914
1739209673.8214083;-45.120503652039325
1739209673.8214138;-38.13080360867914
1739209673.8214195;-30.49652367304973
1739209673.821425;-33.981070128970906
1739209673.8214307;-32.816014438256545
1739209673.8214362;-35.57807855764607
1739209673.821442;-38.13080360867914
1739209673.8214474;-45.120503652039325
1739209673.821453;-38.13080360867914
1739209673.8214586;-32.816014438256545
1739209673.8214643;-26.487275050834725
1739209673.8214698;-45.120503652039325
1739209673.8214755;-45.120503652039325
1739209673.821481;-38.13080360867914
1739209673.8214867;-33.981070128970906
1739209673.8214922;-45.120503652039325
1739209673.821498;-38.13080360867914
1739209673.8215034;-38.13080360867914
1739209673.8215091;-33.981070128970906
1739209673.8215146;-45.120503652039325
1739209673.8215203;-38.13080360867914
1739209673.8215258;-35.57807855764607
1739209673.8215315;-38.13080360867914
1739209673.821537;-45.120503652039325
1739209673.8215427;-33.981070128970906
1739209673.8215482;-35.57807855764607
1739209673.821554;-32.816014438256545
1739209673.8215594;-45.120503652039325
1739209673.8215652;-45.120503652039325
1739209673.8215709;-38.13080360867914
1739209673.8215764;-38.13080360867914
1739209673.821582;-45.120503652039325
1739209673.8215876;-38.13080360867914
1739209673.8215933;-32.816014438256545
1739209673.8215988;-33.981070128970906
1739209673.8216045;-45.120503652039325
1739209673.82161;-38.13080360867914
1739209673.8216157;-38.13080360867914
1739209673.8216212;-38.13080360867914
1739209673.821627;-38.13080360867914
1739209673.8216324;-45.120503652039325
1739209673.821638;-38.13080360867914
1739209673.8216436;-33.981070128970906
1739209673.8216493;-45.120503652039325
1739209673.8216548;-38.13080360867914
1739209673.8216605;-35.57807855764607
1739209673.821666;-38.13080360867914
1739209673.8216717;-45.120503652039325
1739209673.8216772;-45.120503652039325
1739209673.821683;-45.120503652039325
1739209673.8216884;-38.13080360867914
1739209673.8216941;-38.13080360867914
1739209673.8216996;-45.120503652039325
1739209673.8217053;-45.120503652039325
1739209673.8217108;-45.120503652039325
1739209673.8217165;-45.120503652039325
1739209673.821722;-38.13080360867914
1739209673.8217278;-45.120503652039325
1739209673.8217332;-31.141103565318915
1739209673.821739;-32.816014438256545
1739209673.8217444;-38.13080360867914
1739209673.8217502;-45.120503652039325
1739209673.8217556;-38.13080360867914
1739209673.8217614;-35.57807855764607
1739209673.8217669;-38.13080360867914
