CAN Message; 0x98:00004f37b18f8f70
Timestamp;Amplitude
1739209921.4162073;-35.57807855764607
1739209921.416213;-45.120503652039325
1739209921.4162185;-45.120503652039325
1739209921.4162242;-38.13080360867914
1739209921.4162297;-38.13080360867914
1739209921.4162354;-38.13080360867914
1739209921.416241;-35.57807855764607
1739209921.4162467;-38.13080360867914
1739209921.4162521;-45.120503652039325
1739209921.4162579;-45.120503652039325
1739209921.4162633;-38.13080360867914
1739209921.416269;-35.57807855764607
1739209921.4162745;-35.57807855764607
1739209921.4162803;-38.13080360867914
1739209921.4162858;-45.120503652039325
1739209921.4162915;-38.13080360867914
1739209921.416297;-38.13080360867914
1739209921.4163027;-45.120503652039325
1739209921.4163082;-45.120503652039325
1739209921.416314;-38.13080360867914
1739209921.4163194;-38.13080360867914
1739209921.416325;-38.13080360867914
1739209921.4163306;-38.13080360867914
1739209921.4163363;-33.981070128970906
1739209921.4163418;-35.57807855764607
1739209921.4163475;-38.13080360867914
1739209921.416353;-32.816014438256545
1739209921.4163587;-38.13080360867914
1739209921.4163642;-45.120503652039325
1739209921.41637;-38.13080360867914
1739209921.4163754;-38.13080360867914
1739209921.4163811;-35.57807855764607
1739209921.4163866;-32.816014438256545
1739209921.4163923;-38.13080360867914
1739209921.4163978;-45.120503652039325
1739209921.4164035;-38.13080360867914
1739209921.416409;-38.13080360867914
1739209921.4164147;-38.13080360867914
1739209921.4164202;-45.120503652039325
1739209921.416426;-38.13080360867914
1739209921.4164314;-38.13080360867914
1739209921.4164371;-45.120503652039325
1739209921.4164426;-38.13080360867914
1739209921.4164484;-31.141103565318915
1739209921.4164538;-32.816014438256545
1739209921.4164596;-35.57807855764607
1739209921.416465;-38.13080360867914
1739209921.4164708;-33.981070128970906
1739209921.4164762;-32.816014438256545
1739209921.416482;-45.120503652039325
1739209921.4164875;-38.13080360867914
1739209921.4164932;-31.141103565318915
1739209921.4164987;-38.13080360867914
1739209921.4165044;-38.13080360867914
1739209921.4165099;-45.120503652039325
1739209921.4165156;-38.13080360867914
1739209921.416521;-35.57807855764607
1739209921.4165268;-45.120503652039325
1739209921.4165323;-45.120503652039325
1739209921.416538;-31.141103565318915
1739209921.4165435;-38.13080360867914
1739209921.4165492;-45.120503652039325
1739209921.4165547;-45.120503652039325
1739209921.4165604;-45.120503652039325
1739209921.416566;-38.13080360867914
1739209921.4165716;-38.13080360867914
1739209921.416577;-45.120503652039325
1739209921.4165828;-38.13080360867914
1739209921.4165883;-38.13080360867914
1739209921.416594;-45.120503652039325
1739209921.4165995;-45.120503652039325
1739209921.4166052;-38.13080360867914
1739209921.4166107;-35.57807855764607
1739209921.4166164;-38.13080360867914
1739209921.416622;-45.120503652039325
1739209921.4166276;-33.981070128970906
1739209921.4166331;-38.13080360867914
1739209921.4166389;-35.57807855764607
1739209921.4166443;-38.13080360867914
1739209921.41665;-38.13080360867914
1739209921.4166555;-38.13080360867914
1739209921.4166613;-45.120503652039325
1739209921.4166667;-45.120503652039325
1739209921.4166725;-27.267205301931607
1739209921.416678;-45.120503652039325
1739209921.4166837;-38.13080360867914
1739209921.4166892;-45.120503652039325
1739209921.4166949;-38.13080360867914
1739209921.4167004;-38.13080360867914
1739209921.416706;-38.13080360867914
1739209921.4167116;-45.120503652039325
1739209921.4167173;-35.57807855764607
1739209921.4167228;-38.13080360867914
1739209921.4167285;-38.13080360867914
1739209921.416734;-45.120503652039325
1739209921.4167397;-38.13080360867914
1739209921.4167452;-35.57807855764607
1739209921.416751;-45.120503652039325
1739209921.4167564;-45.120503652039325
1739209921.416762;-33.981070128970906
1739209921.4167676;-38.13080360867914
1739209921.4167733;-32.816014438256545
1739209921.4167788;-38.13080360867914
1739209921.4167845;-45.120503652039325
1739209921.41679;-38.13080360867914
1739209921.4167957;-38.13080360867914
1739209921.4168012;-45.120503652039325
1739209921.416807;-38.13080360867914
1739209921.4168124;-38.13080360867914
1739209921.4168181;-45.120503652039325
1739209921.4168236;-45.120503652039325
1739209921.4168293;-38.13080360867914
1739209921.4168348;-45.120503652039325
1739209921.4168406;-45.120503652039325
1739209921.416846;-45.120503652039325
1739209921.4168518;-45.120503652039325
1739209921.4168572;-33.981070128970906
1739209921.416863;-38.13080360867914
1739209921.4168684;-45.120503652039325
1739209921.4168742;-38.13080360867914
1739209921.4168797;-32.816014438256545
1739209921.4168854;-38.13080360867914
1739209921.4168909;-45.120503652039325
1739209921.4168966;-33.981070128970906
1739209921.416902;-38.13080360867914
1739209921.4169078;-45.120503652039325
1739209921.4169133;-38.13080360867914
1739209921.416919;-38.13080360867914
1739209921.4169245;-45.120503652039325
1739209921.4169302;-35.57807855764607
1739209921.4169357;-45.120503652039325
1739209921.4169414;-45.120503652039325
1739209921.416947;-38.13080360867914
1739209921.4169526;-38.13080360867914
1739209921.416958;-45.120503652039325
1739209921.4169638;-38.13080360867914
1739209921.4169693;-38.13080360867914
1739209921.416975;-38.13080360867914
1739209921.4169805;-35.57807855764607
1739209921.4169862;-38.13080360867914
1739209921.4169917;-33.981070128970906
1739209921.4169974;-35.57807855764607
1739209921.417003;-45.120503652039325
1739209921.4170086;-45.120503652039325
1739209921.4170141;-38.13080360867914
1739209921.4170198;-35.57807855764607
1739209921.4170253;-45.120503652039325
1739209921.417031;-38.13080360867914
1739209921.4170365;-45.120503652039325
1739209921.4170423;-45.120503652039325
1739209921.4170477;-45.120503652039325
