CAN Message; 0x1a7:00006d40509a60e1
Timestamp;Amplitude
1739209622.198061;-30.49652367304973
1739209622.1980667;-35.57807855764607
1739209622.1980722;-38.13080360867914
1739209622.1980777;-45.120503652039325
1739209622.1980834;-38.13080360867914
1739209622.198089;-45.120503652039325
1739209622.1980944;-45.120503652039325
1739209622.1981;-45.120503652039325
1739209622.1981056;-31.141103565318915
1739209622.198111;-45.120503652039325
1739209622.1981168;-38.13080360867914
1739209622.1981223;-38.13080360867914
1739209622.1981277;-35.57807855764607
1739209622.1981332;-35.57807855764607
1739209622.198139;-38.13080360867914
1739209622.1981444;-45.120503652039325
1739209622.19815;-38.13080360867914
1739209622.1981556;-35.57807855764607
1739209622.1981611;-38.13080360867914
1739209622.1981666;-38.13080360867914
1739209622.1981723;-33.981070128970906
1739209622.1981778;-35.57807855764607
1739209622.1981833;-38.13080360867914
1739209622.198189;-45.120503652039325
1739209622.1981945;-33.981070128970906
1739209622.1982;-45.120503652039325
1739209622.1982057;-45.120503652039325
1739209622.1982112;-45.120503652039325
1739209622.1982167;-45.120503652039325
1739209622.1982224;-38.13080360867914
1739209622.198228;-38.13080360867914
1739209622.1982334;-45.120503652039325
1739209622.198239;-38.13080360867914
1739209622.1982446;-38.13080360867914
1739209622.19825;-38.13080360867914
1739209622.1982555;-45.120503652039325
1739209622.1982613;-45.120503652039325
1739209622.1982667;-38.13080360867914
1739209622.1982722;-45.120503652039325
1739209622.198278;-45.120503652039325
1739209622.1982834;-38.13080360867914
1739209622.198289;-38.13080360867914
1739209622.1982946;-45.120503652039325
1739209622.1983001;-38.13080360867914
1739209622.1983056;-35.57807855764607
1739209622.1983113;-35.57807855764607
1739209622.1983168;-38.13080360867914
1739209622.1983223;-45.120503652039325
1739209622.198328;-45.120503652039325
1739209622.1983335;-45.120503652039325
1739209622.198339;-38.13080360867914
1739209622.1983447;-45.120503652039325
1739209622.1983502;-38.13080360867914
1739209622.1983557;-45.120503652039325
1739209622.1983614;-33.981070128970906
1739209622.1983669;-45.120503652039325
1739209622.1983724;-33.981070128970906
1739209622.198378;-28.21854285175415
1739209622.1983836;-33.981070128970906
1739209622.198389;-38.13080360867914
1739209622.1983945;-38.13080360867914
1739209622.1984003;-32.816014438256545
1739209622.1984057;-38.13080360867914
1739209622.1984112;-45.120503652039325
1739209622.198417;-45.120503652039325
1739209622.1984224;-45.120503652039325
1739209622.198428;-38.13080360867914
1739209622.1984336;-45.120503652039325
1739209622.1984391;-45.120503652039325
1739209622.1984446;-45.120503652039325
1739209622.1984503;-45.120503652039325
1739209622.1984558;-38.13080360867914
1739209622.1984613;-45.120503652039325
1739209622.198467;-45.120503652039325
1739209622.1984725;-45.120503652039325
1739209622.198478;-45.120503652039325
1739209622.1984837;-35.57807855764607
1739209622.1984892;-38.13080360867914
1739209622.1984947;-38.13080360867914
1739209622.1985004;-45.120503652039325
1739209622.1985059;-35.57807855764607
1739209622.1985114;-26.991370085610736
1739209622.198517;-35.57807855764607
1739209622.1985226;-38.13080360867914
1739209622.198528;-38.13080360867914
1739209622.1985335;-45.120503652039325
1739209622.1985393;-45.120503652039325
1739209622.1985447;-45.120503652039325
1739209622.1985502;-45.120503652039325
1739209622.198556;-32.81601443825658
1739209622.1985614;-45.120503652039325
1739209622.198567;-35.57807855764607
1739209622.1985726;-38.13080360867914
1739209622.1985781;-45.120503652039325
1739209622.1985836;-38.13080360867914
1739209622.1985893;-35.57807855764607
1739209622.1985948;-38.13080360867914
1739209622.1986003;-29.438486411369333
1739209622.198606;-38.13080360867914
1739209622.1986115;-45.120503652039325
1739209622.198617;-38.13080360867914
1739209622.1986227;-32.816014438256545
1739209622.1986282;-38.13080360867914
1739209622.1986337;-45.120503652039325
1739209622.1986394;-38.13080360867914
1739209622.1986449;-45.120503652039325
1739209622.1986504;-45.120503652039325
1739209622.1986558;-45.120503652039325
1739209622.1986616;-45.120503652039325
1739209622.198667;-45.120503652039325
1739209622.1986725;-45.120503652039325
1739209622.1986783;-33.981070128970906
1739209622.1986837;-33.981070128970906
1739209622.1986892;-45.120503652039325
1739209622.198695;-38.13080360867914
1739209622.1987004;-35.57807855764607
1739209622.198706;-35.57807855764607
1739209622.1987116;-45.120503652039325
1739209622.198717;-45.120503652039325
1739209622.1987226;-33.981070128970906
1739209622.1987283;-45.120503652039325
1739209622.1987338;-28.992665084841942
1739209622.1987393;-31.141103565318893
1739209622.198745;-45.120503652039325
1739209622.1987505;-33.981070128970906
1739209622.198756;-38.13080360867914
1739209622.1987617;-38.13080360867914
1739209622.1987672;-45.120503652039325
1739209622.1987727;-38.13080360867914
1739209622.1987784;-45.120503652039325
