CAN Message; 0x1b8:0100e9f6ba417234
Timestamp;Amplitude
1739209896.43242;-45.120503652039325
1739209896.432422;-45.120503652039325
1739209896.4324236;-45.120503652039325
1739209896.4324255;-32.816014438256545
1739209896.4324274;-33.981070128970906
1739209896.4324293;-45.120503652039325
1739209896.432431;-38.13080360867914
1739209896.432433;-35.57807855764607
1739209896.4324348;-45.120503652039325
1739209896.4324367;-38.13080360867914
1739209896.4324386;-45.120503652039325
1739209896.4324403;-38.13080360867914
1739209896.4324422;-45.120503652039325
1739209896.432444;-38.13080360867914
1739209896.432446;-33.981070128970906
1739209896.432448;-35.57807855764607
1739209896.4324496;-35.57807855764607
1739209896.4324515;-38.13080360867914
1739209896.4324534;-35.57807855764607
1739209896.4324553;-38.13080360867914
1739209896.432457;-33.981070128970906
1739209896.4324589;-38.13080360867914
1739209896.4324608;-35.57807855764607
1739209896.4324627;-38.13080360867914
1739209896.4324646;-38.13080360867914
1739209896.4324663;-45.120503652039325
1739209896.4324682;-45.120503652039325
1739209896.43247;-38.13080360867914
1739209896.432472;-45.120503652039325
1739209896.432474;-45.120503652039325
1739209896.4324756;-28.992665084841942
1739209896.4324775;-45.120503652039325
1739209896.4324794;-45.120503652039325
1739209896.4324813;-45.120503652039325
1739209896.432483;-35.57807855764607
1739209896.4324849;-35.57807855764607
1739209896.4324868;-33.981070128970906
1739209896.4324887;-45.120503652039325
1739209896.4324906;-33.981070128970906
1739209896.4324923;-45.120503652039325
1739209896.4324942;-45.120503652039325
1739209896.432496;-38.13080360867914
1739209896.432498;-38.13080360867914
1739209896.4325;-38.13080360867914
1739209896.4325016;-38.13080360867914
1739209896.4325035;-45.120503652039325
1739209896.4325054;-38.13080360867914
1739209896.4325073;-45.120503652039325
1739209896.432509;-38.13080360867914
1739209896.4325109;-38.13080360867914
1739209896.4325128;-38.13080360867914
1739209896.4325147;-45.120503652039325
1739209896.4325166;-38.13080360867914
1739209896.4325182;-45.120503652039325
1739209896.4325202;-38.13080360867914
1739209896.432522;-38.13080360867914
1739209896.432524;-45.120503652039325
1739209896.4325256;-45.120503652039325
1739209896.4325275;-38.13080360867914
1739209896.4325294;-38.13080360867914
1739209896.4325314;-45.120503652039325
1739209896.4325333;-38.13080360867914
1739209896.432535;-38.13080360867914
1739209896.4325368;-35.57807855764607
1739209896.4325387;-35.57807855764607
1739209896.4325407;-45.120503652039325
1739209896.4325426;-38.13080360867914
1739209896.4325442;-35.57807855764607
1739209896.4325461;-38.13080360867914
1739209896.432548;-45.120503652039325
1739209896.43255;-38.13080360867914
1739209896.4325516;-35.57807855764607
1739209896.4325535;-45.120503652039325
1739209896.4325554;-38.13080360867914
1739209896.4325573;-38.13080360867914
1739209896.4325593;-38.13080360867914
1739209896.432561;-45.120503652039325
1739209896.4325628;-45.120503652039325
1739209896.4325647;-31.141103565318915
1739209896.4325666;-38.13080360867914
1739209896.4325686;-45.120503652039325
1739209896.4325702;-35.57807855764607
1739209896.4325721;-38.13080360867914
1739209896.432574;-45.120503652039325
1739209896.432576;-35.57807855764607
1739209896.4325776;-38.13080360867914
1739209896.4325795;-38.13080360867914
1739209896.4325814;-38.13080360867914
1739209896.4325833;-35.57807855764607
1739209896.4325852;-38.13080360867914
1739209896.432587;-35.57807855764607
1739209896.4325888;-32.816014438256545
1739209896.4325907;-45.120503652039325
1739209896.4325926;-38.13080360867914
1739209896.4325943;-45.120503652039325
1739209896.4325962;-38.13080360867914
1739209896.432598;-35.57807855764607
1739209896.4326;-38.13080360867914
1739209896.432602;-45.120503652039325
1739209896.4326036;-45.120503652039325
1739209896.4326055;-45.120503652039325
1739209896.4326074;-45.120503652039325
1739209896.4326093;-45.120503652039325
1739209896.4326112;-45.120503652039325
1739209896.432613;-38.13080360867914
1739209896.4326148;-45.120503652039325
1739209896.4326167;-31.141103565318915
1739209896.4326186;-45.120503652039325
1739209896.4326203;-45.120503652039325
1739209896.4326222;-35.57807855764607
1739209896.432624;-38.13080360867914
1739209896.432626;-29.438486411369333
1739209896.432628;-38.13080360867914
1739209896.4326296;-38.13080360867914
1739209896.4326315;-38.13080360867914
1739209896.4326334;-33.981070128970906
1739209896.4326353;-35.57807855764607
1739209896.4326372;-38.13080360867914
1739209896.432639;-35.57807855764607
1739209896.4326408;-45.120503652039325
1739209896.4326427;-38.13080360867914
1739209896.4326446;-45.120503652039325
1739209896.4326463;-45.120503652039325
1739209896.4326482;-45.120503652039325
1739209896.43265;-38.13080360867914
1739209896.432652;-38.13080360867914
1739209896.432654;-38.13080360867914
1739209896.4326556;-32.816014438256545
1739209896.4326575;-38.13080360867914
1739209896.4326594;-45.120503652039325
1739209896.4326613;-38.13080360867914
1739209896.4326632;-32.816014438256545
1739209896.4326649;-45.120503652039325
1739209896.4326668;-45.120503652039325
1739209896.4326687;-45.120503652039325
1739209896.4326706;-38.13080360867914
1739209896.4326723;-38.13080360867914
1739209896.4326742;-45.120503652039325
1739209896.432676;-38.13080360867914
1739209896.432678;-45.120503652039325
1739209896.43268;-38.13080360867914
1739209896.4326816;-45.120503652039325
1739209896.4326835;-45.120503652039325
1739209896.4326854;-45.120503652039325
1739209896.4326873;-45.120503652039325
1739209896.432689;-45.120503652039325
1739209896.4326909;-38.13080360867914
1739209896.4326928;-29.438486411369333
1739209896.4326947;-33.981070128970906
1739209896.4326966;-38.13080360867914
1739209896.4326982;-38.13080360867914
1739209896.4327002;-32.816014438256545
1739209896.432702;-38.13080360867914
1739209896.432704;-45.120503652039325
1739209896.4327059;-38.13080360867914
1739209896.4327075;-38.13080360867914
1739209896.4327095;-35.57807855764607
1739209896.4327114;-45.120503652039325
1739209896.4327133;-38.13080360867914
1739209896.432715;-38.13080360867914
1739209896.4327168;-38.13080360867914
1739209896.4327188;-45.120503652039325
1739209896.4327207;-45.120503652039325
1739209896.4327226;-31.141103565318893
1739209896.4327242;-38.13080360867914
1739209896.4327261;-45.120503652039325
1739209896.432728;-38.13080360867914
1739209896.43273;-28.992665084841942
1739209896.4327319;-32.816014438256545
1739209896.4327335;-38.13080360867914
1739209896.4327354;-38.13080360867914
1739209896.4327374;-45.120503652039325
1739209896.4327393;-35.57807855764607
1739209896.432741;-33.981070128970906
1739209896.4327428;-38.13080360867914
1739209896.4327447;-38.13080360867914
1739209896.4327466;-45.120503652039325
1739209896.4327486;-38.13080360867914
1739209896.4327502;-38.13080360867914
1739209896.4327521;-38.13080360867914
1739209896.432754;-38.13080360867914
1739209896.432756;-45.120503652039325
1739209896.4327579;-45.120503652039325
1739209896.4327595;-33.981070128970906
1739209896.4327614;-31.141103565318915
1739209896.4327633;-35.57807855764607
1739209896.4327652;-33.981070128970906
1739209896.432767;-45.120503652039325
1739209896.4327688;-35.57807855764607
1739209896.4327707;-38.13080360867914
1739209896.4327726;-45.120503652039325
1739209896.4327745;-38.13080360867914
1739209896.4327762;-32.81601443825658
1739209896.4327781;-45.120503652039325
1739209896.43278;-45.120503652039325
1739209896.432782;-45.120503652039325
1739209896.4327836;-38.13080360867914
1739209896.4327855;-35.57807855764607
1739209896.4327874;-38.13080360867914
1739209896.4327893;-32.816014438256545
1739209896.4327912;-31.141103565318915
1739209896.432793;-38.13080360867914
1739209896.4327948;-38.13080360867914
1739209896.4327967;-45.120503652039325
1739209896.4327986;-38.13080360867914
1739209896.4328005;-45.120503652039325
1739209896.4328022;-45.120503652039325
1739209896.432804;-38.13080360867914
1739209896.432806;-32.816014438256545
1739209896.432808;-45.120503652039325
1739209896.4328096;-45.120503652039325
1739209896.4328115;-45.120503652039325
1739209896.4328134;-45.120503652039325
1739209896.4328153;-38.13080360867914
1739209896.4328172;-45.120503652039325
1739209896.432819;-33.981070128970906
1739209896.4328208;-26.991370085610722
1739209896.4328227;-45.120503652039325
1739209896.4328246;-38.13080360867914
1739209896.4328265;-38.13080360867914
1739209896.4328282;-45.120503652039325
1739209896.43283;-45.120503652039325
1739209896.432832;-45.120503652039325
1739209896.432834;-45.120503652039325
1739209896.4328356;-33.981070128970906
1739209896.4328375;-38.13080360867914
1739209896.4328394;-38.13080360867914
1739209896.4328413;-35.57807855764607
1739209896.4328432;-38.13080360867914
1739209896.4328449;-32.816014438256545
1739209896.4328468;-45.120503652039325
1739209896.4328487;-45.120503652039325
1739209896.4328506;-38.13080360867914
1739209896.4328523;-45.120503652039325
1739209896.4328542;-45.120503652039325
1739209896.432856;-45.120503652039325
1739209896.432858;-38.13080360867914
1739209896.43286;-38.13080360867914
1739209896.4328616;-35.57807855764607
1739209896.4328635;-38.13080360867914
1739209896.4328654;-33.981070128970906
1739209896.4328673;-38.13080360867914
