CAN Message; 0x1bb:000065bcddb97c2c
Timestamp;Amplitude
1739209682.3408341;-38.13080360867914
1739209682.3408384;-45.120503652039325
1739209682.3408427;-38.13080360867914
1739209682.3408468;-45.120503652039325
1739209682.340851;-45.120503652039325
1739209682.3408554;-45.120503652039325
1739209682.3408597;-38.13080360867914
1739209682.340864;-45.120503652039325
1739209682.340868;-33.981070128970906
1739209682.3408723;-45.120503652039325
1739209682.3408766;-45.120503652039325
1739209682.3408809;-45.120503652039325
1739209682.3408852;-33.981070128970906
1739209682.3408892;-38.13080360867914
1739209682.3408935;-38.13080360867914
1739209682.3408978;-35.57807855764607
1739209682.340902;-38.13080360867914
1739209682.3409064;-45.120503652039325
1739209682.3409104;-45.120503652039325
1739209682.3409147;-45.120503652039325
1739209682.340919;-38.13080360867914
1739209682.3409233;-45.120503652039325
1739209682.3409276;-38.13080360867914
1739209682.3409317;-45.120503652039325
1739209682.340936;-45.120503652039325
1739209682.3409402;-38.13080360867914
1739209682.3409445;-38.13080360867914
1739209682.3409488;-45.120503652039325
1739209682.3409529;-28.992665084841942
1739209682.3409572;-33.981070128970906
1739209682.3409615;-45.120503652039325
1739209682.3409657;-45.120503652039325
1739209682.34097;-38.13080360867914
1739209682.340974;-45.120503652039325
1739209682.3409784;-38.13080360867914
1739209682.3409827;-45.120503652039325
1739209682.340987;-45.120503652039325
1739209682.3409913;-38.13080360867914
1739209682.3409953;-38.13080360867914
1739209682.3409996;-45.120503652039325
1739209682.341004;-33.981070128970906
1739209682.3410082;-45.120503652039325
1739209682.3410125;-45.120503652039325
1739209682.3410165;-45.120503652039325
1739209682.3410208;-30.49652367304973
1739209682.341025;-28.58837851428586
1739209682.3410294;-45.120503652039325
1739209682.3410337;-45.120503652039325
1739209682.3410378;-45.120503652039325
1739209682.341042;-45.120503652039325
1739209682.3410463;-45.120503652039325
1739209682.3410506;-38.13080360867914
1739209682.341055;-45.120503652039325
1739209682.341059;-35.57807855764607
1739209682.3410633;-35.57807855764607
1739209682.3410676;-38.13080360867914
1739209682.3410718;-45.120503652039325
1739209682.3410761;-45.120503652039325
1739209682.3410802;-33.981070128970906
1739209682.3410845;-35.57807855764607
1739209682.3410888;-30.49652367304973
1739209682.341093;-30.49652367304973
1739209682.3410974;-38.13080360867914
1739209682.3411014;-38.13080360867914
1739209682.3411057;-38.13080360867914
1739209682.34111;-38.13080360867914
1739209682.3411143;-45.120503652039325
1739209682.3411186;-35.57807855764607
1739209682.3411226;-45.120503652039325
1739209682.341127;-38.13080360867914
1739209682.3411312;-38.13080360867914
1739209682.3411355;-45.120503652039325
1739209682.3411398;-45.120503652039325
1739209682.3411438;-45.120503652039325
1739209682.3411481;-38.13080360867914
1739209682.3411524;-38.13080360867914
1739209682.3411567;-35.57807855764607
1739209682.341161;-33.981070128970906
1739209682.3411653;-45.120503652039325
1739209682.3411694;-45.120503652039325
1739209682.3411736;-35.57807855764607
1739209682.341178;-38.13080360867914
1739209682.3411822;-45.120503652039325
1739209682.3411865;-38.13080360867914
1739209682.3411906;-38.13080360867914
1739209682.3411949;-45.120503652039325
1739209682.3411992;-45.120503652039325
1739209682.3412035;-35.57807855764607
1739209682.3412077;-45.120503652039325
1739209682.3412118;-45.120503652039325
1739209682.341216;-38.13080360867914
1739209682.3412204;-38.13080360867914
1739209682.3412247;-38.13080360867914
1739209682.341229;-38.13080360867914
1739209682.341233;-33.981070128970906
1739209682.3412373;-35.57807855764607
1739209682.3412416;-38.13080360867914
1739209682.341246;-38.13080360867914
1739209682.3412502;-38.13080360867914
1739209682.3412542;-33.981070128970906
1739209682.3412585;-45.120503652039325
1739209682.3412628;-45.120503652039325
1739209682.341267;-38.13080360867914
1739209682.3412714;-35.57807855764607
1739209682.3412755;-33.981070128970906
1739209682.3412797;-45.120503652039325
1739209682.341284;-45.120503652039325
1739209682.3412883;-45.120503652039325
1739209682.3412926;-35.57807855764607
1739209682.3412967;-38.13080360867914
