CAN Message; 0x1b8:00009beb56b6163a
Timestamp;Amplitude
1739209798.572963;-31.141103565318893
1739209798.5729659;-38.13080360867914
1739209798.572969;-45.120503652039325
1739209798.5729718;-38.13080360867914
1739209798.5729747;-33.981070128970956
1739209798.5729775;-28.992665084841942
1739209798.5729806;-28.992665084841942
1739209798.5729835;-38.13080360867914
1739209798.5729864;-28.992665084841942
1739209798.5729892;-45.120503652039325
1739209798.5729923;-31.141103565318915
1739209798.5729952;-33.981070128970956
1739209798.572998;-31.141103565318915
1739209798.573001;-28.992665084841942
1739209798.573004;-33.981070128970956
1739209798.5730069;-30.49652367304973
1739209798.5730097;-32.81601443825658
1739209798.5730126;-45.120503652039325
1739209798.5730157;-45.120503652039325
1739209798.5730186;-45.120503652039325
1739209798.5730214;-33.981070128970906
1739209798.5730243;-38.13080360867914
1739209798.5730274;-45.120503652039325
1739209798.5730302;-38.13080360867914
1739209798.573033;-45.120503652039325
1739209798.573036;-31.141103565318915
1739209798.5730388;-25.077289914212862
1739209798.573042;-25.62660358559016
1739209798.5730448;-33.981070128970956
1739209798.5730476;-26.991370085610722
1739209798.5730505;-33.981070128970906
1739209798.5730536;-28.992665084841942
1739209798.5730565;-28.992665084841942
1739209798.5730593;-33.981070128970956
1739209798.5730622;-26.991370085610722
1739209798.5730653;-31.141103565318915
1739209798.5730681;-45.120503652039325
1739209798.573071;-35.57807855764607
1739209798.5730739;-45.120503652039325
1739209798.573077;-38.13080360867914
1739209798.5730798;-45.120503652039325
1739209798.5730827;-45.120503652039325
1739209798.5730855;-38.13080360867914
1739209798.5730886;-38.13080360867914
1739209798.5730915;-38.13080360867914
1739209798.5730944;-45.120503652039325
1739209798.5730972;-30.49652367304973
1739209798.5731003;-32.816014438256545
1739209798.5731032;-38.13080360867914
1739209798.573106;-45.120503652039325
1739209798.573109;-38.13080360867914
1739209798.5731118;-38.13080360867914
1739209798.5731149;-45.120503652039325
1739209798.5731177;-38.13080360867914
1739209798.5731206;-45.120503652039325
1739209798.5731235;-45.120503652039325
1739209798.5731266;-45.120503652039325
1739209798.5731294;-38.13080360867914
1739209798.5731323;-38.13080360867914
1739209798.5731351;-45.120503652039325
1739209798.5731382;-38.13080360867914
1739209798.573141;-31.141103565318893
1739209798.573144;-45.120503652039325
1739209798.5731468;-45.120503652039325
1739209798.57315;-33.981070128970906
1739209798.5731528;-45.120503652039325
1739209798.5731556;-33.981070128970906
1739209798.5731585;-38.13080360867914
1739209798.5731616;-35.57807855764607
1739209798.5731645;-45.120503652039325
1739209798.5731673;-31.141103565318893
1739209798.5731702;-26.991370085610736
1739209798.5731733;-38.13080360867914
1739209798.5731761;-35.57807855764607
1739209798.573179;-45.120503652039325
1739209798.5731819;-45.120503652039325
1739209798.5731847;-38.13080360867914
1739209798.5731878;-32.816014438256545
1739209798.5731907;-38.13080360867914
1739209798.5731936;-45.120503652039325
1739209798.5731964;-35.57807855764607
1739209798.5731995;-32.816014438256545
1739209798.5732024;-45.120503652039325
1739209798.5732052;-45.120503652039325
1739209798.573208;-38.13080360867914
1739209798.5732112;-35.57807855764607
1739209798.573214;-35.57807855764607
1739209798.573217;-32.816014438256545
1739209798.5732198;-38.13080360867914
1739209798.5732229;-38.13080360867914
1739209798.5732257;-45.120503652039325
1739209798.5732286;-35.57807855764607
1739209798.5732315;-35.57807855764607
1739209798.5732346;-38.13080360867914
1739209798.5732374;-38.13080360867914
1739209798.5732403;-35.57807855764607
1739209798.5732431;-38.13080360867914
1739209798.5732462;-38.13080360867914
1739209798.573249;-45.120503652039325
1739209798.573252;-38.13080360867914
1739209798.5732548;-38.13080360867914
1739209798.573258;-38.13080360867914
1739209798.5732608;-38.13080360867914
1739209798.5732636;-45.120503652039325
1739209798.5732665;-45.120503652039325
1739209798.5732694;-45.120503652039325
1739209798.5732725;-38.13080360867914
1739209798.5732753;-45.120503652039325
1739209798.5732782;-45.120503652039325
1739209798.573281;-45.120503652039325
1739209798.5732841;-38.13080360867914
1739209798.573287;-25.826314394896354
1739209798.5732899;-38.13080360867914
1739209798.5732927;-45.120503652039325
1739209798.5732958;-45.120503652039325
1739209798.5732987;-38.13080360867914
1739209798.5733016;-45.120503652039325
1739209798.5733044;-38.13080360867914
1739209798.5733075;-45.120503652039325
1739209798.5733104;-38.13080360867914
1739209798.5733132;-45.120503652039325
1739209798.573316;-45.120503652039325
1739209798.5733192;-45.120503652039325
1739209798.573322;-38.13080360867914
1739209798.573325;-35.57807855764607
1739209798.5733278;-38.13080360867914
1739209798.5733309;-38.13080360867914
1739209798.5733337;-33.981070128970906
1739209798.5733366;-38.13080360867914
1739209798.5733395;-45.120503652039325
1739209798.5733423;-45.120503652039325
1739209798.5733454;-45.120503652039325
1739209798.5733483;-45.120503652039325
1739209798.5733511;-35.57807855764607
1739209798.573354;-45.120503652039325
1739209798.573357;-33.981070128970906
1739209798.57336;-38.13080360867914
1739209798.5733628;-45.120503652039325
1739209798.5733657;-38.13080360867914
1739209798.5733688;-35.57807855764607
1739209798.5733716;-38.13080360867914
1739209798.5733745;-38.13080360867914
1739209798.5733774;-38.13080360867914
1739209798.5733805;-45.120503652039325
1739209798.5733833;-45.120503652039325
1739209798.5733862;-45.120503652039325
1739209798.573389;-45.120503652039325
1739209798.5733922;-45.120503652039325
1739209798.573395;-38.13080360867914
1739209798.5733979;-35.57807855764607
1739209798.5734007;-38.13080360867914
1739209798.5734038;-45.120503652039325
