CAN Message; 0x1d3:0000fb20bff56d9a
Timestamp;Amplitude
1739209768.0163257;-38.13080360867914
1739209768.0163333;-45.120503652039325
1739209768.0163407;-38.13080360867914
1739209768.0163481;-38.13080360867914
1739209768.0163558;-45.120503652039325
1739209768.0163631;-45.120503652039325
1739209768.0163705;-38.13080360867914
1739209768.016378;-35.57807855764607
1739209768.0163856;-45.120503652039325
1739209768.016393;-45.120503652039325
1739209768.0164003;-45.120503652039325
1739209768.016408;-38.13080360867914
1739209768.0164154;-45.120503652039325
1739209768.0164227;-45.120503652039325
1739209768.0164304;-45.120503652039325
1739209768.0164378;-45.120503652039325
1739209768.0164452;-45.120503652039325
1739209768.0164528;-45.120503652039325
1739209768.0164602;-45.120503652039325
1739209768.0164676;-33.981070128970906
1739209768.016475;-32.816014438256545
1739209768.0164826;-38.13080360867914
1739209768.01649;-45.120503652039325
1739209768.0164974;-35.57807855764607
1739209768.016505;-38.13080360867914
1739209768.0165124;-45.120503652039325
1739209768.0165198;-45.120503652039325
1739209768.0165274;-38.13080360867914
1739209768.0165348;-45.120503652039325
1739209768.0165422;-45.120503652039325
1739209768.0165498;-38.13080360867914
1739209768.0165572;-45.120503652039325
1739209768.0165646;-45.120503652039325
1739209768.016572;-45.120503652039325
1739209768.0165796;-45.120503652039325
1739209768.016587;-32.816014438256545
1739209768.0165944;-45.120503652039325
1739209768.016602;-45.120503652039325
1739209768.0166094;-45.120503652039325
1739209768.0166168;-33.981070128970906
1739209768.0166245;-33.981070128970906
1739209768.0166318;-45.120503652039325
1739209768.0166392;-45.120503652039325
1739209768.0166466;-45.120503652039325
1739209768.0166543;-38.13080360867914
1739209768.0166616;-45.120503652039325
1739209768.016669;-45.120503652039325
1739209768.0166767;-38.13080360867914
1739209768.016684;-38.13080360867914
1739209768.0166914;-45.120503652039325
1739209768.016699;-38.13080360867914
1739209768.0167065;-32.816014438256545
1739209768.0167139;-45.120503652039325
1739209768.0167215;-45.120503652039325
1739209768.0167289;-33.981070128970906
1739209768.0167363;-33.981070128970906
1739209768.0167437;-33.981070128970906
1739209768.0167513;-38.13080360867914
1739209768.0167587;-38.13080360867914
1739209768.016766;-45.120503652039325
1739209768.0167737;-38.13080360867914
1739209768.016781;-38.13080360867914
1739209768.0167885;-38.13080360867914
1739209768.016796;-38.13080360867914
1739209768.0168035;-33.981070128970906
1739209768.016811;-45.120503652039325
1739209768.0168185;-45.120503652039325
1739209768.016826;-38.13080360867914
1739209768.0168333;-38.13080360867914
1739209768.0168407;-38.13080360867914
1739209768.0168483;-45.120503652039325
1739209768.0168557;-38.13080360867914
1739209768.016863;-38.13080360867914
1739209768.0168707;-38.13080360867914
1739209768.0168781;-38.13080360867914
1739209768.0168855;-45.120503652039325
1739209768.0168931;-38.13080360867914
1739209768.0169005;-38.13080360867914
1739209768.016908;-45.120503652039325
1739209768.0169156;-45.120503652039325
1739209768.016923;-45.120503652039325
1739209768.0169303;-45.120503652039325
1739209768.0169377;-45.120503652039325
1739209768.0169454;-45.120503652039325
1739209768.0169528;-45.120503652039325
1739209768.0169601;-30.49652367304973
