CAN Message; 0x62:047b49d47cdb0831
Timestamp;Amplitude
1739209804.020059;-45.120503652039325
1739209804.0200706;-45.120503652039325
1739209804.020082;-38.13080360867914
1739209804.0200934;-45.120503652039325
1739209804.020105;-45.120503652039325
1739209804.0201166;-45.120503652039325
1739209804.020128;-45.120503652039325
1739209804.0201395;-45.120503652039325
1739209804.020151;-32.816014438256545
1739209804.0201623;-32.816014438256545
1739209804.0201738;-38.13080360867914
1739209804.0201852;-38.13080360867914
1739209804.0201967;-35.57807855764607
1739209804.0202081;-35.57807855764607
1739209804.0202196;-45.120503652039325
1739209804.020231;-35.57807855764607
1739209804.0202427;-45.120503652039325
1739209804.0202541;-45.120503652039325
1739209804.0202656;-38.13080360867914
1739209804.020277;-45.120503652039325
1739209804.0202885;-45.120503652039325
1739209804.0203;-38.13080360867914
1739209804.0203114;-35.57807855764607
1739209804.0203228;-45.120503652039325
1739209804.0203342;-31.141103565318893
1739209804.0203457;-31.141103565318893
1739209804.0203574;-45.120503652039325
1739209804.0203688;-45.120503652039325
1739209804.0203803;-38.13080360867914
1739209804.0203917;-38.13080360867914
1739209804.0204031;-45.120503652039325
1739209804.0204146;-45.120503652039325
1739209804.020426;-45.120503652039325
1739209804.0204375;-45.120503652039325
1739209804.020449;-45.120503652039325
1739209804.0204604;-45.120503652039325
1739209804.0204718;-32.816014438256545
1739209804.0204835;-32.816014438256545
1739209804.020495;-45.120503652039325
1739209804.0205064;-45.120503652039325
1739209804.0205178;-45.120503652039325
1739209804.0205293;-45.120503652039325
1739209804.0205407;-38.13080360867914
1739209804.0205522;-45.120503652039325
1739209804.0205636;-45.120503652039325
1739209804.020575;-38.13080360867914
1739209804.0205865;-32.816014438256545
1739209804.020598;-38.13080360867914
1739209804.0206096;-38.13080360867914
1739209804.020621;-35.57807855764607
1739209804.0206325;-38.13080360867914
1739209804.020644;-38.13080360867914
1739209804.0206554;-38.13080360867914
1739209804.0206668;-45.120503652039325
1739209804.0206783;-38.13080360867914
1739209804.0206897;-38.13080360867914
1739209804.0207012;-45.120503652039325
1739209804.0207126;-45.120503652039325
1739209804.020724;-45.120503652039325
1739209804.0207357;-38.13080360867914
1739209804.0207472;-38.13080360867914
1739209804.0207586;-45.120503652039325
1739209804.02077;-38.13080360867914
1739209804.0207815;-38.13080360867914
1739209804.020793;-38.13080360867914
1739209804.0208044;-45.120503652039325
1739209804.0208158;-38.13080360867914
1739209804.0208273;-38.13080360867914
1739209804.0208387;-45.120503652039325
1739209804.0208502;-38.13080360867914
1739209804.0208619;-38.13080360867914
1739209804.0208733;-38.13080360867914
1739209804.0208848;-38.13080360867914
1739209804.0208962;-45.120503652039325
1739209804.0209076;-33.981070128970906
1739209804.020919;-35.57807855764607
1739209804.0209305;-38.13080360867914
1739209804.020942;-32.816014438256545
1739209804.0209534;-38.13080360867914
1739209804.0209649;-45.120503652039325
