CAN Message; 0x24:06b8dd96dcf8459c
Timestamp;Amplitude
1739209711.2017484;-38.13080360867914
1739209711.2017581;-45.120503652039325
1739209711.2017677;-33.981070128970956
1739209711.2017775;-45.120503652039325
1739209711.2017872;-35.57807855764607
1739209711.201797;-38.13080360867914
1739209711.2018068;-38.13080360867914
1739209711.2018166;-38.13080360867914
1739209711.201826;-45.120503652039325
1739209711.2018359;-45.120503652039325
1739209711.2018456;-35.57807855764607
1739209711.2018554;-38.13080360867914
1739209711.2018652;-35.57807855764607
1739209711.201875;-35.57807855764607
1739209711.2018845;-38.13080360867914
1739209711.2018943;-45.120503652039325
1739209711.201904;-35.57807855764607
1739209711.2019138;-38.13080360867914
1739209711.2019236;-45.120503652039325
1739209711.2019334;-45.120503652039325
1739209711.201943;-38.13080360867914
1739209711.2019527;-33.981070128970906
1739209711.2019625;-45.120503652039325
1739209711.2019722;-38.13080360867914
1739209711.201982;-38.13080360867914
1739209711.2019918;-38.13080360867914
1739209711.2020013;-31.141103565318893
1739209711.202011;-31.141103565318915
1739209711.202021;-45.120503652039325
1739209711.2020307;-38.13080360867914
1739209711.2020404;-45.120503652039325
1739209711.2020502;-38.13080360867914
1739209711.2020597;-38.13080360867914
1739209711.2020695;-38.13080360867914
1739209711.2020793;-35.57807855764607
1739209711.202089;-38.13080360867914
1739209711.2020988;-38.13080360867914
1739209711.2021086;-45.120503652039325
1739209711.2021182;-38.13080360867914
1739209711.202128;-45.120503652039325
1739209711.2021377;-38.13080360867914
1739209711.2021475;-38.13080360867914
1739209711.2021573;-45.120503652039325
1739209711.202167;-45.120503652039325
1739209711.2021766;-45.120503652039325
1739209711.2021863;-45.120503652039325
1739209711.2021961;-45.120503652039325
1739209711.202206;-33.981070128970906
1739209711.2022157;-45.120503652039325
1739209711.2022254;-45.120503652039325
1739209711.202235;-35.57807855764607
1739209711.2022448;-38.13080360867914
1739209711.2022545;-35.57807855764607
1739209711.2022643;-35.57807855764607
1739209711.202274;-45.120503652039325
1739209711.2022839;-45.120503652039325
1739209711.2022934;-45.120503652039325
1739209711.2023032;-33.981070128970906
1739209711.202313;-45.120503652039325
1739209711.2023227;-45.120503652039325
1739209711.2023325;-45.120503652039325
1739209711.2023423;-38.13080360867914
1739209711.2023518;-45.120503652039325
1739209711.2023616;-45.120503652039325
1739209711.2023714;-38.13080360867914
1739209711.2023811;-35.57807855764607
1739209711.202391;-38.13080360867914
1739209711.2024007;-45.120503652039325
1739209711.2024102;-45.120503652039325
1739209711.20242;-45.120503652039325
1739209711.2024298;-45.120503652039325
1739209711.2024395;-38.13080360867914
1739209711.2024493;-35.57807855764607
1739209711.2024589;-35.57807855764607
1739209711.2024686;-45.120503652039325
1739209711.2024784;-38.13080360867914
1739209711.2024882;-45.120503652039325
1739209711.202498;-45.120503652039325
1739209711.2025077;-45.120503652039325
1739209711.2025173;-38.13080360867914
1739209711.202527;-45.120503652039325
1739209711.2025368;-45.120503652039325
1739209711.2025466;-35.57807855764607
1739209711.2025564;-38.13080360867914
1739209711.2025661;-38.13080360867914
1739209711.2025757;-35.57807855764607
1739209711.2025855;-45.120503652039325
1739209711.2025952;-45.120503652039325
1739209711.202605;-45.120503652039325
1739209711.2026148;-45.120503652039325
1739209711.2026246;-45.120503652039325
1739209711.202634;-38.13080360867914
1739209711.2026439;-38.13080360867914
1739209711.2026536;-45.120503652039325
1739209711.2026634;-45.120503652039325
1739209711.2026732;-38.13080360867914
1739209711.202683;-45.120503652039325
1739209711.2026925;-45.120503652039325
1739209711.2027023;-38.13080360867914
1739209711.202712;-33.981070128970906
1739209711.2027218;-38.13080360867914
1739209711.2027316;-45.120503652039325
1739209711.2027414;-45.120503652039325
1739209711.202751;-38.13080360867914
1739209711.2027607;-35.57807855764607
1739209711.2027705;-32.816014438256545
1739209711.2027802;-45.120503652039325
1739209711.20279;-33.981070128970906
1739209711.2027998;-31.141103565318915
1739209711.2028093;-38.13080360867914
1739209711.202819;-45.120503652039325
1739209711.202829;-38.13080360867914
1739209711.2028387;-38.13080360867914
1739209711.2028484;-38.13080360867914
1739209711.2028582;-45.120503652039325
1739209711.2028677;-45.120503652039325
1739209711.2028775;-38.13080360867914
1739209711.2028873;-35.57807855764607
1739209711.202897;-45.120503652039325
1739209711.2029068;-33.981070128970906
1739209711.2029166;-38.13080360867914
1739209711.2029262;-38.13080360867914
1739209711.202936;-38.13080360867914
1739209711.2029457;-32.816014438256545
1739209711.2029555;-38.13080360867914
1739209711.2029653;-45.120503652039325
1739209711.202975;-45.120503652039325
1739209711.2029846;-33.981070128970906
1739209711.2029943;-32.816014438256545
1739209711.2030041;-38.13080360867914
1739209711.203014;-45.120503652039325
1739209711.2030237;-38.13080360867914
1739209711.2030334;-38.13080360867914
1739209711.203043;-38.13080360867914
1739209711.2030528;-38.13080360867914
1739209711.2030625;-38.13080360867914
1739209711.2030723;-45.120503652039325
1739209711.203082;-38.13080360867914
1739209711.2030919;-38.13080360867914
1739209711.2031014;-45.120503652039325
1739209711.2031112;-45.120503652039325
1739209711.203121;-38.13080360867914
1739209711.2031307;-35.57807855764607
1739209711.2031405;-35.57807855764607
1739209711.2031503;-38.13080360867914
1739209711.2031598;-45.120503652039325
1739209711.2031696;-45.120503652039325
1739209711.2031794;-45.120503652039325
1739209711.2031891;-45.120503652039325
1739209711.203199;-45.120503652039325
1739209711.2032084;-32.816014438256545
1739209711.2032182;-38.13080360867914
1739209711.203228;-45.120503652039325
1739209711.2032378;-38.13080360867914
1739209711.2032475;-38.13080360867914
1739209711.2032573;-38.13080360867914
1739209711.2032669;-45.120503652039325
1739209711.2032766;-38.13080360867914
1739209711.2032864;-38.13080360867914
1739209711.2032962;-38.13080360867914
1739209711.203306;-45.120503652039325
1739209711.2033157;-38.13080360867914
1739209711.2033253;-38.13080360867914
1739209711.203335;-38.13080360867914
1739209711.2033448;-28.992665084841942
1739209711.2033546;-38.13080360867914
1739209711.2033644;-38.13080360867914
1739209711.2033741;-45.120503652039325
1739209711.2033837;-35.57807855764607
1739209711.2033935;-38.13080360867914
1739209711.2034032;-45.120503652039325
1739209711.203413;-45.120503652039325
1739209711.2034228;-38.13080360867914
1739209711.2034326;-38.13080360867914
1739209711.203442;-45.120503652039325
1739209711.2034519;-38.13080360867914
1739209711.2034616;-38.13080360867914
1739209711.2034714;-38.13080360867914
1739209711.2034812;-45.120503652039325
1739209711.203491;-38.13080360867914
1739209711.2035005;-25.826314394896354
