CAN Message; 0x1bb:000038d2376c971c
Timestamp;Amplitude
1739209763.0088956;-38.13080360867914
1739209763.008904;-38.13080360867914
1739209763.0089123;-33.981070128970906
1739209763.0089207;-45.120503652039325
1739209763.008929;-45.120503652039325
1739209763.0089374;-38.13080360867914
1739209763.0089457;-45.120503652039325
1739209763.008954;-45.120503652039325
1739209763.0089624;-45.120503652039325
1739209763.0089707;-38.13080360867914
1739209763.0089793;-38.13080360867914
1739209763.0089877;-35.57807855764607
1739209763.008996;-45.120503652039325
1739209763.0090044;-38.13080360867914
1739209763.0090127;-38.13080360867914
1739209763.009021;-45.120503652039325
1739209763.0090294;-38.13080360867914
1739209763.0090377;-32.816014438256545
1739209763.009046;-31.14110356531892
1739209763.0090544;-45.120503652039325
1739209763.0090628;-33.981070128970906
1739209763.009071;-38.13080360867914
1739209763.0090795;-45.120503652039325
1739209763.0090878;-45.120503652039325
1739209763.0090961;-33.981070128970906
1739209763.0091045;-29.438486411369333
1739209763.0091128;-27.267205301931607
1739209763.0091212;-33.981070128970906
1739209763.0091295;-38.13080360867914
1739209763.0091379;-38.13080360867914
1739209763.0091465;-35.57807855764607
1739209763.0091548;-45.120503652039325
1739209763.0091631;-45.120503652039325
1739209763.0091715;-35.57807855764607
1739209763.0091798;-38.13080360867914
1739209763.0091882;-45.120503652039325
1739209763.0091965;-45.120503652039325
1739209763.0092049;-45.120503652039325
1739209763.0092132;-45.120503652039325
1739209763.0092216;-38.13080360867914
1739209763.00923;-45.120503652039325
1739209763.0092382;-45.120503652039325
1739209763.0092466;-45.120503652039325
1739209763.009255;-45.120503652039325
1739209763.0092633;-38.13080360867914
1739209763.0092716;-38.13080360867914
1739209763.00928;-45.120503652039325
1739209763.0092883;-38.13080360867914
1739209763.0092967;-45.120503652039325
1739209763.009305;-45.120503652039325
1739209763.0093136;-33.981070128970906
1739209763.009322;-35.57807855764607
1739209763.0093303;-38.13080360867914
1739209763.0093386;-45.120503652039325
1739209763.009347;-38.13080360867914
1739209763.0093553;-45.120503652039325
1739209763.0093637;-38.13080360867914
1739209763.009372;-38.13080360867914
1739209763.0093803;-45.120503652039325
1739209763.0093887;-38.13080360867914
1739209763.009397;-38.13080360867914
1739209763.0094054;-45.120503652039325
1739209763.0094137;-45.120503652039325
1739209763.009422;-33.981070128970906
1739209763.0094304;-45.120503652039325
1739209763.0094388;-38.13080360867914
1739209763.009447;-38.13080360867914
1739209763.0094554;-35.57807855764607
1739209763.0094638;-38.13080360867914
1739209763.0094721;-45.120503652039325
1739209763.0094807;-45.120503652039325
1739209763.009489;-45.120503652039325
1739209763.0094974;-45.120503652039325
1739209763.0095057;-45.120503652039325
1739209763.009514;-33.981070128970906
1739209763.0095224;-45.120503652039325
1739209763.0095308;-45.120503652039325
1739209763.0095391;-45.120503652039325
1739209763.0095475;-38.13080360867914
1739209763.0095558;-35.57807855764607
1739209763.0095642;-38.13080360867914
1739209763.0095725;-45.120503652039325
1739209763.0095809;-45.120503652039325
1739209763.0095892;-30.49652367304973
1739209763.0095975;-33.981070128970906
1739209763.009606;-38.13080360867914
1739209763.0096142;-45.120503652039325
1739209763.0096226;-35.57807855764607
1739209763.009631;-38.13080360867914
1739209763.0096393;-45.120503652039325
1739209763.0096478;-45.120503652039325
1739209763.0096562;-45.120503652039325
1739209763.0096645;-38.13080360867914
1739209763.0096729;-35.57807855764607
1739209763.0096812;-38.13080360867914
1739209763.0096896;-45.120503652039325
1739209763.009698;-45.120503652039325
1739209763.0097063;-45.120503652039325
1739209763.0097146;-45.120503652039325
1739209763.009723;-45.120503652039325
1739209763.0097313;-38.13080360867914
1739209763.0097396;-35.57807855764607
1739209763.009748;-38.13080360867914
1739209763.0097563;-31.141103565318893
1739209763.0097647;-45.120503652039325
1739209763.009773;-45.120503652039325
1739209763.0097814;-38.13080360867914
