CAN Message; 0x24:0c28e78f0ad30f16
Timestamp;Amplitude
1739209603.0764337;-45.120503652039325
1739209603.0764356;-38.13080360867914
1739209603.0764377;-45.120503652039325
1739209603.0764399;-45.120503652039325
1739209603.076442;-38.13080360867914
1739209603.076444;-38.13080360867914
1739209603.076446;-38.13080360867914
1739209603.0764482;-38.13080360867914
1739209603.0764503;-45.120503652039325
1739209603.0764523;-45.120503652039325
1739209603.0764544;-45.120503652039325
1739209603.0764565;-38.13080360867914
1739209603.0764587;-45.120503652039325
1739209603.0764606;-45.120503652039325
1739209603.0764627;-38.13080360867914
1739209603.076465;-38.13080360867914
1739209603.076467;-38.13080360867914
1739209603.076469;-38.13080360867914
1739209603.076471;-38.13080360867914
1739209603.0764732;-38.13080360867914
1739209603.0764754;-45.120503652039325
1739209603.0764773;-38.13080360867914
1739209603.0764794;-45.120503652039325
1739209603.0764816;-45.120503652039325
1739209603.0764837;-38.13080360867914
1739209603.0764856;-38.13080360867914
1739209603.0764878;-38.13080360867914
1739209603.07649;-28.992665084841942
1739209603.0764918;-38.13080360867914
1739209603.076494;-45.120503652039325
1739209603.0764961;-33.981070128970906
1739209603.0764983;-38.13080360867914
1739209603.0765002;-45.120503652039325
1739209603.0765023;-38.13080360867914
1739209603.0765045;-35.57807855764607
1739209603.0765066;-32.81601443825658
1739209603.0765085;-45.120503652039325
1739209603.0765107;-38.13080360867914
1739209603.0765128;-38.13080360867914
1739209603.076515;-45.120503652039325
1739209603.0765169;-45.120503652039325
1739209603.076519;-38.13080360867914
1739209603.0765212;-38.13080360867914
1739209603.0765233;-27.267205301931607
1739209603.0765252;-33.981070128970906
1739209603.0765274;-45.120503652039325
1739209603.0765295;-45.120503652039325
1739209603.0765316;-38.13080360867914
1739209603.0765336;-35.57807855764607
1739209603.0765357;-45.120503652039325
1739209603.0765378;-38.13080360867914
1739209603.07654;-33.981070128970956
1739209603.076542;-45.120503652039325
1739209603.076544;-38.13080360867914
1739209603.0765462;-45.120503652039325
1739209603.0765483;-45.120503652039325
1739209603.0765502;-28.58837851428586
1739209603.0765524;-35.57807855764607
1739209603.0765545;-45.120503652039325
1739209603.0765564;-28.992665084841942
1739209603.0765586;-35.57807855764607
1739209603.0765607;-45.120503652039325
1739209603.076563;-45.120503652039325
1739209603.0765648;-33.981070128970906
1739209603.076567;-35.57807855764607
1739209603.076569;-38.13080360867914
1739209603.0765712;-38.13080360867914
1739209603.0765731;-45.120503652039325
1739209603.0765753;-45.120503652039325
1739209603.0765774;-38.13080360867914
1739209603.0765796;-45.120503652039325
1739209603.0765815;-45.120503652039325
1739209603.0765836;-45.120503652039325
1739209603.0765858;-45.120503652039325
1739209603.076588;-45.120503652039325
1739209603.0765898;-30.49652367304973
1739209603.076592;-32.816014438256545
1739209603.076594;-38.13080360867914
1739209603.0765963;-38.13080360867914
1739209603.0765982;-38.13080360867914
1739209603.0766003;-38.13080360867914
1739209603.0766025;-45.120503652039325
1739209603.0766046;-38.13080360867914
1739209603.0766065;-45.120503652039325
1739209603.0766087;-45.120503652039325
1739209603.0766108;-38.13080360867914
1739209603.0766127;-45.120503652039325
1739209603.0766149;-38.13080360867914
1739209603.076617;-45.120503652039325
1739209603.0766191;-38.13080360867914
1739209603.076621;-35.57807855764607
1739209603.0766232;-38.13080360867914
1739209603.0766253;-45.120503652039325
1739209603.0766275;-45.120503652039325
1739209603.0766294;-45.120503652039325
