CAN Message; 0x1a7:0000183f7a497ca8
Timestamp;Amplitude
1739209873.134322;-45.120503652039325
1739209873.1343288;-27.267205301931607
1739209873.134336;-35.57807855764607
1739209873.1343431;-45.120503652039325
1739209873.13435;-45.120503652039325
1739209873.1343572;-38.13080360867914
1739209873.1343644;-45.120503652039325
1739209873.1343713;-38.13080360867914
1739209873.1343784;-35.57807855764607
1739209873.1343856;-38.13080360867914
1739209873.1343927;-38.13080360867914
1739209873.1343997;-38.13080360867914
1739209873.1344068;-45.120503652039325
1739209873.134414;-38.13080360867914
1739209873.1344209;-45.120503652039325
1739209873.134428;-38.13080360867914
1739209873.1344352;-38.13080360867914
1739209873.134442;-35.57807855764607
1739209873.1344492;-38.13080360867914
1739209873.1344564;-38.13080360867914
1739209873.1344633;-32.816014438256545
1739209873.1344705;-45.120503652039325
1739209873.1344776;-38.13080360867914
1739209873.1344845;-35.57807855764607
1739209873.1344917;-45.120503652039325
1739209873.1344988;-32.816014438256545
1739209873.1345057;-38.13080360867914
1739209873.134513;-38.13080360867914
1739209873.13452;-38.13080360867914
1739209873.1345272;-33.981070128970906
1739209873.1345341;-45.120503652039325
1739209873.1345413;-38.13080360867914
1739209873.1345484;-38.13080360867914
1739209873.1345553;-45.120503652039325
1739209873.1345625;-45.120503652039325
1739209873.1345696;-38.13080360867914
1739209873.1345766;-38.13080360867914
1739209873.1345837;-38.13080360867914
1739209873.1345909;-32.816014438256545
1739209873.1345978;-38.13080360867914
1739209873.134605;-38.13080360867914
1739209873.134612;-38.13080360867914
1739209873.134619;-45.120503652039325
1739209873.1346262;-45.120503652039325
1739209873.1346333;-35.57807855764607
1739209873.1346402;-45.120503652039325
1739209873.1346474;-45.120503652039325
1739209873.1346545;-33.981070128970906
1739209873.1346614;-35.57807855764607
1739209873.1346686;-38.13080360867914
1739209873.1346757;-38.13080360867914
1739209873.134683;-38.13080360867914
1739209873.1346898;-45.120503652039325
1739209873.134697;-38.13080360867914
1739209873.134704;-38.13080360867914
1739209873.134711;-45.120503652039325
1739209873.1347182;-45.120503652039325
1739209873.1347253;-38.13080360867914
1739209873.1347322;-33.981070128970906
1739209873.1347394;-45.120503652039325
1739209873.1347466;-38.13080360867914
1739209873.1347535;-45.120503652039325
1739209873.1347606;-45.120503652039325
1739209873.1347678;-35.57807855764607
1739209873.1347747;-45.120503652039325
1739209873.1347818;-38.13080360867914
1739209873.134789;-38.13080360867914
1739209873.134796;-45.120503652039325
1739209873.134803;-38.13080360867914
1739209873.1348102;-38.13080360867914
1739209873.1348174;-45.120503652039325
1739209873.1348243;-45.120503652039325
1739209873.1348314;-33.981070128970906
1739209873.1348386;-45.120503652039325
1739209873.1348455;-33.981070128970906
1739209873.1348526;-38.13080360867914
1739209873.1348598;-45.120503652039325
1739209873.1348667;-45.120503652039325
1739209873.1348739;-31.141103565318893
1739209873.134881;-45.120503652039325
1739209873.134888;-45.120503652039325
