CAN Message; 0x150:03009fc7e82bdb7a
Timestamp;Amplitude
1739209714.7339022;-45.120503652039325
1739209714.7339087;-29.438486411369333
1739209714.7339149;-38.13080360867914
1739209714.733921;-45.120503652039325
1739209714.7339272;-38.13080360867914
1739209714.7339337;-45.120503652039325
1739209714.73394;-38.13080360867914
1739209714.733946;-33.981070128970906
1739209714.7339523;-28.588378514285886
1739209714.7339587;-29.438486411369333
1739209714.733965;-38.13080360867914
1739209714.733971;-45.120503652039325
1739209714.7339773;-45.120503652039325
1739209714.7339838;-25.826314394896357
1739209714.73399;-45.120503652039325
1739209714.7339962;-26.991370085610722
1739209714.7340026;-26.991370085610722
1739209714.7340088;-31.141103565318915
1739209714.734015;-31.14110356531892
1739209714.7340212;-38.13080360867914
1739209714.7340276;-33.981070128970906
1739209714.7340338;-31.141103565318893
1739209714.73404;-45.120503652039325
1739209714.7340462;-45.120503652039325
1739209714.7340527;-38.13080360867914
1739209714.7340589;-25.62660358559016
1739209714.734065;-27.8777449560314
1739209714.7340715;-24.151403521958727
1739209714.7340777;-32.81601443825658
1739209714.734084;-38.13080360867914
1739209714.73409;-35.57807855764607
1739209714.7340965;-33.981070128970956
1739209714.7341027;-32.816014438256545
1739209714.734109;-33.981070128970906
1739209714.7341151;-45.120503652039325
1739209714.7341216;-38.13080360867914
1739209714.7341278;-32.816014438256545
1739209714.734134;-33.981070128970906
1739209714.7341402;-45.120503652039325
1739209714.7341466;-45.120503652039325
1739209714.7341528;-33.981070128970906
1739209714.734159;-33.981070128970956
1739209714.7341654;-27.267205301931607
1739209714.7341716;-30.49652367304973
1739209714.7341778;-38.13080360867914
1739209714.734184;-32.816014438256545
1739209714.7341905;-28.992665084841967
1739209714.7341967;-28.218542851754165
1739209714.7342029;-26.991370085610722
1739209714.734209;-28.992665084841942
1739209714.7342155;-45.120503652039325
1739209714.7342217;-45.120503652039325
1739209714.734228;-30.49652367304976
1739209714.7342343;-35.57807855764607
1739209714.7342405;-28.218542851754165
1739209714.7342467;-27.267205301931607
1739209714.734253;-21.598678470925666
1739209714.7342594;-24.74623867263306
1739209714.7342656;-23.506823629689542
1739209714.7342718;-31.141103565318915
1739209714.734278;-38.13080360867914
1739209714.7342844;-33.981070128970906
1739209714.7342906;-29.438486411369333
1739209714.7342968;-38.13080360867914
1739209714.734303;-45.120503652039325
1739209714.7343094;-45.120503652039325
1739209714.7343156;-45.120503652039325
1739209714.7343218;-38.13080360867914
1739209714.7343283;-38.13080360867914
1739209714.7343345;-32.816014438256545
1739209714.7343407;-38.13080360867914
1739209714.7343469;-38.13080360867914
1739209714.7343533;-38.13080360867914
1739209714.7343595;-35.57807855764607
1739209714.7343657;-38.13080360867914
1739209714.734372;-45.120503652039325
1739209714.7343783;-45.120503652039325
1739209714.7343845;-45.120503652039325
1739209714.7343907;-45.120503652039325
