CAN Message; 0x24:0f5b54d56572dc7a
Timestamp;Amplitude
1739209878.3473203;-35.57807855764607
1739209878.3473222;-38.13080360867914
1739209878.3473244;-45.120503652039325
1739209878.3473263;-45.120503652039325
1739209878.3473282;-45.120503652039325
1739209878.34733;-45.120503652039325
1739209878.3473322;-38.13080360867914
1739209878.3473341;-45.120503652039325
1739209878.347336;-45.120503652039325
1739209878.347338;-32.816014438256545
1739209878.34734;-32.816014438256545
1739209878.347342;-38.13080360867914
1739209878.347344;-38.13080360867914
1739209878.3473458;-45.120503652039325
1739209878.347348;-38.13080360867914
1739209878.34735;-38.13080360867914
1739209878.3473518;-45.120503652039325
1739209878.3473537;-45.120503652039325
1739209878.3473558;-38.13080360867914
1739209878.3473577;-38.13080360867914
1739209878.3473597;-32.816014438256545
1739209878.3473616;-45.120503652039325
1739209878.3473637;-38.13080360867914
1739209878.3473656;-38.13080360867914
1739209878.3473675;-38.13080360867914
1739209878.3473694;-45.120503652039325
1739209878.3473716;-38.13080360867914
1739209878.3473735;-38.13080360867914
1739209878.3473754;-35.57807855764607
1739209878.3473773;-45.120503652039325
1739209878.3473792;-38.13080360867914
1739209878.3473814;-38.13080360867914
1739209878.3473833;-38.13080360867914
1739209878.3473852;-45.120503652039325
1739209878.347387;-38.13080360867914
1739209878.3473892;-45.120503652039325
1739209878.3473911;-45.120503652039325
1739209878.347393;-38.13080360867914
1739209878.347395;-33.981070128970906
1739209878.347397;-38.13080360867914
1739209878.347399;-45.120503652039325
1739209878.347401;-38.13080360867914
1739209878.3474028;-38.13080360867914
1739209878.347405;-45.120503652039325
1739209878.3474069;-38.13080360867914
1739209878.3474088;-35.57807855764607
1739209878.3474107;-31.141103565318915
1739209878.3474128;-38.13080360867914
1739209878.3474147;-45.120503652039325
1739209878.3474166;-45.120503652039325
1739209878.3474185;-45.120503652039325
1739209878.3474207;-38.13080360867914
1739209878.3474226;-38.13080360867914
1739209878.3474245;-38.13080360867914
1739209878.3474264;-32.816014438256545
1739209878.3474286;-31.141103565318915
1739209878.3474305;-45.120503652039325
1739209878.3474324;-45.120503652039325
1739209878.3474343;-45.120503652039325
1739209878.3474362;-45.120503652039325
1739209878.3474383;-45.120503652039325
1739209878.3474402;-35.57807855764607
1739209878.3474422;-35.57807855764607
1739209878.347444;-45.120503652039325
1739209878.3474462;-45.120503652039325
1739209878.347448;-38.13080360867914
1739209878.34745;-45.120503652039325
1739209878.347452;-45.120503652039325
1739209878.347454;-45.120503652039325
1739209878.347456;-45.120503652039325
1739209878.347458;-45.120503652039325
1739209878.3474598;-45.120503652039325
1739209878.347462;-38.13080360867914
1739209878.3474638;-45.120503652039325
1739209878.3474658;-45.120503652039325
1739209878.3474677;-35.57807855764607
1739209878.3474698;-35.57807855764607
1739209878.3474717;-45.120503652039325
1739209878.3474736;-33.981070128970906
1739209878.3474755;-27.267205301931607
1739209878.3474777;-38.13080360867914
1739209878.3474796;-45.120503652039325
1739209878.3474815;-38.13080360867914
1739209878.3474834;-33.981070128970906
1739209878.3474855;-38.13080360867914
1739209878.3474874;-45.120503652039325
1739209878.3474894;-45.120503652039325
1739209878.3474913;-35.57807855764607
1739209878.3474932;-45.120503652039325
1739209878.3474953;-35.57807855764607
1739209878.3474972;-45.120503652039325
1739209878.3474991;-38.13080360867914
1739209878.347501;-32.816014438256545
1739209878.3475032;-45.120503652039325
1739209878.347505;-35.57807855764607
1739209878.347507;-28.992665084841942
1739209878.347509;-45.120503652039325
1739209878.347511;-45.120503652039325
1739209878.347513;-45.120503652039325
1739209878.3475149;-45.120503652039325
1739209878.3475168;-45.120503652039325
1739209878.347519;-45.120503652039325
1739209878.3475208;-45.120503652039325
1739209878.3475227;-45.120503652039325
1739209878.3475246;-45.120503652039325
1739209878.3475268;-45.120503652039325
1739209878.3475287;-45.120503652039325
1739209878.3475306;-35.57807855764607
1739209878.3475325;-35.57807855764607
1739209878.3475347;-45.120503652039325
1739209878.3475366;-38.13080360867914
1739209878.3475385;-27.267205301931607
1739209878.3475404;-38.13080360867914
1739209878.3475423;-45.120503652039325
1739209878.3475444;-38.13080360867914
1739209878.3475463;-45.120503652039325
1739209878.3475482;-45.120503652039325
1739209878.3475502;-32.816014438256545
1739209878.3475523;-45.120503652039325
1739209878.3475542;-45.120503652039325
1739209878.347556;-45.120503652039325
1739209878.347558;-45.120503652039325
1739209878.3475602;-45.120503652039325
1739209878.347562;-38.13080360867914
1739209878.347564;-38.13080360867914
1739209878.347566;-45.120503652039325
1739209878.347568;-38.13080360867914
1739209878.34757;-45.120503652039325
1739209878.3475718;-45.120503652039325
1739209878.3475738;-45.120503652039325
1739209878.347576;-45.120503652039325
1739209878.3475778;-38.13080360867914
1739209878.3475797;-32.816014438256545
1739209878.3475816;-45.120503652039325
1739209878.3475838;-45.120503652039325
1739209878.3475857;-30.49652367304973
1739209878.3475876;-38.13080360867914
1739209878.3475895;-38.13080360867914
1739209878.3475916;-38.13080360867914
1739209878.3475935;-31.141103565318915
1739209878.3475955;-38.13080360867914
1739209878.3475974;-45.120503652039325
1739209878.3475993;-45.120503652039325
1739209878.3476014;-45.120503652039325
1739209878.3476033;-45.120503652039325
1739209878.3476052;-45.120503652039325
1739209878.3476071;-45.120503652039325
1739209878.3476093;-45.120503652039325
1739209878.3476112;-38.13080360867914
1739209878.347613;-45.120503652039325
1739209878.347615;-45.120503652039325
1739209878.3476171;-45.120503652039325
1739209878.347619;-38.13080360867914
1739209878.347621;-45.120503652039325
1739209878.3476229;-45.120503652039325
1739209878.347625;-45.120503652039325
1739209878.347627;-45.120503652039325
1739209878.3476288;-45.120503652039325
1739209878.3476307;-45.120503652039325
1739209878.347633;-45.120503652039325
1739209878.3476348;-38.13080360867914
1739209878.3476367;-45.120503652039325
1739209878.3476386;-45.120503652039325
1739209878.3476408;-35.57807855764607
1739209878.3476427;-32.816014438256545
1739209878.3476446;-38.13080360867914
1739209878.3476465;-38.13080360867914
1739209878.3476486;-35.57807855764607
1739209878.3476505;-35.57807855764607
1739209878.3476524;-45.120503652039325
1739209878.3476543;-45.120503652039325
1739209878.3476562;-38.13080360867914
1739209878.3476584;-45.120503652039325
1739209878.3476603;-45.120503652039325
1739209878.3476622;-38.13080360867914
1739209878.347664;-38.13080360867914
1739209878.3476663;-45.120503652039325
1739209878.3476682;-38.13080360867914
1739209878.34767;-38.13080360867914
1739209878.347672;-45.120503652039325
1739209878.3476741;-38.13080360867914
1739209878.347676;-33.981070128970906
1739209878.347678;-38.13080360867914
1739209878.3476799;-35.57807855764607
1739209878.347682;-35.57807855764607
1739209878.347684;-45.120503652039325
1739209878.3476858;-45.120503652039325
1739209878.3476877;-45.120503652039325
1739209878.3476899;-38.13080360867914
1739209878.3476918;-38.13080360867914
1739209878.3476937;-45.120503652039325
1739209878.3476956;-38.13080360867914
1739209878.3476977;-38.13080360867914
1739209878.3476996;-45.120503652039325
1739209878.3477015;-45.120503652039325
1739209878.3477035;-35.57807855764607
1739209878.3477056;-32.816014438256545
