CAN Message; 0x24:0333dd469323cfcd
Timestamp;Amplitude
1739209850.786682;-33.981070128970906
1739209850.7866895;-38.13080360867914
1739209850.7866974;-45.120503652039325
1739209850.786705;-45.120503652039325
1739209850.7867126;-38.13080360867914
1739209850.7867203;-38.13080360867914
1739209850.7867281;-45.120503652039325
1739209850.7867358;-38.13080360867914
1739209850.7867434;-45.120503652039325
1739209850.786751;-38.13080360867914
1739209850.786759;-38.13080360867914
1739209850.7867665;-38.13080360867914
1739209850.7867742;-45.120503652039325
1739209850.7867818;-45.120503652039325
1739209850.7867897;-38.13080360867914
1739209850.7867973;-38.13080360867914
1739209850.786805;-38.13080360867914
1739209850.7868125;-38.13080360867914
1739209850.7868204;-33.981070128970906
1739209850.786828;-31.141103565318893
1739209850.7868357;-33.981070128970906
1739209850.7868433;-35.57807855764607
1739209850.786851;-38.13080360867914
1739209850.7868588;-38.13080360867914
1739209850.7868664;-26.487275050834725
1739209850.786874;-45.120503652039325
1739209850.7868817;-45.120503652039325
1739209850.7868896;-33.981070128970906
1739209850.7868972;-33.981070128970906
1739209850.7869048;-38.13080360867914
1739209850.7869124;-38.13080360867914
1739209850.7869203;-45.120503652039325
1739209850.786928;-38.13080360867914
1739209850.7869356;-45.120503652039325
1739209850.7869432;-38.13080360867914
1739209850.786951;-38.13080360867914
1739209850.7869587;-45.120503652039325
1739209850.7869663;-45.120503652039325
1739209850.786974;-38.13080360867914
1739209850.7869818;-38.13080360867914
1739209850.7869895;-38.13080360867914
1739209850.786997;-45.120503652039325
1739209850.7870047;-38.13080360867914
1739209850.7870123;-45.120503652039325
1739209850.7870202;-38.13080360867914
1739209850.7870278;-38.13080360867914
1739209850.7870355;-38.13080360867914
1739209850.787043;-45.120503652039325
1739209850.787051;-31.141103565318915
1739209850.7870586;-32.816014438256545
1739209850.7870662;-38.13080360867914
1739209850.7870739;-45.120503652039325
1739209850.7870817;-38.13080360867914
1739209850.7870893;-33.981070128970906
1739209850.787097;-45.120503652039325
1739209850.7871046;-45.120503652039325
1739209850.7871125;-26.991370085610722
1739209850.78712;-45.120503652039325
1739209850.7871277;-38.13080360867914
1739209850.7871354;-35.57807855764607
1739209850.7871432;-38.13080360867914
1739209850.7871509;-38.13080360867914
1739209850.7871585;-45.120503652039325
1739209850.787166;-45.120503652039325
1739209850.7871737;-45.120503652039325
1739209850.7871816;-45.120503652039325
1739209850.7871892;-38.13080360867914
1739209850.7871969;-45.120503652039325
1739209850.7872045;-38.13080360867914
1739209850.7872124;-35.57807855764607
1739209850.78722;-38.13080360867914
1739209850.7872276;-45.120503652039325
1739209850.7872353;-45.120503652039325
1739209850.7872431;-38.13080360867914
1739209850.7872508;-45.120503652039325
1739209850.7872584;-38.13080360867914
1739209850.787266;-38.13080360867914
1739209850.787274;-33.981070128970906
1739209850.7872815;-38.13080360867914
1739209850.7872891;-38.13080360867914
1739209850.7872968;-32.816014438256545
1739209850.7873046;-45.120503652039325
1739209850.7873123;-33.981070128970906
1739209850.78732;-32.816014438256545
1739209850.7873275;-38.13080360867914
1739209850.7873352;-45.120503652039325
1739209850.787343;-38.13080360867914
1739209850.7873507;-35.57807855764607
1739209850.7873583;-38.13080360867914
1739209850.787366;-45.120503652039325
1739209850.7873738;-38.13080360867914
1739209850.7873814;-45.120503652039325
1739209850.787389;-38.13080360867914
1739209850.7873967;-45.120503652039325
1739209850.7874045;-38.13080360867914
1739209850.7874122;-38.13080360867914
1739209850.7874198;-45.120503652039325
1739209850.7874274;-45.120503652039325
1739209850.7874353;-38.13080360867914
1739209850.787443;-35.57807855764607
1739209850.7874506;-38.13080360867914
1739209850.7874582;-45.120503652039325
1739209850.787466;-45.120503652039325
1739209850.7874737;-45.120503652039325
1739209850.7874813;-38.13080360867914
1739209850.787489;-45.120503652039325
1739209850.7874966;-38.13080360867914
1739209850.7875044;-38.13080360867914
1739209850.787512;-38.13080360867914
1739209850.7875197;-38.13080360867914
1739209850.7875273;-38.13080360867914
1739209850.7875352;-45.120503652039325
1739209850.7875428;-38.13080360867914
1739209850.7875504;-38.13080360867914
1739209850.787558;-45.120503652039325
1739209850.787566;-45.120503652039325
1739209850.7875736;-45.120503652039325
1739209850.7875812;-33.981070128970906
1739209850.7875888;-31.141103565318915
1739209850.7875967;-45.120503652039325
1739209850.7876043;-33.981070128970906
1739209850.787612;-45.120503652039325
1739209850.7876196;-45.120503652039325
1739209850.7876275;-38.13080360867914
1739209850.787635;-38.13080360867914
1739209850.7876427;-38.13080360867914
1739209850.7876503;-38.13080360867914
1739209850.7876582;-38.13080360867914
1739209850.7876658;-38.13080360867914
1739209850.7876735;-30.49652367304973
1739209850.787681;-32.816014438256545
1739209850.7876887;-45.120503652039325
1739209850.7876966;-38.13080360867914
1739209850.7877042;-35.57807855764607
1739209850.7877119;-38.13080360867914
1739209850.7877195;-45.120503652039325
1739209850.7877274;-45.120503652039325
1739209850.787735;-35.57807855764607
1739209850.7877426;-45.120503652039325
1739209850.7877502;-33.981070128970906
1739209850.787758;-35.57807855764607
1739209850.7877657;-45.120503652039325
1739209850.7877734;-38.13080360867914
1739209850.787781;-35.57807855764607
1739209850.7877889;-38.13080360867914
1739209850.7877965;-45.120503652039325
1739209850.7878041;-38.13080360867914
1739209850.7878118;-38.13080360867914
1739209850.7878196;-38.13080360867914
1739209850.7878273;-32.816014438256545
1739209850.787835;-45.120503652039325
1739209850.7878425;-32.816014438256545
1739209850.7878501;-45.120503652039325
1739209850.787858;-31.141103565318915
1739209850.7878656;-38.13080360867914
1739209850.7878733;-38.13080360867914
1739209850.787881;-31.141103565318915
1739209850.7878888;-45.120503652039325
1739209850.7878964;-38.13080360867914
1739209850.787904;-38.13080360867914
1739209850.7879117;-35.57807855764607
1739209850.7879195;-33.981070128970956
1739209850.7879272;-45.120503652039325
1739209850.7879348;-45.120503652039325
1739209850.7879424;-45.120503652039325
1739209850.7879503;-45.120503652039325
1739209850.787958;-45.120503652039325
