CAN Message; 0x1b8:03003dcd2a69c8bb
Timestamp;Amplitude
1739209710.2935944;-32.816014438256545
1739209710.2935975;-45.120503652039325
1739209710.2936003;-45.120503652039325
1739209710.2936034;-38.13080360867914
1739209710.2936063;-31.141103565318915
1739209710.2936094;-28.992665084841942
1739209710.2936122;-45.120503652039325
1739209710.2936153;-45.120503652039325
1739209710.2936182;-45.120503652039325
1739209710.2936213;-38.13080360867914
1739209710.2936242;-45.120503652039325
1739209710.2936273;-38.13080360867914
1739209710.2936301;-35.57807855764607
1739209710.2936332;-33.981070128970906
1739209710.293636;-45.120503652039325
1739209710.293639;-38.13080360867914
1739209710.293642;-35.57807855764607
1739209710.293645;-33.981070128970906
1739209710.293648;-45.120503652039325
1739209710.2936509;-45.120503652039325
1739209710.293654;-38.13080360867914
1739209710.2936568;-28.58837851428586
1739209710.29366;-45.120503652039325
1739209710.2936628;-38.13080360867914
1739209710.293666;-38.13080360867914
1739209710.2936687;-38.13080360867914
1739209710.2936718;-45.120503652039325
1739209710.2936747;-45.120503652039325
1739209710.2936776;-45.120503652039325
1739209710.2936807;-30.49652367304973
1739209710.2936835;-45.120503652039325
1739209710.2936866;-45.120503652039325
1739209710.2936895;-45.120503652039325
1739209710.2936926;-38.13080360867914
1739209710.2936954;-38.13080360867914
1739209710.2936985;-45.120503652039325
1739209710.2937014;-45.120503652039325
1739209710.2937045;-33.981070128970906
1739209710.2937074;-38.13080360867914
1739209710.2937105;-45.120503652039325
1739209710.2937133;-32.816014438256545
1739209710.2937164;-45.120503652039325
1739209710.2937193;-45.120503652039325
1739209710.2937222;-38.13080360867914
1739209710.2937253;-38.13080360867914
1739209710.293728;-38.13080360867914
1739209710.2937312;-45.120503652039325
1739209710.293734;-45.120503652039325
1739209710.2937372;-45.120503652039325
1739209710.29374;-33.981070128970906
1739209710.2937431;-45.120503652039325
1739209710.293746;-45.120503652039325
1739209710.293749;-33.981070128970906
1739209710.293752;-38.13080360867914
1739209710.293755;-38.13080360867914
1739209710.293758;-38.13080360867914
1739209710.2937608;-45.120503652039325
1739209710.2937639;-38.13080360867914
1739209710.2937667;-35.57807855764607
1739209710.2937698;-38.13080360867914
1739209710.2937727;-35.57807855764607
1739209710.2937758;-38.13080360867914
1739209710.2937787;-45.120503652039325
1739209710.2937818;-38.13080360867914
1739209710.2937846;-35.57807855764607
1739209710.2937877;-45.120503652039325
1739209710.2937906;-45.120503652039325
1739209710.2937937;-38.13080360867914
1739209710.2937965;-35.57807855764607
1739209710.2937996;-45.120503652039325
1739209710.2938025;-38.13080360867914
1739209710.2938054;-35.57807855764607
1739209710.2938085;-45.120503652039325
1739209710.2938113;-35.57807855764607
1739209710.2938144;-35.57807855764607
1739209710.2938173;-38.13080360867914
1739209710.2938204;-45.120503652039325
1739209710.2938232;-38.13080360867914
1739209710.2938263;-32.816014438256545
1739209710.2938292;-45.120503652039325
1739209710.2938323;-38.13080360867914
1739209710.2938352;-45.120503652039325
1739209710.2938383;-38.13080360867914
1739209710.2938411;-38.13080360867914
1739209710.2938442;-45.120503652039325
1739209710.293847;-45.120503652039325
1739209710.29385;-45.120503652039325
1739209710.293853;-45.120503652039325
1739209710.293856;-45.120503652039325
1739209710.293859;-38.13080360867914
1739209710.2938619;-45.120503652039325
1739209710.293865;-45.120503652039325
1739209710.2938678;-45.120503652039325
1739209710.293871;-45.120503652039325
1739209710.2938738;-35.57807855764607
1739209710.293877;-45.120503652039325
1739209710.2938797;-45.120503652039325
1739209710.2938828;-38.13080360867914
1739209710.2938857;-38.13080360867914
1739209710.2938886;-38.13080360867914
1739209710.2938917;-35.57807855764607
1739209710.2938945;-33.981070128970906
1739209710.2938976;-35.57807855764607
1739209710.2939005;-38.13080360867914
1739209710.2939036;-38.13080360867914
1739209710.2939065;-38.13080360867914
1739209710.2939095;-45.120503652039325
1739209710.2939124;-38.13080360867914
1739209710.2939155;-35.57807855764607
1739209710.2939184;-38.13080360867914
1739209710.2939215;-45.120503652039325
1739209710.2939243;-38.13080360867914
1739209710.2939274;-35.57807855764607
1739209710.2939303;-38.13080360867914
1739209710.2939332;-38.13080360867914
