CAN Message; 0x1bb:0000d7cb3cb0f02a
Timestamp;Amplitude
1739209695.9571257;-45.120503652039325
1739209695.9571357;-45.120503652039325
1739209695.9571455;-45.120503652039325
1739209695.9571552;-38.13080360867914
1739209695.9571652;-38.13080360867914
1739209695.957175;-45.120503652039325
1739209695.9571848;-38.13080360867914
1739209695.9571948;-38.13080360867914
1739209695.9572046;-33.981070128970906
1739209695.9572146;-45.120503652039325
1739209695.9572244;-38.13080360867914
1739209695.9572341;-38.13080360867914
1739209695.9572442;-31.14110356531892
1739209695.957254;-45.120503652039325
1739209695.9572637;-45.120503652039325
1739209695.9572737;-45.120503652039325
1739209695.9572835;-38.13080360867914
1739209695.9572933;-38.13080360867914
1739209695.9573033;-38.13080360867914
1739209695.957313;-45.120503652039325
1739209695.9573228;-38.13080360867914
1739209695.9573328;-35.57807855764607
1739209695.9573426;-38.13080360867914
1739209695.9573524;-38.13080360867914
1739209695.9573624;-38.13080360867914
1739209695.9573722;-38.13080360867914
1739209695.957382;-38.13080360867914
1739209695.957392;-38.13080360867914
1739209695.9574018;-31.141103565318915
1739209695.9574118;-35.57807855764607
1739209695.9574215;-45.120503652039325
1739209695.9574313;-45.120503652039325
1739209695.9574413;-35.57807855764607
1739209695.957451;-35.57807855764607
1739209695.9574609;-45.120503652039325
1739209695.957471;-38.13080360867914
1739209695.9574807;-32.816014438256545
1739209695.9574904;-38.13080360867914
1739209695.9575005;-38.13080360867914
1739209695.9575102;-45.120503652039325
1739209695.95752;-38.13080360867914
1739209695.95753;-35.57807855764607
1739209695.9575398;-38.13080360867914
1739209695.9575496;-45.120503652039325
1739209695.9575596;-27.267205301931607
1739209695.9575694;-38.13080360867914
1739209695.9575794;-38.13080360867914
1739209695.9575891;-38.13080360867914
1739209695.957599;-31.141103565318915
1739209695.957609;-38.13080360867914
1739209695.9576187;-45.120503652039325
1739209695.9576285;-45.120503652039325
1739209695.9576385;-38.13080360867914
1739209695.9576483;-45.120503652039325
1739209695.957658;-45.120503652039325
1739209695.957668;-38.13080360867914
1739209695.9576778;-38.13080360867914
1739209695.9576876;-45.120503652039325
1739209695.9576976;-45.120503652039325
1739209695.9577074;-35.57807855764607
1739209695.9577172;-45.120503652039325
1739209695.9577272;-38.13080360867914
1739209695.957737;-38.13080360867914
1739209695.957747;-38.13080360867914
1739209695.9577568;-38.13080360867914
1739209695.9577665;-45.120503652039325
1739209695.9577765;-38.13080360867914
1739209695.9577863;-38.13080360867914
1739209695.957796;-45.120503652039325
1739209695.957806;-45.120503652039325
1739209695.957816;-38.13080360867914
1739209695.9578257;-45.120503652039325
1739209695.9578357;-38.13080360867914
1739209695.9578454;-38.13080360867914
1739209695.9578552;-45.120503652039325
1739209695.9578652;-31.141103565318893
1739209695.957875;-45.120503652039325
1739209695.9578848;-45.120503652039325
1739209695.9578948;-38.13080360867914
1739209695.9579046;-35.57807855764607
1739209695.9579144;-45.120503652039325
1739209695.9579244;-38.13080360867914
1739209695.9579341;-38.13080360867914
1739209695.9579442;-45.120503652039325
1739209695.957954;-29.438486411369333
1739209695.9579637;-31.141103565318893
1739209695.9579737;-38.13080360867914
1739209695.9579835;-45.120503652039325
1739209695.9579933;-31.141103565318915
1739209695.9580033;-35.57807855764607
1739209695.958013;-38.13080360867914
1739209695.9580228;-45.120503652039325
1739209695.9580328;-45.120503652039325
1739209695.9580426;-45.120503652039325
1739209695.9580524;-33.981070128970906
1739209695.9580624;-45.120503652039325
1739209695.9580722;-33.981070128970906
1739209695.958082;-38.13080360867914
1739209695.958092;-45.120503652039325
1739209695.9581017;-45.120503652039325
1739209695.9581118;-45.120503652039325
1739209695.9581215;-33.981070128970906
1739209695.9581313;-38.13080360867914
1739209695.9581413;-45.120503652039325
1739209695.958151;-45.120503652039325
1739209695.9581609;-33.981070128970906
1739209695.958171;-38.13080360867914
1739209695.9581807;-45.120503652039325
1739209695.9581904;-32.816014438256545
1739209695.9582005;-32.816014438256545
1739209695.9582102;-45.120503652039325
1739209695.95822;-45.120503652039325
1739209695.95823;-35.57807855764607
1739209695.9582398;-38.13080360867914
1739209695.9582496;-45.120503652039325
1739209695.9582596;-45.120503652039325
1739209695.9582694;-45.120503652039325
1739209695.9582791;-45.120503652039325
1739209695.9582891;-45.120503652039325
1739209695.958299;-45.120503652039325
1739209695.958309;-38.13080360867914
1739209695.9583187;-35.57807855764607
1739209695.9583285;-33.981070128970906
1739209695.9583385;-38.13080360867914
1739209695.9583483;-38.13080360867914
1739209695.958358;-38.13080360867914
1739209695.958368;-38.13080360867914
1739209695.9583778;-33.981070128970906
1739209695.9583876;-38.13080360867914
1739209695.9583976;-38.13080360867914
1739209695.9584074;-45.120503652039325
1739209695.9584172;-32.816014438256545
1739209695.9584272;-45.120503652039325
1739209695.958437;-45.120503652039325
1739209695.9584467;-38.13080360867914
1739209695.9584568;-38.13080360867914
1739209695.9584665;-38.13080360867914
1739209695.9584765;-38.13080360867914
1739209695.9584863;-45.120503652039325
1739209695.958496;-45.120503652039325
1739209695.958506;-38.13080360867914
1739209695.958516;-38.13080360867914
1739209695.9585257;-45.120503652039325
1739209695.9585357;-45.120503652039325
1739209695.9585454;-45.120503652039325
1739209695.9585552;-45.120503652039325
1739209695.9585652;-45.120503652039325
1739209695.958575;-45.120503652039325
1739209695.9585848;-45.120503652039325
1739209695.9585948;-38.13080360867914
1739209695.9586046;-45.120503652039325
1739209695.9586143;-45.120503652039325
1739209695.9586244;-38.13080360867914
1739209695.9586341;-32.816014438256545
1739209695.958644;-45.120503652039325
1739209695.958654;-45.120503652039325
1739209695.9586637;-33.981070128970906
1739209695.9586737;-33.981070128970906
1739209695.9586835;-31.141103565318915
1739209695.9586933;-45.120503652039325
1739209695.9587033;-38.13080360867914
1739209695.958713;-45.120503652039325
1739209695.9587228;-33.981070128970906
1739209695.9587328;-45.120503652039325
1739209695.9587426;-38.13080360867914
1739209695.9587524;-38.13080360867914
1739209695.9587624;-38.13080360867914
