CAN Message; 0x1b8:03002e4a12e177bb
Timestamp;Amplitude
1739209645.8470473;-45.120503652039325
1739209645.8470519;-32.816014438256545
1739209645.8470566;-38.13080360867914
1739209645.8470614;-38.13080360867914
1739209645.8470662;-35.57807855764607
1739209645.8470707;-45.120503652039325
1739209645.8470755;-45.120503652039325
1739209645.8470802;-35.57807855764607
1739209645.847085;-38.13080360867914
1739209645.8470895;-45.120503652039325
1739209645.8470943;-45.120503652039325
1739209645.847099;-35.57807855764607
1739209645.8471038;-33.981070128970906
1739209645.8471084;-38.13080360867914
1739209645.8471131;-35.57807855764607
1739209645.847118;-35.57807855764607
1739209645.8471227;-35.57807855764607
1739209645.8471272;-38.13080360867914
1739209645.847132;-35.57807855764607
1739209645.8471367;-38.13080360867914
1739209645.8471413;-45.120503652039325
1739209645.847146;-38.13080360867914
1739209645.8471508;-38.13080360867914
1739209645.8471556;-38.13080360867914
1739209645.84716;-35.57807855764607
1739209645.8471649;-45.120503652039325
1739209645.8471696;-45.120503652039325
1739209645.8471744;-38.13080360867914
1739209645.847179;-38.13080360867914
1739209645.8471837;-45.120503652039325
1739209645.8471885;-45.120503652039325
1739209645.8471932;-38.13080360867914
1739209645.8471978;-45.120503652039325
1739209645.8472025;-35.57807855764607
1739209645.8472073;-35.57807855764607
1739209645.847212;-45.120503652039325
1739209645.8472166;-45.120503652039325
1739209645.8472214;-38.13080360867914
1739209645.8472261;-26.991370085610722
1739209645.8472307;-38.13080360867914
1739209645.8472354;-38.13080360867914
1739209645.8472402;-38.13080360867914
1739209645.847245;-45.120503652039325
1739209645.8472495;-33.981070128970906
1739209645.8472543;-38.13080360867914
1739209645.847259;-45.120503652039325
1739209645.8472638;-31.141103565318943
1739209645.8472683;-45.120503652039325
1739209645.847273;-45.120503652039325
1739209645.8472779;-38.13080360867914
1739209645.8472826;-38.13080360867914
1739209645.8472872;-38.13080360867914
1739209645.847292;-38.13080360867914
1739209645.8472967;-35.57807855764607
1739209645.8473012;-28.58837851428586
1739209645.847306;-38.13080360867914
1739209645.8473108;-45.120503652039325
1739209645.8473155;-45.120503652039325
1739209645.84732;-45.120503652039325
1739209645.8473248;-38.13080360867914
1739209645.8473296;-38.13080360867914
1739209645.8473344;-45.120503652039325
1739209645.847339;-33.981070128970956
1739209645.8473437;-33.981070128970906
1739209645.8473485;-38.13080360867914
1739209645.8473532;-38.13080360867914
1739209645.8473577;-38.13080360867914
1739209645.8473625;-45.120503652039325
1739209645.8473673;-45.120503652039325
1739209645.847372;-45.120503652039325
1739209645.8473766;-31.141103565318915
1739209645.8473814;-38.13080360867914
1739209645.8473861;-38.13080360867914
1739209645.8473907;-35.57807855764607
1739209645.8473954;-35.57807855764607
1739209645.8474002;-35.57807855764607
1739209645.847405;-38.13080360867914
1739209645.8474095;-38.13080360867914
1739209645.8474143;-45.120503652039325
1739209645.847419;-45.120503652039325
1739209645.8474238;-38.13080360867914
1739209645.8474283;-38.13080360867914
1739209645.847433;-45.120503652039325
1739209645.8474379;-45.120503652039325
1739209645.8474426;-45.120503652039325
1739209645.8474472;-45.120503652039325
1739209645.847452;-45.120503652039325
1739209645.8474567;-38.13080360867914
1739209645.8474615;-38.13080360867914
1739209645.847466;-45.120503652039325
1739209645.8474708;-45.120503652039325
1739209645.8474755;-38.13080360867914
1739209645.84748;-38.13080360867914
1739209645.8474848;-45.120503652039325
1739209645.8474896;-31.141103565318915
1739209645.8474944;-33.981070128970906
1739209645.847499;-45.120503652039325
1739209645.8475037;-45.120503652039325
1739209645.8475084;-38.13080360867914
1739209645.8475132;-35.57807855764607
1739209645.8475177;-35.57807855764607
1739209645.8475225;-38.13080360867914
1739209645.8475273;-33.981070128970906
1739209645.847532;-30.49652367304973
1739209645.8475366;-38.13080360867914
1739209645.8475413;-45.120503652039325
1739209645.847546;-38.13080360867914
1739209645.8475509;-45.120503652039325
1739209645.8475554;-38.13080360867914
1739209645.8475602;-45.120503652039325
1739209645.847565;-33.981070128970906
1739209645.8475695;-33.981070128970906
1739209645.8475742;-38.13080360867914
1739209645.847579;-45.120503652039325
1739209645.8475838;-38.13080360867914
1739209645.8475883;-38.13080360867914
1739209645.847593;-38.13080360867914
1739209645.8475978;-38.13080360867914
1739209645.8476026;-45.120503652039325
1739209645.8476071;-45.120503652039325
1739209645.847612;-45.120503652039325
1739209645.8476167;-35.57807855764607
1739209645.8476214;-35.57807855764607
1739209645.847626;-45.120503652039325
1739209645.8476307;-45.120503652039325
1739209645.8476355;-45.120503652039325
1739209645.8476403;-38.13080360867914
1739209645.8476448;-38.13080360867914
1739209645.8476496;-38.13080360867914
1739209645.8476543;-38.13080360867914
1739209645.8476589;-38.13080360867914
1739209645.8476636;-45.120503652039325
1739209645.8476684;-33.981070128970906
1739209645.8476732;-45.120503652039325
1739209645.8476777;-45.120503652039325
1739209645.8476825;-38.13080360867914
1739209645.8476872;-38.13080360867914
1739209645.847692;-38.13080360867914
1739209645.8476965;-45.120503652039325
1739209645.8477013;-32.816014438256545
1739209645.847706;-35.57807855764607
1739209645.8477108;-45.120503652039325
1739209645.8477154;-38.13080360867914
1739209645.8477201;-38.13080360867914
1739209645.847725;-45.120503652039325
1739209645.8477297;-45.120503652039325
1739209645.8477342;-45.120503652039325
1739209645.847739;-45.120503652039325
1739209645.8477437;-45.120503652039325
1739209645.8477483;-45.120503652039325
1739209645.847753;-45.120503652039325
1739209645.8477578;-38.13080360867914
1739209645.8477626;-35.57807855764607
1739209645.847767;-38.13080360867914
1739209645.847772;-38.13080360867914
1739209645.8477767;-31.141103565318915
1739209645.8477814;-38.13080360867914
1739209645.847786;-45.120503652039325
1739209645.8477907;-38.13080360867914
1739209645.8477955;-38.13080360867914
1739209645.8478003;-45.120503652039325
1739209645.8478048;-38.13080360867914
1739209645.8478096;-45.120503652039325
1739209645.8478143;-38.13080360867914
1739209645.8478189;-38.13080360867914
1739209645.8478236;-45.120503652039325
1739209645.8478284;-45.120503652039325
1739209645.8478332;-45.120503652039325
1739209645.8478377;-45.120503652039325
1739209645.8478425;-45.120503652039325
1739209645.8478472;-38.13080360867914
1739209645.847852;-32.816014438256545
1739209645.8478565;-38.13080360867914
1739209645.8478613;-38.13080360867914
1739209645.847866;-45.120503652039325
1739209645.8478708;-35.57807855764607
1739209645.8478754;-32.816014438256545
1739209645.8478801;-45.120503652039325
1739209645.847885;-45.120503652039325
1739209645.8478897;-38.13080360867914
1739209645.8478942;-32.816014438256545
1739209645.847899;-45.120503652039325
1739209645.8479037;-38.13080360867914
1739209645.8479083;-45.120503652039325
1739209645.847913;-45.120503652039325
1739209645.8479178;-35.57807855764607
1739209645.8479226;-38.13080360867914
1739209645.847927;-45.120503652039325
1739209645.8479319;-45.120503652039325
1739209645.8479366;-45.120503652039325
1739209645.8479414;-45.120503652039325
