CAN Message; 0x150:0300a46ea91cafbe
Timestamp;Amplitude
1739209680.2450275;-45.120503652039325
1739209680.2450309;-35.57807855764607
1739209680.2450345;-35.57807855764607
1739209680.2450378;-38.13080360867914
1739209680.2450414;-38.13080360867914
1739209680.2450447;-45.120503652039325
1739209680.2450483;-38.13080360867914
1739209680.2450519;-45.120503652039325
1739209680.2450552;-38.13080360867914
1739209680.2450588;-38.13080360867914
1739209680.245062;-33.981070128970906
1739209680.2450657;-33.981070128970906
1739209680.245069;-45.120503652039325
1739209680.2450726;-38.13080360867914
1739209680.245076;-38.13080360867914
1739209680.2450795;-38.13080360867914
1739209680.245083;-38.13080360867914
1739209680.2450864;-38.13080360867914
1739209680.24509;-38.13080360867914
1739209680.2450933;-45.120503652039325
1739209680.245097;-45.120503652039325
1739209680.2451003;-38.13080360867914
1739209680.2451038;-45.120503652039325
1739209680.2451074;-45.120503652039325
1739209680.2451108;-38.13080360867914
1739209680.2451143;-38.13080360867914
1739209680.2451177;-30.49652367304973
1739209680.2451212;-29.438486411369333
1739209680.2451246;-45.120503652039325
1739209680.2451282;-45.120503652039325
1739209680.2451315;-38.13080360867914
1739209680.245135;-45.120503652039325
1739209680.2451386;-38.13080360867914
1739209680.245142;-35.57807855764607
1739209680.2451456;-38.13080360867914
1739209680.245149;-45.120503652039325
1739209680.2451525;-35.57807855764607
1739209680.2451558;-45.120503652039325
1739209680.2451594;-45.120503652039325
1739209680.245163;-45.120503652039325
1739209680.2451663;-32.816014438256545
1739209680.2451699;-38.13080360867914
1739209680.2451732;-32.816014438256545
1739209680.2451768;-29.438486411369333
1739209680.2451801;-45.120503652039325
1739209680.2451837;-33.981070128970906
1739209680.245187;-33.981070128970906
1739209680.2451906;-38.13080360867914
1739209680.2451942;-38.13080360867914
1739209680.2451975;-32.816014438256545
1739209680.245201;-38.13080360867914
1739209680.2452044;-45.120503652039325
1739209680.245208;-38.13080360867914
1739209680.2452114;-38.13080360867914
1739209680.245215;-45.120503652039325
1739209680.2452185;-45.120503652039325
1739209680.2452219;-33.981070128970906
1739209680.2452254;-38.13080360867914
1739209680.2452288;-45.120503652039325
1739209680.2452323;-45.120503652039325
1739209680.2452357;-38.13080360867914
1739209680.2452393;-33.981070128970906
1739209680.2452426;-38.13080360867914
