CAN Message; 0x77:d99f4145b991b9b1
Timestamp;Amplitude
1739209788.9253263;-45.120503652039325
1739209788.925351;-45.120503652039325
1739209788.9253752;-38.13080360867914
1739209788.9253998;-38.13080360867914
1739209788.925424;-38.13080360867914
1739209788.9254487;-38.13080360867914
1739209788.925473;-45.120503652039325
1739209788.9254973;-38.13080360867914
1739209788.9255219;-35.57807855764607
1739209788.9255462;-45.120503652039325
1739209788.9255707;-38.13080360867914
1739209788.925595;-35.57807855764607
1739209788.9256194;-45.120503652039325
1739209788.925644;-45.120503652039325
1739209788.9256682;-35.57807855764607
1739209788.9256928;-35.57807855764607
1739209788.925717;-45.120503652039325
1739209788.9257417;-45.120503652039325
1739209788.925766;-38.13080360867914
1739209788.9257903;-38.13080360867914
1739209788.9258149;-45.120503652039325
1739209788.9258392;-45.120503652039325
1739209788.9258637;-38.13080360867914
1739209788.925888;-38.13080360867914
1739209788.9259124;-38.13080360867914
1739209788.925937;-38.13080360867914
1739209788.9259613;-45.120503652039325
1739209788.9259858;-45.120503652039325
1739209788.9260101;-31.141103565318893
1739209788.9260347;-38.13080360867914
1739209788.926059;-45.120503652039325
1739209788.9260833;-45.120503652039325
1739209788.926108;-38.13080360867914
1739209788.9261322;-33.981070128970906
1739209788.9261568;-45.120503652039325
1739209788.926181;-45.120503652039325
1739209788.9262054;-45.120503652039325
1739209788.92623;-45.120503652039325
1739209788.9262543;-45.120503652039325
1739209788.9262788;-45.120503652039325
1739209788.9263031;-45.120503652039325
1739209788.9263277;-45.120503652039325
1739209788.926352;-35.57807855764607
1739209788.9263763;-38.13080360867914
1739209788.926401;-32.816014438256545
1739209788.9264252;-33.981070128970906
1739209788.9264498;-45.120503652039325
1739209788.926474;-38.13080360867914
1739209788.9264984;-32.816014438256545
1739209788.926523;-32.816014438256545
1739209788.9265473;-45.120503652039325
1739209788.9265718;-38.13080360867914
1739209788.9265962;-35.57807855764607
1739209788.9266207;-45.120503652039325
1739209788.926645;-45.120503652039325
1739209788.9266694;-38.13080360867914
1739209788.926694;-45.120503652039325
1739209788.9267182;-45.120503652039325
1739209788.9267428;-38.13080360867914
1739209788.926767;-33.981070128970906
1739209788.9267914;-45.120503652039325
1739209788.926816;-45.120503652039325
1739209788.9268403;-35.57807855764607
1739209788.9268649;-45.120503652039325
1739209788.9268892;-45.120503652039325
1739209788.9269137;-38.13080360867914
1739209788.926938;-38.13080360867914
1739209788.9269624;-38.13080360867914
1739209788.926987;-29.438486411369333
1739209788.9270113;-32.816014438256545
1739209788.9270358;-45.120503652039325
1739209788.9270601;-38.13080360867914
1739209788.9270847;-45.120503652039325
1739209788.927109;-38.13080360867914
1739209788.9271333;-45.120503652039325
1739209788.9271579;-35.57807855764607
1739209788.9271822;-35.57807855764607
1739209788.9272068;-31.141103565318943
1739209788.927231;-32.816014438256545
1739209788.9272554;-38.13080360867914
1739209788.92728;-45.120503652039325
1739209788.9273043;-45.120503652039325
1739209788.9273288;-32.816014438256545
1739209788.9273531;-45.120503652039325
1739209788.9273777;-30.49652367304973
1739209788.927402;-32.816014438256545
1739209788.9274263;-45.120503652039325
1739209788.927451;-38.13080360867914
1739209788.9274752;-45.120503652039325
1739209788.9274998;-45.120503652039325
1739209788.927524;-45.120503652039325
1739209788.9275484;-45.120503652039325
1739209788.927573;-45.120503652039325
1739209788.9275973;-45.120503652039325
1739209788.9276218;-35.57807855764607
1739209788.9276462;-38.13080360867914
1739209788.9276707;-38.13080360867914
1739209788.927695;-32.816014438256545
1739209788.9277194;-45.120503652039325
1739209788.927744;-45.120503652039325
1739209788.9277682;-45.120503652039325
1739209788.9277928;-38.13080360867914
1739209788.927817;-45.120503652039325
1739209788.9278414;-38.13080360867914
1739209788.927866;-35.57807855764607
1739209788.9278903;-45.120503652039325
1739209788.9279149;-38.13080360867914
1739209788.9279392;-45.120503652039325
1739209788.9279637;-33.981070128970906
1739209788.927988;-30.49652367304973
1739209788.9280124;-45.120503652039325
1739209788.928037;-45.120503652039325
1739209788.9280612;-38.13080360867914
1739209788.9280858;-38.13080360867914
1739209788.9281101;-45.120503652039325
1739209788.9281344;-45.120503652039325
1739209788.928159;-45.120503652039325
1739209788.9281833;-45.120503652039325
1739209788.9282079;-45.120503652039325
1739209788.9282322;-45.120503652039325
1739209788.9282568;-38.13080360867914
1739209788.928281;-38.13080360867914
1739209788.9283054;-45.120503652039325
1739209788.92833;-45.120503652039325
1739209788.9283543;-33.981070128970906
1739209788.9283788;-45.120503652039325
1739209788.9284031;-45.120503652039325
1739209788.9284277;-38.13080360867914
1739209788.928452;-38.13080360867914
1739209788.9284763;-45.120503652039325
1739209788.928501;-45.120503652039325
1739209788.9285252;-45.120503652039325
1739209788.9285498;-35.57807855764607
1739209788.928574;-33.981070128970906
1739209788.9285984;-38.13080360867914
1739209788.928623;-38.13080360867914
1739209788.9286473;-45.120503652039325
1739209788.9286718;-38.13080360867914
1739209788.9286962;-38.13080360867914
1739209788.9287207;-45.120503652039325
1739209788.928745;-45.120503652039325
1739209788.9287694;-38.13080360867914
1739209788.928794;-38.13080360867914
1739209788.9288182;-45.120503652039325
1739209788.9288428;-45.120503652039325
1739209788.928867;-45.120503652039325
1739209788.9288914;-35.57807855764607
1739209788.928916;-35.57807855764607
1739209788.9289403;-45.120503652039325
1739209788.9289649;-45.120503652039325
1739209788.9289892;-38.13080360867914
1739209788.9290137;-45.120503652039325
1739209788.929038;-45.120503652039325
1739209788.9290624;-38.13080360867914
1739209788.929087;-45.120503652039325
1739209788.9291112;-35.57807855764607
1739209788.9291358;-45.120503652039325
1739209788.92916;-33.981070128970906
1739209788.9291844;-31.141103565318915
1739209788.929209;-38.13080360867914
1739209788.9292333;-38.13080360867914
1739209788.9292579;-38.13080360867914
1739209788.9292822;-29.438486411369333
1739209788.9293067;-32.816014438256545
1739209788.929331;-45.120503652039325
1739209788.9293554;-38.13080360867914
1739209788.92938;-45.120503652039325
1739209788.9294043;-33.981070128970906
1739209788.9294288;-45.120503652039325
1739209788.9294531;-45.120503652039325
1739209788.9294775;-38.13080360867914
1739209788.929502;-38.13080360867914
1739209788.9295263;-45.120503652039325
1739209788.929551;-38.13080360867914
1739209788.9295752;-33.981070128970906
1739209788.9295998;-38.13080360867914
1739209788.929624;-45.120503652039325
1739209788.9296484;-38.13080360867914
1739209788.929673;-33.981070128970906
1739209788.9296973;-38.13080360867914
1739209788.9297218;-45.120503652039325
1739209788.9297462;-38.13080360867914
1739209788.9297705;-35.57807855764607
1739209788.929795;-38.13080360867914
1739209788.9298193;-45.120503652039325
1739209788.929844;-38.13080360867914
1739209788.9298682;-38.13080360867914
1739209788.9298928;-45.120503652039325
1739209788.929917;-35.57807855764607
1739209788.9299414;-38.13080360867914
1739209788.929966;-32.81601443825658
1739209788.9299903;-38.13080360867914
1739209788.9300148;-38.13080360867914
1739209788.9300392;-38.13080360867914
1739209788.9300637;-45.120503652039325
1739209788.930088;-38.13080360867914
1739209788.9301124;-35.57807855764607
1739209788.930137;-35.57807855764607
1739209788.9301612;-31.141103565318915
1739209788.9301858;-45.120503652039325
1739209788.93021;-45.120503652039325
1739209788.9302344;-38.13080360867914
1739209788.930259;-38.13080360867914
1739209788.9302833;-38.13080360867914
1739209788.9303079;-38.13080360867914
1739209788.9303322;-38.13080360867914
1739209788.9303567;-35.57807855764607
1739209788.930381;-45.120503652039325
1739209788.9304054;-38.13080360867914
1739209788.93043;-38.13080360867914
1739209788.9304543;-45.120503652039325
1739209788.9304788;-45.120503652039325
1739209788.9305031;-38.13080360867914
1739209788.9305274;-38.13080360867914
1739209788.9503112;-38.13080360867914
1739209788.950316;-38.13080360867914
1739209788.9503205;-30.49652367304973
1739209788.9503253;-35.57807855764607
1739209788.95033;-38.13080360867914
1739209788.9503348;-38.13080360867914
1739209788.9503393;-38.13080360867914
1739209788.950344;-38.13080360867914
1739209788.9503489;-35.57807855764607
1739209788.9503536;-31.141103565318915
1739209788.9503582;-45.120503652039325
1739209788.950363;-45.120503652039325
1739209788.9503677;-38.13080360867914
1739209788.9503725;-45.120503652039325
1739209788.950377;-35.57807855764607
1739209788.9503818;-38.13080360867914
1739209788.9503865;-45.120503652039325
1739209788.9503913;-45.120503652039325
1739209788.9503958;-45.120503652039325
1739209788.9504006;-45.120503652039325
1739209788.9504054;-45.120503652039325
1739209788.9504101;-45.120503652039325
1739209788.9504147;-45.120503652039325
1739209788.9504194;-38.13080360867914
1739209788.9504242;-45.120503652039325
1739209788.950429;-45.120503652039325
1739209788.9504335;-32.816014438256545
1739209788.9504383;-33.981070128970906
1739209788.950443;-45.120503652039325
1739209788.9504478;-45.120503652039325
1739209788.9504523;-35.57807855764607
1739209788.950457;-38.13080360867914
1739209788.9504619;-38.13080360867914
1739209788.9504666;-38.13080360867914
1739209788.9504712;-38.13080360867914
1739209788.950476;-38.13080360867914
1739209788.9504807;-45.120503652039325
1739209788.9504855;-38.13080360867914
1739209788.95049;-35.57807855764607
1739209788.9504948;-45.120503652039325
1739209788.9504995;-33.981070128970906
1739209788.9505043;-32.816014438256545
1739209788.9505088;-45.120503652039325
1739209788.9505136;-38.13080360867914
1739209788.9505184;-31.141103565318893
1739209788.9505231;-38.13080360867914
1739209788.9505277;-45.120503652039325
1739209788.9505324;-38.13080360867914
1739209788.9505372;-35.57807855764607
1739209788.950542;-38.13080360867914
1739209788.9505465;-45.120503652039325
1739209788.9505513;-33.981070128970906
1739209788.950556;-32.816014438256545
1739209788.9505608;-38.13080360867914
1739209788.9505653;-45.120503652039325
1739209788.95057;-38.13080360867914
1739209788.9505749;-33.981070128970906
1739209788.9505796;-45.120503652039325
1739209788.9505842;-45.120503652039325
1739209788.950589;-45.120503652039325
1739209788.9505937;-38.13080360867914
1739209788.9505985;-38.13080360867914
1739209788.950603;-38.13080360867914
1739209788.9506078;-33.981070128970906
1739209788.9506125;-38.13080360867914
1739209788.9506173;-45.120503652039325
1739209788.9506218;-45.120503652039325
1739209788.9506266;-31.141103565318915
1739209788.9506314;-33.981070128970906
1739209788.9506361;-45.120503652039325
1739209788.9506407;-45.120503652039325
1739209788.9506454;-38.13080360867914
1739209788.9506502;-38.13080360867914
1739209788.950655;-35.57807855764607
