CAN Message; 0x150:0300ea8d1e366ebe
Timestamp;Amplitude
1739209590.2971354;-45.120503652039325
1739209590.297147;-45.120503652039325
1739209590.2971585;-45.120503652039325
1739209590.2971702;-33.981070128970906
1739209590.2971816;-38.13080360867914
1739209590.2971933;-45.120503652039325
1739209590.2972047;-33.981070128970906
1739209590.2972164;-35.57807855764607
1739209590.2972279;-38.13080360867914
1739209590.2972393;-45.120503652039325
1739209590.297251;-45.120503652039325
1739209590.2972624;-45.120503652039325
1739209590.297274;-45.120503652039325
1739209590.2972856;-45.120503652039325
1739209590.2972972;-33.981070128970906
1739209590.2973087;-33.981070128970906
1739209590.2973201;-38.13080360867914
1739209590.2973318;-35.57807855764607
1739209590.2973433;-38.13080360867914
1739209590.297355;-38.13080360867914
1739209590.2973664;-45.120503652039325
1739209590.297378;-45.120503652039325
1739209590.2973895;-45.120503652039325
1739209590.2974012;-33.981070128970906
1739209590.2974126;-38.13080360867914
1739209590.297424;-45.120503652039325
1739209590.2974358;-38.13080360867914
1739209590.2974472;-38.13080360867914
1739209590.297459;-38.13080360867914
1739209590.2974703;-45.120503652039325
1739209590.297482;-38.13080360867914
1739209590.2974935;-38.13080360867914
1739209590.2975051;-38.13080360867914
1739209590.2975166;-45.120503652039325
1739209590.297528;-38.13080360867914
1739209590.2975397;-33.981070128970906
1739209590.2975512;-45.120503652039325
1739209590.2975628;-45.120503652039325
1739209590.2975743;-45.120503652039325
1739209590.297586;-38.13080360867914
1739209590.2975974;-38.13080360867914
1739209590.2976089;-45.120503652039325
1739209590.2976205;-45.120503652039325
1739209590.297632;-45.120503652039325
1739209590.2976437;-38.13080360867914
1739209590.297655;-45.120503652039325
1739209590.2976668;-38.13080360867914
1739209590.2976782;-38.13080360867914
1739209590.29769;-45.120503652039325
1739209590.2977014;-45.120503652039325
1739209590.2977128;-35.57807855764607
1739209590.2977245;-32.816014438256545
1739209590.297736;-45.120503652039325
1739209590.2977476;-45.120503652039325
1739209590.297759;-45.120503652039325
1739209590.2977707;-33.981070128970906
1739209590.2977822;-33.981070128970906
1739209590.2977939;-38.13080360867914
1739209590.2978053;-45.120503652039325
1739209590.2978168;-38.13080360867914
1739209590.2978284;-33.981070128970906
1739209590.2978399;-38.13080360867914
1739209590.2978516;-38.13080360867914
1739209590.297863;-45.120503652039325
1739209590.2978747;-45.120503652039325
1739209590.2978861;-45.120503652039325
1739209590.2978978;-38.13080360867914
1739209590.2979093;-38.13080360867914
1739209590.2979207;-45.120503652039325
1739209590.2979324;-38.13080360867914
1739209590.2979438;-38.13080360867914
1739209590.2979555;-45.120503652039325
1739209590.297967;-45.120503652039325
1739209590.2979786;-45.120503652039325
1739209590.29799;-45.120503652039325
1739209590.2980015;-38.13080360867914
1739209590.2980132;-38.13080360867914
1739209590.2980247;-45.120503652039325
1739209590.2980363;-45.120503652039325
1739209590.2980478;-38.13080360867914
1739209590.2980595;-38.13080360867914
1739209590.298071;-32.816014438256545
1739209590.2980826;-38.13080360867914
1739209590.298094;-45.120503652039325
1739209590.2981055;-45.120503652039325
1739209590.2981172;-45.120503652039325
1739209590.2981286;-38.13080360867914
1739209590.2981403;-38.13080360867914
1739209590.2981517;-33.981070128970906
1739209590.2981634;-38.13080360867914
1739209590.2981749;-38.13080360867914
1739209590.2981865;-32.816014438256545
1739209590.298198;-38.13080360867914
1739209590.2982094;-45.120503652039325
1739209590.298221;-45.120503652039325
1739209590.2982326;-38.13080360867914
1739209590.2982442;-33.981070128970906
1739209590.2982557;-45.120503652039325
1739209590.2982674;-38.13080360867914
1739209590.2982788;-45.120503652039325
1739209590.2982903;-38.13080360867914
1739209590.298302;-38.13080360867914
1739209590.2983134;-38.13080360867914
1739209590.298325;-38.13080360867914
1739209590.2983365;-28.992665084841942
1739209590.2983482;-35.57807855764607
1739209590.2983596;-38.13080360867914
1739209590.2983713;-38.13080360867914
1739209590.2983828;-45.120503652039325
1739209590.2983942;-45.120503652039325
1739209590.298406;-45.120503652039325
1739209590.2984173;-33.981070128970906
1739209590.298429;-33.981070128970906
1739209590.2984405;-45.120503652039325
1739209590.2984521;-38.13080360867914
1739209590.2984636;-32.816014438256545
1739209590.2984753;-38.13080360867914
1739209590.2984867;-45.120503652039325
1739209590.2984982;-38.13080360867914
1739209590.2985098;-38.13080360867914
1739209590.2985213;-33.981070128970906
1739209590.298533;-38.13080360867914
1739209590.2985444;-38.13080360867914
1739209590.298556;-45.120503652039325
1739209590.2985675;-45.120503652039325
1739209590.298579;-38.13080360867914
1739209590.2985907;-38.13080360867914
1739209590.298602;-38.13080360867914
1739209590.2986138;-31.141103565318915
1739209590.2986252;-45.120503652039325
1739209590.298637;-38.13080360867914
1739209590.2986484;-35.57807855764607
1739209590.29866;-38.13080360867914
1739209590.2986715;-45.120503652039325
1739209590.298683;-38.13080360867914
1739209590.2986946;-33.981070128970906
1739209590.298706;-29.438486411369354
1739209590.2987177;-45.120503652039325
1739209590.2987292;-38.13080360867914
1739209590.2987409;-45.120503652039325
1739209590.2987523;-45.120503652039325
1739209590.298764;-33.981070128970906
1739209590.2987754;-33.981070128970906
1739209590.2987869;-38.13080360867914
1739209590.2987986;-28.992665084841942
1739209590.29881;-35.57807855764607
1739209590.2988217;-38.13080360867914
1739209590.2988331;-38.13080360867914
1739209590.2988448;-45.120503652039325
1739209590.2988563;-38.13080360867914
1739209590.298868;-38.13080360867914
1739209590.2988794;-45.120503652039325
1739209590.2988908;-45.120503652039325
1739209590.2989025;-45.120503652039325
1739209590.298914;-45.120503652039325
1739209590.2989256;-38.13080360867914
1739209590.298937;-35.57807855764607
1739209590.2989488;-45.120503652039325
1739209590.2989602;-45.120503652039325
1739209590.2989717;-45.120503652039325
1739209590.2989833;-45.120503652039325
1739209590.2989948;-38.13080360867914
1739209590.2990065;-35.57807855764607
1739209590.299018;-35.57807855764607
1739209590.2990296;-45.120503652039325
1739209590.299041;-35.57807855764607
1739209590.2990527;-45.120503652039325
1739209590.2990642;-45.120503652039325
1739209590.2990756;-31.141103565318915
1739209590.2990873;-35.57807855764607
1739209590.2990987;-45.120503652039325
1739209590.2991104;-38.13080360867914
1739209590.2991219;-38.13080360867914
1739209590.2991335;-45.120503652039325
1739209590.299145;-35.57807855764607
1739209590.2991567;-38.13080360867914
1739209590.299168;-45.120503652039325
1739209590.2991796;-45.120503652039325
1739209590.2991912;-45.120503652039325
1739209590.2992027;-38.13080360867914
1739209590.2992144;-38.13080360867914
1739209590.2992258;-38.13080360867914
