CAN Message; 0x62:087acf845612f662
Timestamp;Amplitude
1739209877.7529705;-38.13080360867914
1739209877.7529786;-38.13080360867914
1739209877.752987;-38.13080360867914
1739209877.752995;-45.120503652039325
1739209877.7530034;-45.120503652039325
1739209877.7530117;-45.120503652039325
1739209877.7530198;-45.120503652039325
1739209877.7530282;-38.13080360867914
1739209877.7530365;-45.120503652039325
1739209877.7530446;-33.981070128970906
1739209877.753053;-38.13080360867914
1739209877.753061;-45.120503652039325
1739209877.7530694;-35.57807855764607
1739209877.7530777;-38.13080360867914
1739209877.7530859;-45.120503652039325
1739209877.7530942;-33.981070128970906
1739209877.7531025;-38.13080360867914
1739209877.7531106;-31.141103565318915
1739209877.753119;-45.120503652039325
1739209877.753127;-38.13080360867914
1739209877.7531354;-32.816014438256545
1739209877.7531438;-33.981070128970906
1739209877.753152;-45.120503652039325
1739209877.7531602;-38.13080360867914
1739209877.7531683;-45.120503652039325
1739209877.7531767;-38.13080360867914
1739209877.753185;-38.13080360867914
1739209877.7531931;-45.120503652039325
1739209877.7532015;-38.13080360867914
1739209877.7532098;-38.13080360867914
1739209877.753218;-38.13080360867914
1739209877.7532263;-38.13080360867914
1739209877.7532344;-45.120503652039325
1739209877.7532427;-38.13080360867914
1739209877.753251;-45.120503652039325
1739209877.7532592;-45.120503652039325
1739209877.7532675;-38.13080360867914
1739209877.7532759;-38.13080360867914
1739209877.753284;-38.13080360867914
1739209877.7532923;-38.13080360867914
1739209877.7533004;-38.13080360867914
1739209877.7533088;-27.267205301931607
1739209877.753317;-45.120503652039325
1739209877.7533252;-45.120503652039325
1739209877.7533336;-38.13080360867914
1739209877.7533417;-33.981070128970906
1739209877.75335;-45.120503652039325
1739209877.7533584;-45.120503652039325
1739209877.7533665;-45.120503652039325
1739209877.7533748;-33.981070128970906
1739209877.7533832;-45.120503652039325
1739209877.7533913;-45.120503652039325
1739209877.7533996;-38.13080360867914
1739209877.7534077;-45.120503652039325
1739209877.753416;-45.120503652039325
1739209877.7534244;-45.120503652039325
1739209877.7534325;-38.13080360867914
1739209877.7534409;-28.58837851428586
1739209877.7534492;-45.120503652039325
1739209877.7534573;-45.120503652039325
1739209877.7534657;-33.981070128970906
1739209877.7534738;-33.981070128970906
1739209877.753482;-45.120503652039325
1739209877.7534904;-38.13080360867914
1739209877.7534986;-45.120503652039325
1739209877.753507;-33.981070128970906
1739209877.753515;-45.120503652039325
1739209877.7535233;-38.13080360867914
1739209877.7535317;-45.120503652039325
1739209877.7535398;-45.120503652039325
1739209877.7535481;-35.57807855764607
1739209877.7535565;-38.13080360867914
1739209877.7535646;-38.13080360867914
1739209877.753573;-31.141103565318915
1739209877.753581;-38.13080360867914
1739209877.7535894;-33.981070128970906
1739209877.7535977;-38.13080360867914
1739209877.7536058;-38.13080360867914
1739209877.7536142;-38.13080360867914
1739209877.7536225;-35.57807855764607
1739209877.7536306;-45.120503652039325
1739209877.753639;-38.13080360867914
1739209877.753647;-38.13080360867914
1739209877.7536554;-38.13080360867914
1739209877.7536638;-45.120503652039325
1739209877.753672;-38.13080360867914
1739209877.7536802;-38.13080360867914
1739209877.7536883;-33.981070128970906
1739209877.7536967;-38.13080360867914
1739209877.753705;-28.992665084841942
1739209877.7537131;-31.141103565318915
1739209877.7537215;-38.13080360867914
1739209877.7537298;-38.13080360867914
1739209877.753738;-38.13080360867914
1739209877.7537463;-45.120503652039325
1739209877.7537544;-38.13080360867914
1739209877.7537627;-32.816014438256545
1739209877.753771;-33.981070128970906
1739209877.7537792;-45.120503652039325
1739209877.7537875;-38.13080360867914
1739209877.7537959;-38.13080360867914
1739209877.753804;-45.120503652039325
1739209877.7538123;-45.120503652039325
1739209877.7538204;-38.13080360867914
1739209877.7538288;-38.13080360867914
1739209877.753837;-45.120503652039325
1739209877.7538452;-38.13080360867914
1739209877.7538536;-45.120503652039325
1739209877.7538617;-45.120503652039325
1739209877.75387;-38.13080360867914
1739209877.7538784;-38.13080360867914
1739209877.7538865;-45.120503652039325
1739209877.7538948;-38.13080360867914
1739209877.7539032;-38.13080360867914
1739209877.7539113;-38.13080360867914
1739209877.7539196;-45.120503652039325
1739209877.7539277;-45.120503652039325
1739209877.753936;-45.120503652039325
1739209877.7539444;-45.120503652039325
1739209877.7539525;-45.120503652039325
1739209877.7539608;-35.57807855764607
1739209877.7539692;-38.13080360867914
1739209877.7539773;-45.120503652039325
1739209877.7539856;-45.120503652039325
1739209877.7539937;-45.120503652039325
1739209877.754002;-45.120503652039325
1739209877.7540104;-38.13080360867914
1739209877.7540185;-38.13080360867914
1739209877.754027;-38.13080360867914
1739209877.754035;-38.13080360867914
1739209877.7540433;-45.120503652039325
1739209877.7540517;-45.120503652039325
1739209877.7540598;-38.13080360867914
1739209877.7540681;-38.13080360867914
1739209877.7540765;-45.120503652039325
1739209877.7540846;-38.13080360867914
1739209877.754093;-35.57807855764607
1739209877.754101;-33.981070128970906
1739209877.7541094;-45.120503652039325
1739209877.7541177;-45.120503652039325
1739209877.7541258;-38.13080360867914
1739209877.7541342;-38.13080360867914
1739209877.7541425;-38.13080360867914
1739209877.7541506;-38.13080360867914
1739209877.754159;-45.120503652039325
1739209877.754167;-38.13080360867914
1739209877.7541754;-31.141103565318893
1739209877.7541838;-38.13080360867914
1739209877.7541919;-45.120503652039325
1739209877.7542002;-45.120503652039325
1739209877.7542083;-38.13080360867914
1739209877.7542167;-38.13080360867914
1739209877.754225;-45.120503652039325
1739209877.7542331;-38.13080360867914
1739209877.7542415;-45.120503652039325
1739209877.7542498;-45.120503652039325
1739209877.754258;-38.13080360867914
1739209877.7542663;-38.13080360867914
1739209877.7542744;-45.120503652039325
1739209877.7542827;-45.120503652039325
1739209877.754291;-38.13080360867914
1739209877.7542992;-38.13080360867914
1739209877.7543075;-45.120503652039325
1739209877.7543159;-38.13080360867914
1739209877.754324;-35.57807855764607
1739209877.7543323;-38.13080360867914
1739209877.7543404;-35.57807855764607
1739209877.7543488;-45.120503652039325
1739209877.754357;-45.120503652039325
1739209877.7543652;-38.13080360867914
1739209877.7543736;-33.981070128970906
1739209877.7543817;-35.57807855764607
1739209877.75439;-35.57807855764607
1739209877.7543983;-38.13080360867914
1739209877.7544065;-45.120503652039325
1739209877.7544148;-45.120503652039325
1739209877.7544231;-45.120503652039325
1739209877.7544312;-35.57807855764607
1739209877.7544396;-33.981070128970906
1739209877.7544477;-45.120503652039325
