CAN Message; 0x1a7:000041b02d43bd08
Timestamp;Amplitude
1739209841.9562397;-38.13080360867914
1739209841.9562507;-38.13080360867914
1739209841.9562614;-45.120503652039325
1739209841.9562721;-38.13080360867914
1739209841.9562829;-45.120503652039325
1739209841.9562938;-45.120503652039325
1739209841.9563046;-35.57807855764607
1739209841.9563153;-38.13080360867914
1739209841.9563262;-38.13080360867914
1739209841.956337;-45.120503652039325
1739209841.9563477;-45.120503652039325
1739209841.9563584;-45.120503652039325
1739209841.9563694;-28.58837851428586
1739209841.9563801;-28.58837851428586
1739209841.9563909;-45.120503652039325
1739209841.9564018;-38.13080360867914
1739209841.9564126;-38.13080360867914
1739209841.9564233;-38.13080360867914
1739209841.9564342;-45.120503652039325
1739209841.956445;-45.120503652039325
1739209841.9564557;-45.120503652039325
1739209841.9564664;-45.120503652039325
1739209841.9564774;-45.120503652039325
1739209841.9564881;-45.120503652039325
1739209841.9564989;-35.57807855764607
1739209841.9565098;-38.13080360867914
1739209841.9565206;-45.120503652039325
1739209841.9565313;-45.120503652039325
1739209841.956542;-45.120503652039325
1739209841.956553;-45.120503652039325
1739209841.9565637;-38.13080360867914
1739209841.9565744;-38.13080360867914
1739209841.9565854;-45.120503652039325
1739209841.9565961;-38.13080360867914
1739209841.9566069;-35.57807855764607
1739209841.9566176;-38.13080360867914
1739209841.9566286;-38.13080360867914
1739209841.9566393;-35.57807855764607
1739209841.95665;-35.57807855764607
1739209841.956661;-45.120503652039325
1739209841.9566717;-32.816014438256545
1739209841.9566824;-33.981070128970906
1739209841.9566932;-35.57807855764607
1739209841.9567041;-38.13080360867914
1739209841.9567149;-38.13080360867914
1739209841.9567256;-45.120503652039325
1739209841.9567366;-38.13080360867914
1739209841.9567473;-38.13080360867914
1739209841.956758;-45.120503652039325
1739209841.956769;-45.120503652039325
1739209841.9567797;-38.13080360867914
1739209841.9567904;-45.120503652039325
1739209841.9568012;-45.120503652039325
1739209841.9568121;-45.120503652039325
1739209841.9568229;-45.120503652039325
1739209841.9568336;-45.120503652039325
1739209841.9568446;-45.120503652039325
1739209841.9568553;-45.120503652039325
1739209841.956866;-45.120503652039325
1739209841.9568768;-45.120503652039325
1739209841.9568877;-31.141103565318893
1739209841.9568985;-38.13080360867914
1739209841.9569092;-45.120503652039325
1739209841.9569201;-38.13080360867914
1739209841.9569309;-32.816014438256545
1739209841.9569416;-33.981070128970906
1739209841.9569523;-45.120503652039325
1739209841.9569633;-45.120503652039325
1739209841.956974;-33.981070128970906
1739209841.9569848;-38.13080360867914
1739209841.9569957;-38.13080360867914
1739209841.9570065;-38.13080360867914
1739209841.9570172;-45.120503652039325
1739209841.957028;-45.120503652039325
1739209841.9570389;-45.120503652039325
1739209841.9570496;-45.120503652039325
1739209841.9570603;-45.120503652039325
1739209841.9570713;-33.981070128970906
1739209841.957082;-38.13080360867914
1739209841.9570928;-45.120503652039325
1739209841.9571035;-38.13080360867914
1739209841.9571145;-32.816014438256545
1739209841.9571252;-38.13080360867914
1739209841.957136;-45.120503652039325
1739209841.957147;-32.816014438256545
1739209841.9571576;-38.13080360867914
1739209841.9571683;-45.120503652039325
1739209841.9571793;-45.120503652039325
1739209841.95719;-38.13080360867914
1739209841.9572008;-45.120503652039325
1739209841.9572115;-38.13080360867914
1739209841.9572225;-38.13080360867914
1739209841.9572332;-45.120503652039325
1739209841.957244;-45.120503652039325
1739209841.957255;-45.120503652039325
1739209841.9572656;-45.120503652039325
1739209841.9572763;-45.120503652039325
1739209841.957287;-31.141103565318915
1739209841.957298;-32.816014438256545
1739209841.9573088;-38.13080360867914
1739209841.9573195;-45.120503652039325
1739209841.9573305;-33.981070128970906
1739209841.9573412;-30.49652367304973
1739209841.957352;-33.981070128970906
1739209841.9573627;-45.120503652039325
1739209841.9573736;-45.120503652039325
1739209841.9573843;-38.13080360867914
1739209841.957395;-38.13080360867914
1739209841.957406;-35.57807855764607
1739209841.9574168;-45.120503652039325
1739209841.9574275;-38.13080360867914
1739209841.9574382;-38.13080360867914
1739209841.9574492;-45.120503652039325
1739209841.95746;-45.120503652039325
1739209841.9574707;-38.13080360867914
1739209841.9574816;-38.13080360867914
1739209841.9574924;-45.120503652039325
1739209841.957503;-31.141103565318915
1739209841.957514;-28.58837851428586
1739209841.9575248;-45.120503652039325
1739209841.9575355;-45.120503652039325
1739209841.9575462;-38.13080360867914
1739209841.9575572;-32.816014438256545
1739209841.957568;-38.13080360867914
1739209841.9575787;-45.120503652039325
1739209841.9575896;-45.120503652039325
1739209841.9576004;-45.120503652039325
1739209841.957611;-45.120503652039325
1739209841.9576218;-45.120503652039325
1739209841.9576328;-45.120503652039325
1739209841.9576435;-45.120503652039325
1739209841.9576542;-38.13080360867914
1739209841.9576652;-35.57807855764607
1739209841.957676;-38.13080360867914
1739209841.9576867;-38.13080360867914
1739209841.9576974;-45.120503652039325
1739209841.9577084;-38.13080360867914
1739209841.957719;-35.57807855764607
1739209841.9577298;-38.13080360867914
1739209841.9577408;-35.57807855764607
1739209841.9577515;-35.57807855764607
1739209841.9577622;-35.57807855764607
1739209841.957773;-30.49652367304973
1739209841.957784;-38.13080360867914
1739209841.9577947;-45.120503652039325
1739209841.9578054;-45.120503652039325
1739209841.9578164;-38.13080360867914
1739209841.957827;-45.120503652039325
1739209841.9578378;-45.120503652039325
1739209841.9578488;-45.120503652039325
1739209841.9578595;-45.120503652039325
