CAN Message; 0x77:6949e6e5ecea8852
Timestamp;Amplitude
1739209650.2133784;-45.120503652039325
1739209650.2133844;-45.120503652039325
1739209650.21339;-38.13080360867914
1739209650.213396;-38.13080360867914
1739209650.213402;-45.120503652039325
1739209650.213408;-45.120503652039325
1739209650.213414;-33.981070128970906
1739209650.21342;-35.57807855764607
1739209650.2134256;-38.13080360867914
1739209650.2134316;-38.13080360867914
1739209650.2134376;-38.13080360867914
1739209650.2134435;-45.120503652039325
1739209650.2134495;-45.120503652039325
1739209650.2134554;-35.57807855764607
1739209650.2134612;-35.57807855764607
1739209650.2134671;-45.120503652039325
1739209650.213473;-38.13080360867914
1739209650.213479;-33.981070128970906
1739209650.213485;-38.13080360867914
1739209650.213491;-38.13080360867914
1739209650.2134967;-35.57807855764607
1739209650.2135026;-38.13080360867914
1739209650.2135086;-45.120503652039325
1739209650.2135146;-32.816014438256545
1739209650.2135205;-38.13080360867914
1739209650.2135265;-45.120503652039325
1739209650.2135322;-38.13080360867914
1739209650.2135382;-45.120503652039325
1739209650.2135441;-35.57807855764607
1739209650.21355;-38.13080360867914
1739209650.213556;-38.13080360867914
1739209650.213562;-45.120503652039325
1739209650.2135677;-45.120503652039325
1739209650.2135737;-45.120503652039325
1739209650.2135797;-38.13080360867914
1739209650.2135856;-38.13080360867914
1739209650.2135916;-45.120503652039325
1739209650.2135975;-45.120503652039325
1739209650.2136033;-45.120503652039325
1739209650.2136092;-33.981070128970906
1739209650.2136152;-38.13080360867914
1739209650.2136211;-45.120503652039325
1739209650.213627;-45.120503652039325
1739209650.2136328;-45.120503652039325
1739209650.2136388;-38.13080360867914
1739209650.2136447;-45.120503652039325
1739209650.2136507;-45.120503652039325
1739209650.2136567;-45.120503652039325
1739209650.2136626;-33.981070128970906
1739209650.2136683;-38.13080360867914
1739209650.2136743;-38.13080360867914
1739209650.2136803;-35.57807855764607
1739209650.2136862;-35.57807855764607
1739209650.2136922;-38.13080360867914
1739209650.2136981;-45.120503652039325
1739209650.2137039;-33.981070128970906
1739209650.2137098;-38.13080360867914
1739209650.2137158;-45.120503652039325
1739209650.2137218;-45.120503652039325
1739209650.2137277;-38.13080360867914
1739209650.2137337;-35.57807855764607
1739209650.2137394;-45.120503652039325
1739209650.2137454;-45.120503652039325
1739209650.2137513;-45.120503652039325
1739209650.2137573;-35.57807855764607
1739209650.2137632;-45.120503652039325
1739209650.2137692;-45.120503652039325
1739209650.213775;-38.13080360867914
1739209650.2137809;-38.13080360867914
1739209650.2137868;-38.13080360867914
1739209650.2137928;-45.120503652039325
1739209650.2137988;-31.141103565318915
1739209650.2138047;-38.13080360867914
1739209650.2138104;-45.120503652039325
1739209650.2138164;-45.120503652039325
1739209650.2138224;-32.816014438256545
1739209650.2138283;-32.816014438256545
1739209650.2138343;-45.120503652039325
1739209650.21384;-38.13080360867914
1739209650.213846;-45.120503652039325
1739209650.213852;-33.981070128970906
1739209650.213858;-38.13080360867914
1739209650.2138638;-45.120503652039325
1739209650.2138698;-38.13080360867914
1739209650.2138755;-45.120503652039325
1739209650.2138815;-45.120503652039325
1739209650.2138875;-45.120503652039325
1739209650.2138934;-45.120503652039325
1739209650.2138994;-45.120503652039325
1739209650.2139053;-38.13080360867914
1739209650.213911;-45.120503652039325
1739209650.213917;-38.13080360867914
1739209650.213923;-35.57807855764607
1739209650.213929;-38.13080360867914
1739209650.213935;-45.120503652039325
1739209650.2139409;-38.13080360867914
1739209650.2139466;-35.57807855764607
1739209650.2139525;-45.120503652039325
1739209650.2139585;-45.120503652039325
1739209650.2139645;-45.120503652039325
1739209650.2139704;-45.120503652039325
1739209650.2139764;-38.13080360867914
1739209650.213982;-45.120503652039325
1739209650.213988;-45.120503652039325
1739209650.213994;-45.120503652039325
1739209650.214;-45.120503652039325
1739209650.214006;-45.120503652039325
1739209650.214012;-45.120503652039325
1739209650.2140176;-38.13080360867914
1739209650.2140236;-38.13080360867914
1739209650.2140296;-45.120503652039325
1739209650.2140355;-38.13080360867914
1739209650.2140415;-35.57807855764607
1739209650.2140474;-38.13080360867914
1739209650.2140532;-45.120503652039325
1739209650.214059;-45.120503652039325
1739209650.214065;-38.13080360867914
1739209650.214071;-38.13080360867914
1739209650.214077;-45.120503652039325
1739209650.2140827;-45.120503652039325
1739209650.2140887;-45.120503652039325
1739209650.2140946;-45.120503652039325
1739209650.2141006;-38.13080360867914
1739209650.2141066;-45.120503652039325
1739209650.2141125;-38.13080360867914
1739209650.2141182;-38.13080360867914
1739209650.2141242;-38.13080360867914
1739209650.2141302;-35.57807855764607
1739209650.2141361;-38.13080360867914
1739209650.214142;-45.120503652039325
1739209650.214148;-32.816014438256545
1739209650.2141538;-45.120503652039325
1739209650.2141597;-31.141103565318915
1739209650.2141657;-38.13080360867914
1739209650.2141716;-38.13080360867914
1739209650.2141776;-45.120503652039325
1739209650.2141836;-45.120503652039325
1739209650.2141893;-38.13080360867914
1739209650.2141953;-45.120503652039325
1739209650.2142012;-45.120503652039325
1739209650.2142072;-33.981070128970956
1739209650.2142131;-38.13080360867914
1739209650.214219;-45.120503652039325
1739209650.2142248;-45.120503652039325
1739209650.2142308;-45.120503652039325
1739209650.2142367;-45.120503652039325
1739209650.2142427;-45.120503652039325
1739209650.2142487;-45.120503652039325
1739209650.2142546;-27.267205301931607
1739209650.2142603;-33.981070128970906
1739209650.2142663;-45.120503652039325
1739209650.2142723;-45.120503652039325
1739209650.2142782;-38.13080360867914
