CAN Message; 0x1d3:0000274dafd79ecf
Timestamp;Amplitude
1739209681.7548862;-38.13080360867914
1739209681.754893;-35.57807855764607
1739209681.7549002;-38.13080360867914
1739209681.7549071;-32.816014438256545
1739209681.7549143;-33.981070128970906
1739209681.7549212;-32.816014438256545
1739209681.7549284;-38.13080360867914
1739209681.7549355;-38.13080360867914
1739209681.7549424;-45.120503652039325
1739209681.7549496;-38.13080360867914
1739209681.7549565;-38.13080360867914
1739209681.7549636;-31.141103565318915
1739209681.7549706;-33.981070128970906
1739209681.7549777;-38.13080360867914
1739209681.7549849;-38.13080360867914
1739209681.7549918;-45.120503652039325
1739209681.754999;-45.120503652039325
1739209681.7550058;-45.120503652039325
1739209681.755013;-38.13080360867914
1739209681.7550201;-33.981070128970906
1739209681.755027;-31.141103565318915
1739209681.7550342;-35.57807855764607
1739209681.7550411;-38.13080360867914
1739209681.7550483;-38.13080360867914
1739209681.7550552;-33.981070128970906
1739209681.7550623;-38.13080360867914
1739209681.7550695;-45.120503652039325
1739209681.7550764;-38.13080360867914
1739209681.7550836;-33.981070128970906
1739209681.7550905;-38.13080360867914
1739209681.7550976;-45.120503652039325
1739209681.7551045;-38.13080360867914
1739209681.7551117;-38.13080360867914
1739209681.7551188;-45.120503652039325
1739209681.7551258;-45.120503652039325
1739209681.755133;-45.120503652039325
1739209681.7551398;-38.13080360867914
1739209681.755147;-45.120503652039325
1739209681.755154;-45.120503652039325
1739209681.755161;-45.120503652039325
1739209681.7551682;-33.981070128970906
1739209681.755175;-45.120503652039325
1739209681.7551823;-38.13080360867914
1739209681.7551892;-35.57807855764607
1739209681.7551963;-38.13080360867914
1739209681.7552032;-45.120503652039325
1739209681.7552104;-45.120503652039325
1739209681.7552176;-38.13080360867914
1739209681.7552245;-38.13080360867914
1739209681.7552316;-45.120503652039325
1739209681.7552385;-38.13080360867914
1739209681.7552457;-38.13080360867914
1739209681.7552526;-45.120503652039325
1739209681.7552598;-45.120503652039325
1739209681.755267;-35.57807855764607
1739209681.7552738;-35.57807855764607
1739209681.755281;-45.120503652039325
1739209681.755288;-45.120503652039325
1739209681.755295;-45.120503652039325
1739209681.7553022;-33.981070128970906
1739209681.755309;-31.141103565318915
1739209681.7553163;-45.120503652039325
1739209681.7553232;-38.13080360867914
1739209681.7553303;-45.120503652039325
1739209681.7553372;-45.120503652039325
1739209681.7553444;-45.120503652039325
