CAN Message; 0x77:ecbbd90c03526f04
Timestamp;Amplitude
1739209627.3584285;-45.120503652039325
1739209627.3584356;-45.120503652039325
1739209627.3584425;-31.141103565318893
1739209627.3584497;-32.816014438256545
1739209627.3584569;-45.120503652039325
1739209627.358464;-45.120503652039325
1739209627.358471;-38.13080360867914
1739209627.358478;-38.13080360867914
1739209627.3584852;-35.57807855764607
1739209627.3584924;-35.57807855764607
1739209627.3584993;-38.13080360867914
1739209627.3585064;-45.120503652039325
1739209627.3585136;-45.120503652039325
1739209627.3585207;-45.120503652039325
1739209627.3585277;-32.816014438256545
1739209627.3585348;-35.57807855764607
1739209627.358542;-45.120503652039325
1739209627.358549;-31.141103565318915
1739209627.358556;-45.120503652039325
1739209627.3585632;-45.120503652039325
1739209627.3585703;-45.120503652039325
1739209627.3585775;-45.120503652039325
1739209627.3585844;-45.120503652039325
1739209627.3585916;-45.120503652039325
1739209627.3585987;-38.13080360867914
1739209627.3586059;-45.120503652039325
1739209627.358613;-35.57807855764607
1739209627.35862;-38.13080360867914
1739209627.358627;-45.120503652039325
1739209627.3586342;-38.13080360867914
1739209627.3586414;-35.57807855764607
1739209627.3586483;-33.981070128970906
1739209627.3586555;-38.13080360867914
1739209627.3586626;-32.816014438256545
1739209627.3586698;-38.13080360867914
1739209627.3586767;-45.120503652039325
1739209627.3586838;-32.816014438256545
1739209627.358691;-35.57807855764607
1739209627.3586981;-45.120503652039325
1739209627.358705;-38.13080360867914
1739209627.3587122;-38.13080360867914
1739209627.3587193;-38.13080360867914
1739209627.3587265;-45.120503652039325
1739209627.3587334;-38.13080360867914
1739209627.3587406;-45.120503652039325
1739209627.3587477;-38.13080360867914
1739209627.3587549;-45.120503652039325
1739209627.358762;-45.120503652039325
1739209627.358769;-38.13080360867914
1739209627.358776;-35.57807855764607
1739209627.3587832;-45.120503652039325
1739209627.3587904;-38.13080360867914
1739209627.3587973;-45.120503652039325
1739209627.3588045;-38.13080360867914
1739209627.3588116;-35.57807855764607
1739209627.3588188;-38.13080360867914
1739209627.3588257;-33.981070128970906
1739209627.3588328;-38.13080360867914
1739209627.35884;-45.120503652039325
1739209627.3588471;-38.13080360867914
1739209627.358854;-33.981070128970906
1739209627.3588612;-33.981070128970906
1739209627.3588684;-38.13080360867914
1739209627.3588755;-45.120503652039325
1739209627.3588824;-38.13080360867914
1739209627.3588896;-38.13080360867914
1739209627.3588967;-38.13080360867914
1739209627.358904;-33.981070128970906
1739209627.3589108;-33.981070128970906
1739209627.358918;-33.981070128970906
1739209627.358925;-45.120503652039325
1739209627.3589323;-38.13080360867914
1739209627.3589394;-38.13080360867914
1739209627.3589463;-45.120503652039325
1739209627.3589535;-45.120503652039325
1739209627.3589606;-33.981070128970906
1739209627.3589678;-33.981070128970906
1739209627.3589747;-38.13080360867914
1739209627.3589818;-38.13080360867914
1739209627.358989;-38.13080360867914
1739209627.3589962;-35.57807855764607
1739209627.359003;-38.13080360867914
1739209627.3590102;-45.120503652039325
1739209627.3590174;-38.13080360867914
1739209627.3590245;-38.13080360867914
1739209627.3590314;-38.13080360867914
1739209627.3590386;-45.120503652039325
1739209627.3590457;-45.120503652039325
1739209627.359053;-45.120503652039325
1739209627.3590598;-38.13080360867914
1739209627.359067;-45.120503652039325
1739209627.359074;-31.141103565318915
1739209627.3590813;-28.992665084841942
1739209627.3590884;-45.120503652039325
1739209627.3590953;-45.120503652039325
